,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년08월_계_총인구수,"52,288","21,654","4,603","6,728","1,726","1,746","1,362","2,303","2,371","3,969","5,254",379,193
2021년08월_계_연령구간인구수,"52,288","21,654","4,603","6,728","1,726","1,746","1,362","2,303","2,371","3,969","5,254",379,193
2021년08월_계_0~9세,"3,678","2,021",182,623,81,87,66,84,82,147,280,14,11
2021년08월_계_10~19세,"4,084","2,347",229,524,90,75,59,158,94,158,337,9,4
2021년08월_계_20~29세,"4,777","2,357",324,789,142,121,83,174,110,208,433,27,9
2021년08월_계_30~39세,"4,666","2,255",264,854,148,106,114,112,122,236,429,17,9
2021년08월_계_40~49세,"6,277","3,244",414,843,145,143,104,231,186,348,536,55,28
2021년08월_계_50~59세,"8,411","3,448",791,"1,097",275,282,216,377,325,640,850,79,31
2021년08월_계_60~69세,"8,609","2,924",857,889,331,346,299,416,462,932,989,110,54
2021년08월_계_70~79세,"7,029","1,942",870,704,287,303,250,417,517,830,828,46,35
2021년08월_계_80~89세,"4,183",974,591,361,194,251,150,293,423,413,502,20,11
2021년08월_계_90~99세,549,134,78,42,31,31,21,37,49,57,66,2,1
2021년08월_계_100세 이상,25,8,3,2,2,1,0,4,1,0,4,0,0
2021년08월_남_총인구수,"26,129","10,651","2,301","3,548",907,860,676,"1,159","1,136","1,937","2,604",234,116
2021년08월_남_연령구간인구수,"26,129","10,651","2,301","3,548",907,860,676,"1,159","1,136","1,937","2,604",234,116
2021년08월_남_0~9세,"1,858","1,020",95,324,39,48,29,39,43,68,140,6,7
2021년08월_남_10~19세,"2,138","1,218",124,253,62,39,25,90,58,79,182,5,3
2021년08월_남_20~29세,"2,707","1,268",194,483,80,62,48,101,62,127,258,18,6
2021년08월_남_30~39세,"2,402","1,092",158,475,84,48,58,65,63,127,217,11,4
2021년08월_남_40~49세,"3,518","1,626",267,482,95,97,68,144,113,237,327,42,20
2021년08월_남_50~59세,"4,672","1,781",473,630,163,154,127,247,204,355,461,56,21
2021년08월_남_60~69세,"4,390","1,410",439,472,197,191,151,210,240,461,521,66,32
2021년08월_남_70~79세,"3,039",885,350,308,126,135,117,165,204,368,337,25,19
2021년08월_남_80~89세,"1,293",323,184,116,54,76,48,90,139,102,152,5,4
2021년08월_남_90~99세,112,28,17,5,7,10,5,8,10,13,9,0,0
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"26,159","11,003","2,302","3,180",819,886,686,"1,144","1,235","2,032","2,650",145,77
2021년08월_여_연령구간인구수,"26,159","11,003","2,302","3,180",819,886,686,"1,144","1,235","2,032","2,650",145,77
2021년08월_여_0~9세,"1,820","1,001",87,299,42,39,37,45,39,79,140,8,4
2021년08월_여_10~19세,"1,946","1,129",105,271,28,36,34,68,36,79,155,4,1
2021년08월_여_20~29세,"2,070","1,089",130,306,62,59,35,73,48,81,175,9,3
2021년08월_여_30~39세,"2,264","1,163",106,379,64,58,56,47,59,109,212,6,5
2021년08월_여_40~49세,"2,759","1,618",147,361,50,46,36,87,73,111,209,13,8
2021년08월_여_50~59세,"3,739","1,667",318,467,112,128,89,130,121,285,389,23,10
2021년08월_여_60~69세,"4,219","1,514",418,417,134,155,148,206,222,471,468,44,22
2021년08월_여_70~79세,"3,990","1,057",520,396,161,168,133,252,313,462,491,21,16
2021년08월_여_80~89세,"2,890",651,407,245,140,175,102,203,284,311,350,15,7
2021년08월_여_90~99세,437,106,61,37,24,21,16,29,39,44,57,2,1
2021년08월_여_100세 이상,25,8,3,2,2,1,0,4,1,0,4,0,0
