카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년09월_계_총인구수,"62,364","29,469","8,713","2,390","4,328","5,387","5,373","4,413","2,291"
2020년09월_계_연령구간인구수,"62,364","29,469","8,713","2,390","4,328","5,387","5,373","4,413","2,291"
2020년09월_계_0~9세,"3,133","2,219",329,66,121,120,107,123,48
2020년09월_계_10~19세,"4,541","2,948",607,129,175,201,201,176,104
2020년09월_계_20~29세,"5,045","2,962",588,100,425,288,254,312,116
2020년09월_계_30~39세,"5,189","3,263",571,131,248,320,257,276,123
2020년09월_계_40~49세,"7,757","4,506","1,028",243,398,476,528,393,185
2020년09월_계_50~59세,"10,897","4,966","1,551",457,766,"1,008",993,774,382
2020년09월_계_60~69세,"11,904","4,222","1,922",544,986,"1,372","1,321","1,000",537
2020년09월_계_70~79세,"8,777","2,856","1,412",444,744,"1,005","1,051",808,457
2020년09월_계_80~89세,"4,476","1,349",598,250,402,520,587,476,294
2020년09월_계_90~99세,619,173,96,26,61,74,73,73,43
2020년09월_계_100세 이상,26,5,11,0,2,3,1,2,2
2020년09월_남_총인구수,"31,426","14,872","4,333","1,149","2,231","2,766","2,662","2,252","1,161"
2020년09월_남_연령구간인구수,"31,426","14,872","4,333","1,149","2,231","2,766","2,662","2,252","1,161"
2020년09월_남_0~9세,"1,537","1,100",163,24,52,53,56,63,26
2020년09월_남_10~19세,"2,371","1,525",329,55,98,115,104,90,55
2020년09월_남_20~29세,"2,961","1,702",342,58,291,179,141,187,61
2020년09월_남_30~39세,"2,898","1,760",313,71,140,209,151,179,75
2020년09월_남_40~49세,"4,379","2,389",577,148,253,309,339,238,126
2020년09월_남_50~59세,"5,727","2,544",824,248,397,549,526,416,223
2020년09월_남_60~69세,"5,718","2,016",894,262,489,659,640,493,265
2020년09월_남_70~79세,"4,121","1,335",660,196,352,475,486,398,219
2020년09월_남_80~89세,"1,581",460,210,83,143,203,205,171,106
2020년09월_남_90~99세,128,41,19,4,14,15,14,16,5
2020년09월_남_100세 이상,5,0,2,0,2,0,0,1,0
2020년09월_여_총인구수,"30,938","14,597","4,380","1,241","2,097","2,621","2,711","2,161","1,130"
2020년09월_여_연령구간인구수,"30,938","14,597","4,380","1,241","2,097","2,621","2,711","2,161","1,130"
2020년09월_여_0~9세,"1,596","1,119",166,42,69,67,51,60,22
2020년09월_여_10~19세,"2,170","1,423",278,74,77,86,97,86,49
2020년09월_여_20~29세,"2,084","1,260",246,42,134,109,113,125,55
2020년09월_여_30~39세,"2,291","1,503",258,60,108,111,106,97,48
2020년09월_여_40~49세,"3,378","2,117",451,95,145,167,189,155,59
2020년09월_여_50~59세,"5,170","2,422",727,209,369,459,467,358,159
2020년09월_여_60~69세,"6,186","2,206","1,028",282,497,713,681,507,272
2020년09월_여_70~79세,"4,656","1,521",752,248,392,530,565,410,238
2020년09월_여_80~89세,"2,895",889,388,167,259,317,382,305,188
2020년09월_여_90~99세,491,132,77,22,47,59,59,57,38
2020년09월_여_100세 이상,21,5,9,0,0,3,1,1,2
