,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년11월_계_총인구수,"30,104","10,761","2,954","3,559","3,449","3,397","3,065","2,274",263,382
2021년11월_계_연령구간인구수,"30,104","10,761","2,954","3,559","3,449","3,397","3,065","2,274",263,382
2021년11월_계_0~9세,"1,565",834,100,177,116,115,95,91,14,23
2021년11월_계_10~19세,"2,167","1,133",162,255,161,174,110,126,6,40
2021년11월_계_20~29세,"2,421","1,220",181,236,209,217,193,128,16,21
2021년11월_계_30~39세,"2,085","1,063",166,230,177,170,132,113,13,21
2021년11월_계_40~49세,"3,399","1,543",285,379,355,286,219,258,29,45
2021년11월_계_50~59세,"4,951","1,721",513,554,583,608,484,370,45,73
2021년11월_계_60~69세,"5,509","1,569",607,743,739,666,651,427,47,60
2021년11월_계_70~79세,"4,531","1,042",532,534,614,646,649,408,45,61
2021년11월_계_80~89세,"3,073",560,365,388,435,446,480,326,44,29
2021년11월_계_90~99세,393,74,43,60,59,69,51,24,4,9
2021년11월_계_100세 이상,10,2,0,3,1,0,1,3,0,0
2021년11월_남_총인구수,"14,925","5,299","1,498","1,736","1,759","1,649","1,475","1,175",140,194
2021년11월_남_연령구간인구수,"14,925","5,299","1,498","1,736","1,759","1,649","1,475","1,175",140,194
2021년11월_남_0~9세,765,401,52,92,62,58,45,39,7,9
2021년11월_남_10~19세,"1,098",588,77,120,85,83,53,64,6,22
2021년11월_남_20~29세,"1,420",697,114,138,121,120,122,85,7,16
2021년11월_남_30~39세,"1,110",531,99,125,103,92,74,68,8,10
2021년11월_남_40~49세,"1,974",791,172,226,235,178,151,170,21,30
2021년11월_남_50~59세,"2,801",891,298,311,344,355,285,241,27,49
2021년11월_남_60~69세,"2,810",750,330,369,386,345,327,247,30,26
2021년11월_남_70~79세,"1,957",463,236,226,265,280,273,167,23,24
2021년11월_남_80~89세,917,172,110,118,145,128,137,91,9,7
2021년11월_남_90~99세,73,15,10,11,13,10,8,3,2,1
2021년11월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"15,179","5,462","1,456","1,823","1,690","1,748","1,590","1,099",123,188
2021년11월_여_연령구간인구수,"15,179","5,462","1,456","1,823","1,690","1,748","1,590","1,099",123,188
2021년11월_여_0~9세,800,433,48,85,54,57,50,52,7,14
2021년11월_여_10~19세,"1,069",545,85,135,76,91,57,62,0,18
2021년11월_여_20~29세,"1,001",523,67,98,88,97,71,43,9,5
2021년11월_여_30~39세,975,532,67,105,74,78,58,45,5,11
2021년11월_여_40~49세,"1,425",752,113,153,120,108,68,88,8,15
2021년11월_여_50~59세,"2,150",830,215,243,239,253,199,129,18,24
2021년11월_여_60~69세,"2,699",819,277,374,353,321,324,180,17,34
2021년11월_여_70~79세,"2,574",579,296,308,349,366,376,241,22,37
2021년11월_여_80~89세,"2,156",388,255,270,290,318,343,235,35,22
2021년11월_여_90~99세,320,59,33,49,46,59,43,21,2,8
2021년11월_여_100세 이상,10,2,0,3,1,0,1,3,0,0
