,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년06월_계_총인구수,"26,886","7,070","6,387","2,430","3,800","7,199",0
2020년06월_계_연령구간인구수,"26,886","7,070","6,387","2,430","3,800","7,199",0
2020년06월_계_0~9세,"1,290",572,228,57,161,272,0
2020년06월_계_10~19세,"1,663",594,370,109,180,410,0
2020년06월_계_20~29세,"2,966",907,548,179,434,898,0
2020년06월_계_30~39세,"2,231",806,373,155,316,581,0
2020년06월_계_40~49세,"3,105",922,660,212,401,910,0
2020년06월_계_50~59세,"4,932","1,167","1,182",466,721,"1,396",0
2020년06월_계_60~69세,"5,031","1,006","1,354",569,734,"1,368",0
2020년06월_계_70~79세,"3,537",666,"1,027",431,525,888,0
2020년06월_계_80~89세,"1,784",354,529,217,282,402,0
2020년06월_계_90~99세,331,71,112,35,43,70,0
2020년06월_계_100세 이상,16,5,4,0,3,4,0
2020년06월_남_총인구수,"13,884","3,693","3,185","1,202","1,980","3,824",0
2020년06월_남_연령구간인구수,"13,884","3,693","3,185","1,202","1,980","3,824",0
2020년06월_남_0~9세,663,298,115,25,79,146,0
2020년06월_남_10~19세,891,331,193,62,89,216,0
2020년06월_남_20~29세,"1,882",561,354,103,271,593,0
2020년06월_남_30~39세,"1,271",429,210,92,199,341,0
2020년06월_남_40~49세,"1,740",499,363,135,238,505,0
2020년06월_남_50~59세,"2,650",620,648,247,376,759,0
2020년06월_남_60~69세,"2,582",510,669,291,388,724,0
2020년06월_남_70~79세,"1,530",318,431,177,230,374,0
2020년06월_남_80~89세,596,107,177,63,99,150,0
2020년06월_남_90~99세,76,19,25,7,11,14,0
2020년06월_남_100세 이상,3,1,0,0,0,2,0
2020년06월_여_총인구수,"13,002","3,377","3,202","1,228","1,820","3,375",0
2020년06월_여_연령구간인구수,"13,002","3,377","3,202","1,228","1,820","3,375",0
2020년06월_여_0~9세,627,274,113,32,82,126,0
2020년06월_여_10~19세,772,263,177,47,91,194,0
2020년06월_여_20~29세,"1,084",346,194,76,163,305,0
2020년06월_여_30~39세,960,377,163,63,117,240,0
2020년06월_여_40~49세,"1,365",423,297,77,163,405,0
2020년06월_여_50~59세,"2,282",547,534,219,345,637,0
2020년06월_여_60~69세,"2,449",496,685,278,346,644,0
2020년06월_여_70~79세,"2,007",348,596,254,295,514,0
2020년06월_여_80~89세,"1,188",247,352,154,183,252,0
2020년06월_여_90~99세,255,52,87,28,32,56,0
2020년06월_여_100세 이상,13,4,4,0,3,2,0
