카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년05월_계_총인구수,"31,034","10,019","2,176","2,264","3,556","1,544","1,955","2,378","2,772","2,220","2,150"
2020년05월_계_연령구간인구수,"31,034","10,019","2,176","2,264","3,556","1,544","1,955","2,378","2,772","2,220","2,150"
2020년05월_계_0~9세,"1,332",688,52,79,147,31,54,82,88,63,48
2020년05월_계_10~19세,"2,043",943,97,87,270,84,113,124,106,112,107
2020년05월_계_20~29세,"2,697","1,269",164,161,324,104,117,130,179,122,127
2020년05월_계_30~39세,"2,145",940,109,121,278,78,105,126,145,117,126
2020년05월_계_40~49세,"3,215","1,277",185,218,412,134,189,219,228,173,180
2020년05월_계_50~59세,"5,358","1,693",377,419,609,309,317,383,488,371,392
2020년05월_계_60~69세,"5,973","1,518",445,506,646,317,426,521,585,513,496
2020년05월_계_70~79세,"4,532",956,389,352,496,248,352,461,507,403,368
2020년05월_계_80~89세,"3,294",630,325,290,330,211,239,295,399,307,268
2020년05월_계_90~99세,426,98,33,30,42,28,41,34,47,38,35
2020년05월_계_100세 이상,19,7,0,1,2,0,2,3,0,1,3
2020년05월_남_총인구수,"15,712","5,023","1,087","1,189","1,844",796,"1,001","1,194","1,382","1,122","1,074"
2020년05월_남_연령구간인구수,"15,712","5,023","1,087","1,189","1,844",796,"1,001","1,194","1,382","1,122","1,074"
2020년05월_남_0~9세,678,353,27,38,77,20,21,41,42,34,25
2020년05월_남_10~19세,"1,074",479,58,52,142,45,61,62,61,52,62
2020년05월_남_20~29세,"1,554",720,91,96,203,59,70,63,102,76,74
2020년05월_남_30~39세,"1,230",487,68,76,167,46,66,82,88,71,79
2020년05월_남_40~49세,"1,874",670,102,138,233,83,124,149,146,113,116
2020년05월_남_50~59세,"2,921",890,204,246,331,172,181,212,272,201,212
2020년05월_남_60~69세,"3,066",740,243,272,337,178,223,261,302,256,254
2020년05월_남_70~79세,"2,024",437,177,156,216,111,161,199,223,189,155
2020년05월_남_80~89세,"1,176",221,109,105,120,76,82,117,138,118,90
2020년05월_남_90~99세,112,23,8,10,18,6,12,8,8,12,7
2020년05월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"15,322","4,996","1,089","1,075","1,712",748,954,"1,184","1,390","1,098","1,076"
2020년05월_여_연령구간인구수,"15,322","4,996","1,089","1,075","1,712",748,954,"1,184","1,390","1,098","1,076"
2020년05월_여_0~9세,654,335,25,41,70,11,33,41,46,29,23
2020년05월_여_10~19세,969,464,39,35,128,39,52,62,45,60,45
2020년05월_여_20~29세,"1,143",549,73,65,121,45,47,67,77,46,53
2020년05월_여_30~39세,915,453,41,45,111,32,39,44,57,46,47
2020년05월_여_40~49세,"1,341",607,83,80,179,51,65,70,82,60,64
2020년05월_여_50~59세,"2,437",803,173,173,278,137,136,171,216,170,180
2020년05월_여_60~69세,"2,907",778,202,234,309,139,203,260,283,257,242
2020년05월_여_70~79세,"2,508",519,212,196,280,137,191,262,284,214,213
2020년05월_여_80~89세,"2,118",409,216,185,210,135,157,178,261,189,178
2020년05월_여_90~99세,314,75,25,20,24,22,29,26,39,26,28
2020년05월_여_100세 이상,16,4,0,1,2,0,2,3,0,1,3
