,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년03월_계_총인구수,"252,911","5,437","24,688","9,434","21,400","4,278","6,284","4,708","3,254","3,187","21,783","6,220","5,708","5,182","6,468","13,894","4,673","14,776","5,829","23,282","28,507","22,469","9,708","1,742"
2021년03월_계_연령구간인구수,"252,911","5,437","24,688","9,434","21,400","4,278","6,284","4,708","3,254","3,187","21,783","6,220","5,708","5,182","6,468","13,894","4,673","14,776","5,829","23,282","28,507","22,469","9,708","1,742"
2021년03월_계_0~9세,"16,013",143,"1,140",338,"1,308",214,268,97,51,58,"2,387",193,274,200,169,430,96,"1,156",357,"2,813","2,419","1,204",652,46
2021년03월_계_10~19세,"20,705",227,"2,017",520,"1,186",186,325,199,86,131,"2,419",316,318,315,321,821,197,"1,653",324,"2,578","3,655","2,225",592,94
2021년03월_계_20~29세,"26,452",361,"2,288",705,"2,143",447,597,274,134,173,"2,283",488,535,528,623,"1,977",340,"1,886",468,"2,578","3,679","2,953",819,173
2021년03월_계_30~39세,"25,080",324,"1,743",662,"2,511",456,498,251,124,149,"2,971",359,580,492,539,"1,255",277,"1,446",513,"3,274","3,150","2,279","1,105",122
2021년03월_계_40~49세,"36,501",605,"3,307","1,035","2,934",372,706,398,192,289,"3,789",710,708,635,739,"1,790",492,"2,523",742,"4,217","5,203","3,592","1,317",206
2021년03월_계_50~59세,"46,680",984,"4,991","1,674","4,291",659,"1,303",862,578,562,"3,606","1,241","1,034",842,"1,151","2,365",823,"2,796","1,012","3,963","5,407","4,486","1,731",319
2021년03월_계_60~69세,"41,848","1,261","4,436","2,076","3,770",843,"1,350","1,141","1,007",755,"2,465","1,354","1,103","1,062","1,437","2,684","1,066","1,825","1,133","2,380","3,087","3,441","1,780",392
2021년03월_계_70~79세,"24,623",932,"2,933","1,458","1,985",607,748,832,649,647,"1,157",901,723,745,982,"1,804",799,943,790,933,"1,200","1,550","1,052",253
2021년03월_계_80~89세,"13,192",522,"1,643",857,"1,108",425,407,584,384,377,623,577,387,331,445,676,515,484,423,473,611,656,566,118
2021년03월_계_90~99세,"1,753",75,180,105,159,65,80,67,49,44,82,79,45,32,60,90,59,63,65,69,95,81,91,18
2021년03월_계_100세 이상,64,3,10,4,5,4,2,3,0,2,1,2,1,0,2,2,9,1,2,4,1,2,3,1
2021년03월_남_총인구수,"126,619","2,731","12,226","4,799","11,308","2,243","3,330","2,362","1,610","1,583","10,755","3,153","2,980","2,570","3,139","6,889","2,318","7,404","2,870","11,513","13,969","11,220","4,785",862
2021년03월_남_연령구간인구수,"126,619","2,731","12,226","4,799","11,308","2,243","3,330","2,362","1,610","1,583","10,755","3,153","2,980","2,570","3,139","6,889","2,318","7,404","2,870","11,513","13,969","11,220","4,785",862
2021년03월_남_0~9세,"8,183",77,590,183,660,113,138,54,30,24,"1,251",86,139,100,75,242,50,589,178,"1,419","1,217",616,329,23
2021년03월_남_10~19세,"10,828",118,"1,028",292,638,118,162,103,47,91,"1,227",161,159,176,176,429,96,876,177,"1,306","1,931","1,172",301,44
2021년03월_남_20~29세,"14,915",227,"1,304",443,"1,229",283,394,160,81,102,"1,220",283,310,297,346,"1,111",207,"1,052",281,"1,430","1,992","1,653",425,85
2021년03월_남_30~39세,"13,392",190,937,387,"1,472",270,295,155,62,83,"1,480",213,320,279,305,740,163,756,253,"1,618","1,519","1,241",582,72
2021년03월_남_40~49세,"19,005",381,"1,727",608,"1,723",244,419,234,112,171,"1,856",408,407,348,413,974,278,"1,218",402,"2,089","2,387","1,777",716,113
2021년03월_남_50~59세,"24,140",558,"2,587",891,"2,336",387,746,485,305,327,"1,793",696,577,424,605,"1,171",458,"1,427",532,"1,910","2,663","2,179",911,172
2021년03월_남_60~69세,"20,639",620,"2,177","1,037","1,979",438,674,602,519,363,"1,200",705,579,482,645,"1,171",540,895,540,"1,197","1,560","1,654",859,203
2021년03월_남_70~79세,"11,002",375,"1,314",648,929,264,352,384,313,282,534,414,348,336,404,784,345,416,356,401,519,697,474,113
2021년03월_남_80~89세,"4,166",170,526,288,311,116,134,168,133,132,186,165,129,123,156,251,165,165,135,129,168,211,171,34
2021년03월_남_90~99세,336,14,35,22,29,9,16,16,8,7,7,22,12,5,14,15,13,10,16,14,13,19,17,3
2021년03월_남_100세 이상,13,1,1,0,2,1,0,1,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0
2021년03월_여_총인구수,"126,292","2,706","12,462","4,635","10,092","2,035","2,954","2,346","1,644","1,604","11,028","3,067","2,728","2,612","3,329","7,005","2,355","7,372","2,959","11,769","14,538","11,249","4,923",880
2021년03월_여_연령구간인구수,"126,292","2,706","12,462","4,635","10,092","2,035","2,954","2,346","1,644","1,604","11,028","3,067","2,728","2,612","3,329","7,005","2,355","7,372","2,959","11,769","14,538","11,249","4,923",880
2021년03월_여_0~9세,"7,830",66,550,155,648,101,130,43,21,34,"1,136",107,135,100,94,188,46,567,179,"1,394","1,202",588,323,23
2021년03월_여_10~19세,"9,877",109,989,228,548,68,163,96,39,40,"1,192",155,159,139,145,392,101,777,147,"1,272","1,724","1,053",291,50
2021년03월_여_20~29세,"11,537",134,984,262,914,164,203,114,53,71,"1,063",205,225,231,277,866,133,834,187,"1,148","1,687","1,300",394,88
2021년03월_여_30~39세,"11,688",134,806,275,"1,039",186,203,96,62,66,"1,491",146,260,213,234,515,114,690,260,"1,656","1,631","1,038",523,50
2021년03월_여_40~49세,"17,496",224,"1,580",427,"1,211",128,287,164,80,118,"1,933",302,301,287,326,816,214,"1,305",340,"2,128","2,816","1,815",601,93
2021년03월_여_50~59세,"22,540",426,"2,404",783,"1,955",272,557,377,273,235,"1,813",545,457,418,546,"1,194",365,"1,369",480,"2,053","2,744","2,307",820,147
2021년03월_여_60~69세,"21,209",641,"2,259","1,039","1,791",405,676,539,488,392,"1,265",649,524,580,792,"1,513",526,930,593,"1,183","1,527","1,787",921,189
2021년03월_여_70~79세,"13,621",557,"1,619",810,"1,056",343,396,448,336,365,623,487,375,409,578,"1,020",454,527,434,532,681,853,578,140
2021년03월_여_80~89세,"9,026",352,"1,117",569,797,309,273,416,251,245,437,412,258,208,289,425,350,319,288,344,443,445,395,84
2021년03월_여_90~99세,"1,417",61,145,83,130,56,64,51,41,37,75,57,33,27,46,75,46,53,49,55,82,62,74,15
2021년03월_여_100세 이상,51,2,9,4,3,3,2,2,0,1,0,2,1,0,2,1,6,1,2,4,1,1,3,1
