카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년09월_계_총인구수,"99,909","38,292","8,509","28,562","3,504","3,456","2,942","2,308","2,111","3,260","3,517","3,448"
2020년09월_계_연령구간인구수,"99,909","38,292","8,509","28,562","3,504","3,456","2,942","2,308","2,111","3,260","3,517","3,448"
2020년09월_계_0~9세,"7,851","2,540",287,"4,399",102,129,81,44,26,79,77,87
2020년09월_계_10~19세,"9,625","4,395",460,"3,677",132,223,119,70,64,146,153,186
2020년09월_계_20~29세,"9,615","4,846",601,"2,707",227,238,143,119,115,213,190,216
2020년09월_계_30~39세,"10,584","3,665",478,"5,159",213,187,142,99,97,145,202,197
2020년09월_계_40~49세,"14,546","6,133",828,"5,427",335,374,237,165,129,291,278,349
2020년09월_계_50~59세,"15,884","6,785","1,477","3,393",648,587,467,381,370,568,574,634
2020년09월_계_60~69세,"14,496","5,075","1,829","2,033",773,702,626,544,515,768,844,787
2020년09월_계_70~79세,"10,037","3,051","1,571","1,055",587,537,581,459,425,594,618,559
2020년09월_계_80~89세,"6,348","1,565",841,627,428,430,496,357,323,393,504,384
2020년09월_계_90~99세,862,220,116,82,58,47,48,69,47,56,72,47
2020년09월_계_100세 이상,61,17,21,3,1,2,2,1,0,7,5,2
2020년09월_남_총인구수,"49,689","18,979","4,169","14,300","1,782","1,748","1,419","1,166","1,028","1,609","1,753","1,736"
2020년09월_남_연령구간인구수,"49,689","18,979","4,169","14,300","1,782","1,748","1,419","1,166","1,028","1,609","1,753","1,736"
2020년09월_남_0~9세,"4,085","1,295",154,"2,297",58,74,43,25,12,37,44,46
2020년09월_남_10~19세,"4,909","2,246",245,"1,870",75,115,61,34,26,64,79,94
2020년09월_남_20~29세,"5,312","2,675",362,"1,369",136,161,82,79,77,129,114,128
2020년09월_남_30~39세,"5,480","1,914",278,"2,528",131,104,85,66,64,85,124,101
2020년09월_남_40~49세,"7,607","3,008",483,"2,757",210,211,154,106,86,195,183,214
2020년09월_남_50~59세,"8,283","3,464",754,"1,791",354,314,257,216,191,288,305,349
2020년09월_남_60~69세,"7,096","2,408",869,982,400,366,305,274,251,391,436,414
2020년09월_남_70~79세,"4,476","1,359",689,489,259,248,244,218,191,265,259,255
2020년09월_남_80~89세,"2,202",542,292,202,144,147,176,130,122,138,185,124
2020년09월_남_90~99세,220,61,37,15,14,8,11,18,8,15,22,11
2020년09월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년09월_여_총인구수,"50,220","19,313","4,340","14,262","1,722","1,708","1,523","1,142","1,083","1,651","1,764","1,712"
2020년09월_여_연령구간인구수,"50,220","19,313","4,340","14,262","1,722","1,708","1,523","1,142","1,083","1,651","1,764","1,712"
2020년09월_여_0~9세,"3,766","1,245",133,"2,102",44,55,38,19,14,42,33,41
2020년09월_여_10~19세,"4,716","2,149",215,"1,807",57,108,58,36,38,82,74,92
2020년09월_여_20~29세,"4,303","2,171",239,"1,338",91,77,61,40,38,84,76,88
2020년09월_여_30~39세,"5,104","1,751",200,"2,631",82,83,57,33,33,60,78,96
2020년09월_여_40~49세,"6,939","3,125",345,"2,670",125,163,83,59,43,96,95,135
2020년09월_여_50~59세,"7,601","3,321",723,"1,602",294,273,210,165,179,280,269,285
2020년09월_여_60~69세,"7,400","2,667",960,"1,051",373,336,321,270,264,377,408,373
2020년09월_여_70~79세,"5,561","1,692",882,566,328,289,337,241,234,329,359,304
2020년09월_여_80~89세,"4,146","1,023",549,425,284,283,320,227,201,255,319,260
2020년09월_여_90~99세,642,159,79,67,44,39,37,51,39,41,50,36
2020년09월_여_100세 이상,42,10,15,3,0,2,1,1,0,5,3,2
