카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년06월_계_총인구수,"1,442,647","103,146","293,088","213,910","427,858","404,645"
2021년06월_계_연령구간인구수,"1,442,647","103,146","293,088","213,910","427,858","404,645"
2021년06월_계_0~9세,"116,423","7,279","20,836","17,076","32,649","38,583"
2021년06월_계_10~19세,"154,106","7,319","30,515","22,576","42,027","51,669"
2021년06월_계_20~29세,"207,952","14,807","45,003","27,664","61,693","58,785"
2021년06월_계_30~39세,"182,779","13,501","35,642","25,073","54,853","53,710"
2021년06월_계_40~49세,"237,840","14,028","47,621","33,993","66,478","75,720"
2021년06월_계_50~59세,"233,886","15,484","49,302","32,803","71,237","65,060"
2021년06월_계_60~69세,"168,355","14,945","35,232","28,562","54,856","34,760"
2021년06월_계_70~79세,"93,901","10,267","19,332","17,424","29,713","17,165"
2021년06월_계_80~89세,"41,202","4,816","8,357","7,559","12,511","7,959"
2021년06월_계_90~99세,"5,968",667,"1,201","1,141","1,775","1,184"
2021년06월_계_100세 이상,235,33,47,39,66,50
2021년06월_남_총인구수,"713,793","50,926","143,635","102,885","212,433","203,914"
2021년06월_남_연령구간인구수,"713,793","50,926","143,635","102,885","212,433","203,914"
2021년06월_남_0~9세,"59,751","3,755","10,802","8,693","16,716","19,785"
2021년06월_남_10~19세,"79,838","3,766","16,082","11,289","22,157","26,544"
2021년06월_남_20~29세,"108,529","7,581","23,038","14,233","32,425","31,252"
2021년06월_남_30~39세,"93,495","6,996","18,089","12,468","28,609","27,333"
2021년06월_남_40~49세,"118,137","7,335","22,993","16,752","33,352","37,705"
2021년06월_남_50~59세,"116,153","7,669","24,194","15,554","34,962","33,774"
2021년06월_남_60~69세,"80,209","7,060","16,535","13,073","26,059","17,482"
2021년06월_남_70~79세,"41,692","4,548","8,599","7,761","13,334","7,450"
2021년06월_남_80~89세,"14,694","2,019","3,038","2,812","4,457","2,368"
2021년06월_남_90~99세,"1,267",188,261,245,357,216
2021년06월_남_100세 이상,28,9,4,5,5,5
2021년06월_여_총인구수,"728,854","52,220","149,453","111,025","215,425","200,731"
2021년06월_여_연령구간인구수,"728,854","52,220","149,453","111,025","215,425","200,731"
2021년06월_여_0~9세,"56,672","3,524","10,034","8,383","15,933","18,798"
2021년06월_여_10~19세,"74,268","3,553","14,433","11,287","19,870","25,125"
2021년06월_여_20~29세,"99,423","7,226","21,965","13,431","29,268","27,533"
2021년06월_여_30~39세,"89,284","6,505","17,553","12,605","26,244","26,377"
2021년06월_여_40~49세,"119,703","6,693","24,628","17,241","33,126","38,015"
2021년06월_여_50~59세,"117,733","7,815","25,108","17,249","36,275","31,286"
2021년06월_여_60~69세,"88,146","7,885","18,697","15,489","28,797","17,278"
2021년06월_여_70~79세,"52,209","5,719","10,733","9,663","16,379","9,715"
2021년06월_여_80~89세,"26,508","2,797","5,319","4,747","8,054","5,591"
2021년06월_여_90~99세,"4,701",479,940,896,"1,418",968
2021년06월_여_100세 이상,207,24,43,34,61,45
