카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년02월_계_총인구수,"31,245","10,060","1,431","1,852","2,571","8,450","1,928","1,580","3,373"
2021년02월_계_연령구간인구수,"31,245","10,060","1,431","1,852","2,571","8,450","1,928","1,580","3,373"
2021년02월_계_0~9세,"1,403",597,36,47,64,480,41,33,105
2021년02월_계_10~19세,"2,015",900,45,53,78,759,33,45,102
2021년02월_계_20~29세,"2,503",954,91,116,201,761,128,70,182
2021년02월_계_30~39세,"2,210",795,63,103,161,744,113,69,162
2021년02월_계_40~49세,"3,780","1,524",96,149,247,"1,217",140,143,264
2021년02월_계_50~59세,"5,876","1,854",256,333,548,"1,604",397,282,602
2021년02월_계_60~69세,"6,335","1,684",363,442,612,"1,551",476,355,852
2021년02월_계_70~79세,"4,107","1,072",237,345,377,849,338,312,577
2021년02월_계_80~89세,"2,679",607,219,232,248,441,226,249,457
2021년02월_계_90~99세,326,70,23,31,34,44,36,21,67
2021년02월_계_100세 이상,11,3,2,1,1,0,0,1,3
2021년02월_남_총인구수,"16,013","5,064",705,927,"1,401","4,395","1,030",811,"1,680"
2021년02월_남_연령구간인구수,"16,013","5,064",705,927,"1,401","4,395","1,030",811,"1,680"
2021년02월_남_0~9세,727,319,18,20,27,249,22,19,53
2021년02월_남_10~19세,"1,071",487,25,31,38,397,20,17,56
2021년02월_남_20~29세,"1,451",553,49,65,118,435,78,47,106
2021년02월_남_30~39세,"1,210",402,38,61,105,403,69,45,87
2021년02월_남_40~49세,"2,123",795,53,95,167,656,95,94,168
2021년02월_남_50~59세,"3,315","1,019",142,181,318,895,247,167,346
2021년02월_남_60~69세,"3,332",830,201,235,346,811,270,184,455
2021년02월_남_70~79세,"1,819",445,95,154,181,382,156,150,256
2021년02월_남_80~89세,882,199,76,76,92,155,62,84,138
2021년02월_남_90~99세,78,14,7,8,9,12,11,3,14
2021년02월_남_100세 이상,5,1,1,1,0,0,0,1,1
2021년02월_여_총인구수,"15,232","4,996",726,925,"1,170","4,055",898,769,"1,693"
2021년02월_여_연령구간인구수,"15,232","4,996",726,925,"1,170","4,055",898,769,"1,693"
2021년02월_여_0~9세,676,278,18,27,37,231,19,14,52
2021년02월_여_10~19세,944,413,20,22,40,362,13,28,46
2021년02월_여_20~29세,"1,052",401,42,51,83,326,50,23,76
2021년02월_여_30~39세,"1,000",393,25,42,56,341,44,24,75
2021년02월_여_40~49세,"1,657",729,43,54,80,561,45,49,96
2021년02월_여_50~59세,"2,561",835,114,152,230,709,150,115,256
2021년02월_여_60~69세,"3,003",854,162,207,266,740,206,171,397
2021년02월_여_70~79세,"2,288",627,142,191,196,467,182,162,321
2021년02월_여_80~89세,"1,797",408,143,156,156,286,164,165,319
2021년02월_여_90~99세,248,56,16,23,25,32,25,18,53
2021년02월_여_100세 이상,6,2,1,0,1,0,0,0,2
