,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년08월_계_총인구수,"27,663","7,459","1,335","1,666","1,476","1,688","3,778","1,321","1,530","3,416","1,568","1,184","1,242"
2020년08월_계_연령구간인구수,"27,663","7,459","1,335","1,666","1,476","1,688","3,778","1,321","1,530","3,416","1,568","1,184","1,242"
2020년08월_계_0~9세,"1,402",684,37,49,61,50,119,46,39,169,44,46,58
2020년08월_계_10~19세,"1,728",730,53,62,71,82,239,53,70,182,84,49,53
2020년08월_계_20~29세,"2,162",742,83,124,103,109,293,84,71,264,144,66,79
2020년08월_계_30~39세,"2,016",816,67,103,100,87,243,65,76,242,68,76,73
2020년08월_계_40~49세,"2,958","1,085",137,153,136,152,370,117,128,344,159,85,92
2020년08월_계_50~59세,"4,765","1,057",213,343,243,303,648,259,244,668,318,241,228
2020년08월_계_60~69세,"4,920",990,249,397,294,308,739,253,313,644,276,227,230
2020년08월_계_70~79세,"4,304",772,266,238,265,333,604,257,307,527,270,239,226
2020년08월_계_80~89세,"2,962",505,202,166,179,232,460,162,242,334,172,135,173
2020년08월_계_90~99세,423,75,26,31,21,30,62,24,40,39,30,15,30
2020년08월_계_100세 이상,23,3,2,0,3,2,1,1,0,3,3,5,0
2020년08월_남_총인구수,"14,144","3,823",677,858,749,877,"1,894",699,759,"1,755",836,597,620
2020년08월_남_연령구간인구수,"14,144","3,823",677,858,749,877,"1,894",699,759,"1,755",836,597,620
2020년08월_남_0~9세,736,370,18,23,30,27,66,28,18,84,22,16,34
2020년08월_남_10~19세,921,366,28,38,45,50,135,28,32,90,56,25,28
2020년08월_남_20~29세,"1,273",441,53,64,58,70,165,53,45,149,93,35,47
2020년08월_남_30~39세,"1,107",420,38,53,64,52,139,36,42,141,41,45,36
2020년08월_남_40~49세,"1,807",606,96,93,80,100,218,75,85,222,115,55,62
2020년08월_남_50~59세,"2,702",588,118,194,137,167,360,163,143,382,183,149,118
2020년08월_남_60~69세,"2,618",503,138,217,152,170,384,155,165,325,152,123,134
2020년08월_남_70~79세,"1,896",348,113,109,117,150,254,101,140,253,115,97,99
2020년08월_남_80~89세,982,170,68,55,60,84,154,54,80,98,53,51,55
2020년08월_남_90~99세,95,10,5,12,6,6,18,5,9,11,6,0,7
2020년08월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년08월_여_총인구수,"13,519","3,636",658,808,727,811,"1,884",622,771,"1,661",732,587,622
2020년08월_여_연령구간인구수,"13,519","3,636",658,808,727,811,"1,884",622,771,"1,661",732,587,622
2020년08월_여_0~9세,666,314,19,26,31,23,53,18,21,85,22,30,24
2020년08월_여_10~19세,807,364,25,24,26,32,104,25,38,92,28,24,25
2020년08월_여_20~29세,889,301,30,60,45,39,128,31,26,115,51,31,32
2020년08월_여_30~39세,909,396,29,50,36,35,104,29,34,101,27,31,37
2020년08월_여_40~49세,"1,151",479,41,60,56,52,152,42,43,122,44,30,30
2020년08월_여_50~59세,"2,063",469,95,149,106,136,288,96,101,286,135,92,110
2020년08월_여_60~69세,"2,302",487,111,180,142,138,355,98,148,319,124,104,96
2020년08월_여_70~79세,"2,408",424,153,129,148,183,350,156,167,274,155,142,127
2020년08월_여_80~89세,"1,980",335,134,111,119,148,306,108,162,236,119,84,118
2020년08월_여_90~99세,328,65,21,19,15,24,44,19,31,28,24,15,23
2020년08월_여_100세 이상,16,2,0,0,3,1,0,0,0,3,3,4,0
