,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년02월_계_총인구수,"479,290","26,785","46,600","29,033","9,834","5,511","8,182","62,071","39,298","22,827","62,297","41,030","42,244","33,948","49,630"
2021년02월_계_연령구간인구수,"479,290","26,785","46,600","29,033","9,834","5,511","8,182","62,071","39,298","22,827","62,297","41,030","42,244","33,948","49,630"
2021년02월_계_0~9세,"55,509","1,660","6,344","2,304",331,147,258,"6,035","4,981","1,573","6,800","5,686","6,407","5,391","7,592"
2021년02월_계_10~19세,"48,327","2,291","4,448","2,499",535,245,446,"6,421","5,526","2,087","6,982","5,043","3,653","2,913","5,238"
2021년02월_계_20~29세,"52,542","3,253","4,337","2,964",911,524,813,"7,925","3,934","3,202","7,812","3,874","5,429","2,970","4,594"
2021년02월_계_30~39세,"76,765","2,911","8,549","3,866",865,399,655,"8,425","5,646","2,854","9,248","6,688","9,933","7,527","9,199"
2021년02월_계_40~49세,"89,778","4,034","8,856","4,826","1,258",597,880,"10,815","8,431","3,759","11,699","9,060","8,106","6,624","10,833"
2021년02월_계_50~59세,"67,587","5,164","5,919","5,041","2,186","1,164","1,683","10,441","5,058","4,247","8,974","4,825","3,927","3,330","5,628"
2021년02월_계_60~69세,"50,461","4,229","4,984","4,286","2,079","1,290","1,763","6,787","3,213","2,835","5,988","3,320","2,907","2,920","3,860"
2021년02월_계_70~79세,"25,968","2,027","2,193","2,166","1,067",709,"1,043","3,444","1,756","1,500","3,299","1,778","1,377","1,673","1,936"
2021년02월_계_80~89세,"10,718","1,055",824,916,517,354,556,"1,565",664,677,"1,332",664,435,511,648
2021년02월_계_90~99세,"1,561",156,133,156,83,77,78,203,87,86,155,90,68,87,102
2021년02월_계_100세 이상,74,5,13,9,2,5,7,10,2,7,8,2,2,2,0
2021년02월_남_총인구수,"240,076","14,318","23,254","15,293","5,744","3,028","4,459","30,577","19,165","11,440","30,463","20,167","21,054","16,810","24,304"
2021년02월_남_연령구간인구수,"240,076","14,318","23,254","15,293","5,744","3,028","4,459","30,577","19,165","11,440","30,463","20,167","21,054","16,810","24,304"
2021년02월_남_0~9세,"28,279",852,"3,312","1,150",180,70,140,"3,001","2,488",828,"3,471","2,908","3,248","2,745","3,886"
2021년02월_남_10~19세,"24,625","1,250","2,295","1,287",286,121,249,"3,286","2,799","1,099","3,558","2,474","1,789","1,454","2,678"
2021년02월_남_20~29세,"27,076","1,951","2,170","1,610",572,318,491,"4,213","1,976","1,700","3,787","2,005","2,617","1,443","2,223"
2021년02월_남_30~39세,"37,704","1,630","4,087","2,157",546,234,395,"4,063","2,608","1,469","4,434","3,164","4,994","3,738","4,185"
2021년02월_남_40~49세,"46,736","2,262","4,604","2,725",809,370,546,"5,318","4,158","1,920","5,773","4,628","4,407","3,565","5,651"
2021년02월_남_50~59세,"34,508","2,796","2,930","2,768","1,391",671,957,"5,179","2,560","2,118","4,461","2,439","1,880","1,596","2,762"
2021년02월_남_60~69세,"24,562","2,245","2,401","2,200","1,198",707,942,"3,361","1,477","1,363","2,850","1,502","1,310","1,267","1,739"
2021년02월_남_70~79세,"12,145",917,"1,118","1,026",531,386,499,"1,513",816,673,"1,561",789,631,787,898
2021년02월_남_80~89세,"4,048",367,307,336,209,135,213,586,263,252,530,241,162,191,256
2021년02월_남_90~99세,374,46,28,30,22,15,25,54,19,18,36,17,15,23,26
2021년02월_남_100세 이상,19,2,2,4,0,1,2,3,1,0,2,0,1,1,0
2021년02월_여_총인구수,"239,214","12,467","23,346","13,740","4,090","2,483","3,723","31,494","20,133","11,387","31,834","20,863","21,190","17,138","25,326"
2021년02월_여_연령구간인구수,"239,214","12,467","23,346","13,740","4,090","2,483","3,723","31,494","20,133","11,387","31,834","20,863","21,190","17,138","25,326"
2021년02월_여_0~9세,"27,230",808,"3,032","1,154",151,77,118,"3,034","2,493",745,"3,329","2,778","3,159","2,646","3,706"
2021년02월_여_10~19세,"23,702","1,041","2,153","1,212",249,124,197,"3,135","2,727",988,"3,424","2,569","1,864","1,459","2,560"
2021년02월_여_20~29세,"25,466","1,302","2,167","1,354",339,206,322,"3,712","1,958","1,502","4,025","1,869","2,812","1,527","2,371"
2021년02월_여_30~39세,"39,061","1,281","4,462","1,709",319,165,260,"4,362","3,038","1,385","4,814","3,524","4,939","3,789","5,014"
2021년02월_여_40~49세,"43,042","1,772","4,252","2,101",449,227,334,"5,497","4,273","1,839","5,926","4,432","3,699","3,059","5,182"
2021년02월_여_50~59세,"33,079","2,368","2,989","2,273",795,493,726,"5,262","2,498","2,129","4,513","2,386","2,047","1,734","2,866"
2021년02월_여_60~69세,"25,899","1,984","2,583","2,086",881,583,821,"3,426","1,736","1,472","3,138","1,818","1,597","1,653","2,121"
2021년02월_여_70~79세,"13,823","1,110","1,075","1,140",536,323,544,"1,931",940,827,"1,738",989,746,886,"1,038"
2021년02월_여_80~89세,"6,670",688,517,580,308,219,343,979,401,425,802,423,273,320,392
2021년02월_여_90~99세,"1,187",110,105,126,61,62,53,149,68,68,119,73,53,64,76
2021년02월_여_100세 이상,55,3,11,5,2,4,5,7,1,7,6,2,1,1,0
