카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년07월_계_총인구수,"398,744","35,707","20,948","24,039","23,626","19,944","29,345","8,954","22,616","26,868","34,087","31,186","20,330","22,771","38,330","23,687","16,306"
2021년07월_계_연령구간인구수,"398,744","35,707","20,948","24,039","23,626","19,944","29,345","8,954","22,616","26,868","34,087","31,186","20,330","22,771","38,330","23,687","16,306"
2021년07월_계_0~9세,"26,666","3,499","1,787",834,"1,253",768,"1,774",231,"1,254","1,704","2,162","2,032","1,098","1,187","2,981","1,409","2,693"
2021년07월_계_10~19세,"29,524","3,520","1,942","1,389","1,373","1,058","1,558",275,"1,881","2,176","2,336","2,272","1,387","1,206","3,936","1,953","1,262"
2021년07월_계_20~29세,"54,509","4,166","2,751","3,186","4,226","2,834","5,084","1,530","3,164","3,498","4,557","3,784","2,533","4,092","4,478","3,040","1,586"
2021년07월_계_30~39세,"61,546","6,051","3,732","2,843","4,898","2,864","5,506","1,233","2,797","3,153","5,080","4,312","2,651","4,436","5,059","3,222","3,709"
2021년07월_계_40~49세,"61,866","6,496","3,606","3,340","3,970","2,818","4,109","1,076","3,384","4,181","4,896","4,736","3,072","3,147","6,488","3,727","2,820"
2021년07월_계_50~59세,"62,236","5,033","2,981","4,586","3,047","3,440","4,489","1,759","3,854","4,685","5,736","4,872","3,433","3,022","5,627","3,896","1,776"
2021년07월_계_60~69세,"57,114","4,127","2,703","4,090","2,617","3,088","3,852","1,609","3,567","4,101","5,257","5,138","3,529","3,026","5,136","3,711","1,563"
2021년07월_계_70~79세,"31,822","1,978",993,"2,621","1,568","2,108","2,079",834,"1,930","2,337","2,875","2,973","1,831","1,847","3,252","1,961",635
2021년07월_계_80~89세,"11,911",734,386,"1,027",602,876,802,358,690,921,"1,047",943,715,711,"1,204",678,217
2021년07월_계_90~99세,"1,501",100,63,119,71,90,91,46,93,108,137,118,77,93,166,87,42
2021년07월_계_100세 이상,49,3,4,4,1,0,1,3,2,4,4,6,4,4,3,3,3
2021년07월_남_총인구수,"196,713","17,434","10,254","12,160","12,098","9,659","14,265","4,896","11,250","13,276","17,023","15,219","9,903","11,106","18,465","11,687","8,018"
2021년07월_남_연령구간인구수,"196,713","17,434","10,254","12,160","12,098","9,659","14,265","4,896","11,250","13,276","17,023","15,219","9,903","11,106","18,465","11,687","8,018"
2021년07월_남_0~9세,"13,582","1,763",919,432,654,412,909,121,629,850,"1,072","1,051",518,578,"1,527",732,"1,415"
2021년07월_남_10~19세,"15,191","1,792","1,030",733,677,540,798,153,964,"1,122","1,185","1,141",737,620,"2,004","1,068",627
2021년07월_남_20~29세,"26,727","2,016","1,294","1,650","2,093","1,325","2,216",829,"1,653","1,793","2,338","1,903","1,294","1,800","2,201","1,571",751
2021년07월_남_30~39세,"31,462","2,902","1,867","1,576","2,687","1,500","2,764",731,"1,457","1,589","2,662","2,157","1,377","2,294","2,478","1,644","1,777"
2021년07월_남_40~49세,"31,685","3,178","1,816","1,778","2,189","1,436","2,103",608,"1,731","2,090","2,509","2,434","1,587","1,651","3,233","1,835","1,507"
2021년07월_남_50~59세,"30,823","2,486","1,405","2,407","1,609","1,732","2,271","1,043","1,889","2,313","2,850","2,324","1,603","1,517","2,702","1,851",821
2021년07월_남_60~69세,"26,989","1,970","1,262","1,969","1,216","1,375","1,886",874,"1,705","2,027","2,543","2,328","1,623","1,446","2,297","1,779",689
2021년07월_남_70~79세,"15,072","1,011",496,"1,160",721,959,961,395,943,"1,090","1,383","1,448",866,889,"1,490",921,339
2021년07월_남_80~89세,"4,799",294,147,431,230,354,332,130,257,373,444,395,278,294,493,266,81
2021년07월_남_90~99세,370,20,17,24,22,26,25,11,21,29,36,35,19,17,39,18,11
2021년07월_남_100세 이상,13,2,1,0,0,0,0,1,1,0,1,3,1,0,1,2,0
