,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년08월_계_총인구수,"3,345,169","1,038,677","263,432","216,218","174,879","191,618","192,530","347,262","129,226","111,440","542,538","105,026","246,402","351,691","26,883","64,497","61,590","51,630","42,980","45,257","35,071","39,236","61,468","44,295"
2020년08월_계_연령구간인구수,"3,345,169","1,038,677","263,432","216,218","174,879","191,618","192,530","347,262","129,226","111,440","542,538","105,026","246,402","351,691","26,883","64,497","61,590","51,630","42,980","45,257","35,071","39,236","61,468","44,295"
2020년08월_계_0~9세,"275,256","85,111","21,992","17,042","12,609","13,669","19,799","28,820","10,063","8,398","50,425","5,754","27,507","35,417","1,121","4,269","3,380","2,693","1,590","1,969","1,408","1,855","3,814","1,662"
2020년08월_계_10~19세,"326,156","100,611","23,867","23,524","13,776","18,485","20,959","35,453","12,887","10,349","61,758","7,951","27,935","34,279","1,550","6,011","4,192","4,083","2,942","2,914","2,130","3,000","5,640","2,471"
2020년08월_계_20~29세,"379,408","130,998","36,417","32,705","19,046","22,460","20,370","44,764","11,331","10,867","69,067","9,172","24,479","40,731","2,050","5,507","4,981","3,966","3,276","3,583","2,492","3,140","5,931","3,073"
2020년08월_계_30~39세,"407,944","136,110","35,889","29,915","20,551","22,106","27,649","41,986","14,414","12,210","70,947","9,027","37,909","50,396","1,794","5,841","5,240","4,039","2,495","2,866","2,219","2,683","5,104","2,664"
2020년08월_계_40~49세,"539,194","168,866","41,370","36,375","25,637","30,467","35,017","54,524","21,552","17,873","99,055","13,098","47,596","60,487","2,935","9,471","7,151","6,523","4,640","5,150","3,573","4,480","7,837","4,383"
2020년08월_계_50~59세,"582,524","186,988","50,796","43,679","29,528","34,752","28,233","57,786","22,611","18,480","96,050","18,974","38,852","58,480","4,640","11,352","11,058","9,214","7,435","8,563","6,647","6,974","10,612","7,808"
2020년08월_계_60~69세,"450,275","138,037","33,519","22,855","29,407","29,265","22,991","44,424","20,006","16,111","56,522","20,688","25,688","41,493","5,298","10,788","11,860","9,505","8,137","8,713","7,106","7,151","9,891","8,857"
2020년08월_계_70~79세,"244,289","62,660","13,152","6,767","16,443","14,621","11,677","25,551","11,085","10,697","26,059","12,559","10,717","20,750","4,049","6,707","8,110","6,802","6,791","6,417","5,317","5,563","7,101","7,354"
2020년08월_계_80~89세,"122,654","25,807","5,631","2,903","6,866","5,196","5,211","12,169","4,640","5,642","11,201","6,865","4,898","8,559","3,002","4,008","4,945","4,173","4,834","4,351","3,626","3,810","4,810","5,314"
2020년08월_계_90~99세,"16,680","3,309",763,433,951,558,604,"1,691",611,782,"1,375",893,777,"1,041",436,532,645,615,823,707,533,549,688,673
2020년08월_계_100세 이상,789,180,36,20,65,39,20,94,26,31,79,45,44,58,8,11,28,17,17,24,20,31,40,36
2020년08월_남_총인구수,"1,684,134","526,309","134,043","110,519","87,023","96,161","98,563","171,852","64,957","56,204","274,363","51,453","129,473","176,488","13,153","32,707","30,605","25,895","20,687","22,558","17,203","18,905","30,013","21,309"
2020년08월_남_연령구간인구수,"1,684,134","526,309","134,043","110,519","87,023","96,161","98,563","171,852","64,957","56,204","274,363","51,453","129,473","176,488","13,153","32,707","30,605","25,895","20,687","22,558","17,203","18,905","30,013","21,309"
2020년08월_남_0~9세,"141,613","44,001","11,302","8,734","6,548","7,109","10,308","14,979","5,063","4,397","25,706","2,931","14,194","18,098",574,"2,143","1,756","1,366",848,"1,039",744,942,"1,971",861
2020년08월_남_10~19세,"170,840","52,759","12,572","12,433","7,179","9,699","10,876","18,692","6,678","5,324","32,191","4,182","14,731","17,667",832,"3,200","2,263","2,217","1,561","1,546","1,149","1,554","3,015","1,279"
2020년08월_남_20~29세,"210,757","72,785","20,199","18,198","10,543","12,347","11,498","24,704","6,258","6,489","37,460","5,283","13,784","21,804","1,158","3,211","2,871","2,342","2,005","2,138","1,419","1,788","3,478","1,780"
2020년08월_남_30~39세,"213,188","71,926","18,946","15,946","10,895","11,691","14,448","21,409","7,443","6,520","36,486","4,783","20,147","25,860",954,"2,974","2,879","2,215","1,307","1,590","1,200","1,399","2,623","1,473"
2020년08월_남_40~49세,"277,686","85,649","20,827","17,403","13,484","15,432","18,503","27,162","11,626","9,532","49,200","6,930","25,985","30,754","1,700","5,141","3,982","3,649","2,510","2,875","1,992","2,453","4,039","2,507"
2020년08월_남_50~59세,"297,180","92,976","25,069","21,387","14,652","17,356","14,512","28,480","11,546","9,737","49,521","9,595","20,633","29,478","2,545","6,225","5,861","4,989","3,931","4,659","3,567","3,694","5,471","4,272"
2020년08월_남_60~69세,"223,810","68,403","17,028","12,285","13,942","13,920","11,228","21,249","9,800","7,778","28,783","10,047","13,366","20,370","2,777","5,578","5,931","4,748","3,981","4,496","3,653","3,554","4,832","4,464"
2020년08월_남_70~79세,"107,545","28,691","6,225","3,225","7,326","6,660","5,255","11,147","4,983","4,563","11,246","5,437","5,018","9,291","1,649","2,917","3,479","2,979","2,948","2,740","2,306","2,256","2,920","2,975"
2020년08월_남_80~89세,"38,179","8,446","1,736",818,"2,255","1,830","1,807","3,709","1,431","1,733","3,477","2,092","1,483","2,939",873,"1,204","1,472","1,272","1,447","1,326","1,059","1,143","1,509","1,564"
2020년08월_남_90~99세,"3,171",632,133,84,183,109,123,299,121,123,270,166,124,217,89,111,109,114,148,145,112,115,146,130
2020년08월_남_100세 이상,165,41,6,6,16,8,5,22,8,8,23,7,8,10,2,3,2,4,1,4,2,7,9,4
2020년08월_여_총인구수,"1,661,035","512,368","129,389","105,699","87,856","95,457","93,967","175,410","64,269","55,236","268,175","53,573","116,929","175,203","13,730","31,790","30,985","25,735","22,293","22,699","17,868","20,331","31,455","22,986"
2020년08월_여_연령구간인구수,"1,661,035","512,368","129,389","105,699","87,856","95,457","93,967","175,410","64,269","55,236","268,175","53,573","116,929","175,203","13,730","31,790","30,985","25,735","22,293","22,699","17,868","20,331","31,455","22,986"
2020년08월_여_0~9세,"133,643","41,110","10,690","8,308","6,061","6,560","9,491","13,841","5,000","4,001","24,719","2,823","13,313","17,319",547,"2,126","1,624","1,327",742,930,664,913,"1,843",801
2020년08월_여_10~19세,"155,316","47,852","11,295","11,091","6,597","8,786","10,083","16,761","6,209","5,025","29,567","3,769","13,204","16,612",718,"2,811","1,929","1,866","1,381","1,368",981,"1,446","2,625","1,192"
2020년08월_여_20~29세,"168,651","58,213","16,218","14,507","8,503","10,113","8,872","20,060","5,073","4,378","31,607","3,889","10,695","18,927",892,"2,296","2,110","1,624","1,271","1,445","1,073","1,352","2,453","1,293"
2020년08월_여_30~39세,"194,756","64,184","16,943","13,969","9,656","10,415","13,201","20,577","6,971","5,690","34,461","4,244","17,762","24,536",840,"2,867","2,361","1,824","1,188","1,276","1,019","1,284","2,481","1,191"
2020년08월_여_40~49세,"261,508","83,217","20,543","18,972","12,153","15,035","16,514","27,362","9,926","8,341","49,855","6,168","21,611","29,733","1,235","4,330","3,169","2,874","2,130","2,275","1,581","2,027","3,798","1,876"
2020년08월_여_50~59세,"285,344","94,012","25,727","22,292","14,876","17,396","13,721","29,306","11,065","8,743","46,529","9,379","18,219","29,002","2,095","5,127","5,197","4,225","3,504","3,904","3,080","3,280","5,141","3,536"
2020년08월_여_60~69세,"226,465","69,634","16,491","10,570","15,465","15,345","11,763","23,175","10,206","8,333","27,739","10,641","12,322","21,123","2,521","5,210","5,929","4,757","4,156","4,217","3,453","3,597","5,059","4,393"
2020년08월_여_70~79세,"136,744","33,969","6,927","3,542","9,117","7,961","6,422","14,404","6,102","6,134","14,813","7,122","5,699","11,459","2,400","3,790","4,631","3,823","3,843","3,677","3,011","3,307","4,181","4,379"
2020년08월_여_80~89세,"84,475","17,361","3,895","2,085","4,611","3,366","3,404","8,460","3,209","3,909","7,724","4,773","3,415","5,620","2,129","2,804","3,473","2,901","3,387","3,025","2,567","2,667","3,301","3,750"
2020년08월_여_90~99세,"13,509","2,677",630,349,768,449,481,"1,392",490,659,"1,105",727,653,824,347,421,536,501,675,562,421,434,542,543
2020년08월_여_100세 이상,624,139,30,14,49,31,15,72,18,23,56,38,36,48,6,8,26,13,16,20,18,24,31,32
