카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년11월_계_총인구수,"353,430","43,032","2,707","3,157","6,206","8,849","6,692","7,456","5,672","3,602","2,449","19,264","29,420","38,931","23,578","29,611","34,380","31,734","19,444","10,963","26,283"
2020년11월_계_연령구간인구수,"353,430","43,032","2,707","3,157","6,206","8,849","6,692","7,456","5,672","3,602","2,449","19,264","29,420","38,931","23,578","29,611","34,380","31,734","19,444","10,963","26,283"
2020년11월_계_0~9세,"47,222","3,247",86,89,334,317,217,320,195,81,101,"2,648","4,289","5,593","3,607","4,710","6,075","5,634","3,221","1,654","4,804"
2020년11월_계_10~19세,"42,306","4,193",110,130,373,402,295,431,396,126,185,"3,355","3,852","5,156","4,296","4,166","4,739","3,284","2,498","1,055","3,264"
2020년11월_계_20~29세,"36,994","6,373",360,301,727,885,993,857,555,286,278,"1,735","3,618","4,385","1,776","2,621","2,623","3,101","1,893","1,303","2,324"
2020년11월_계_30~39세,"61,240","5,398",339,277,719,863,849,717,519,260,186,"2,599","6,021","7,360","3,473","5,508","6,703","7,513","3,756","2,298","5,882"
2020년11월_계_40~49세,"68,318","6,900",325,333,834,"1,020",923,915,700,353,354,"4,498","6,028","8,235","5,981","6,313","7,453","6,013","3,916","1,874","5,350"
2020년11월_계_50~59세,"44,970","6,734",537,554,"1,117","1,634","1,269","1,272","1,061",720,447,"2,539","3,217","4,479","2,645","3,192","3,417","3,570","2,297","1,622","2,647"
2020년11월_계_60~69세,"29,785","5,330",503,685,"1,035","1,775","1,115","1,389",991,868,409,"1,171","1,614","2,205","1,159","1,935","2,295","1,809","1,256",798,"1,443"
2020년11월_계_70~79세,"14,286","3,105",263,415,620,"1,166",596,937,680,525,267,487,535,992,449,801,805,573,434,228,408
2020년11월_계_80~89세,"7,080","1,512",157,311,397,670,382,542,489,324,195,196,196,440,155,319,225,187,140,106,137
2020년11월_계_90~99세,"1,177",226,25,58,48,112,51,73,80,52,26,34,50,86,37,46,45,46,33,25,24
2020년11월_계_100세 이상,52,14,2,4,2,5,2,3,6,7,1,2,0,0,0,0,0,4,0,0,0
2020년11월_남_총인구수,"176,336","22,233","1,517","1,647","3,423","4,642","3,809","4,052","3,007","1,960","1,295","9,467","14,223","18,856","11,680","14,364","16,794","15,619","9,543","5,451","12,754"
2020년11월_남_연령구간인구수,"176,336","22,233","1,517","1,647","3,423","4,642","3,809","4,052","3,007","1,960","1,295","9,467","14,223","18,856","11,680","14,364","16,794","15,619","9,543","5,451","12,754"
2020년11월_남_0~9세,"24,193","1,682",42,44,171,148,114,155,101,36,55,"1,360","2,214","2,895","1,881","2,384","3,090","2,880","1,639",883,"2,419"
2020년11월_남_10~19세,"21,207","2,135",55,66,203,198,155,227,222,68,90,"1,684","1,863","2,579","2,214","2,064","2,423","1,579","1,267",528,"1,587"
2020년11월_남_20~29세,"18,805","3,587",209,188,481,518,609,547,326,164,165,890,"1,600","1,956",912,"1,224","1,265","1,500",916,654,"1,094"
2020년11월_남_30~39세,"29,868","2,946",230,158,449,521,569,453,314,166,111,"1,178","2,850","3,424","1,543","2,581","3,117","3,619","1,735","1,145","2,759"
2020년11월_남_40~49세,"34,925","3,681",215,206,512,627,618,552,420,224,213,"2,170","3,000","4,068","2,880","3,169","3,744","3,043","1,979",925,"2,679"
2020년11월_남_50~59세,"23,384","3,569",314,307,656,907,709,746,595,425,254,"1,327","1,609","2,312","1,426","1,593","1,628","1,763","1,159",792,"1,293"
2020년11월_남_60~69세,"14,738","2,636",279,375,520,920,600,727,534,490,219,574,772,"1,041",552,867,"1,059",915,594,382,682
2020년11월_남_70~79세,"6,548","1,362",119,191,267,552,285,420,294,262,115,216,251,445,211,369,378,272,215,115,209
2020년11월_남_80~89세,"2,398",568,53,97,147,226,137,207,186,115,67,58,54,120,50,99,81,40,35,26,32
2020년11월_남_90~99세,259,64,1,14,16,24,13,18,14,8,5,10,10,16,11,14,9,7,4,1,0
2020년11월_남_100세 이상,11,3,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0
2020년11월_여_총인구수,"177,094","20,799","1,190","1,510","2,783","4,207","2,883","3,404","2,665","1,642","1,154","9,797","15,197","20,075","11,898","15,247","17,586","16,115","9,901","5,512","13,529"
2020년11월_여_연령구간인구수,"177,094","20,799","1,190","1,510","2,783","4,207","2,883","3,404","2,665","1,642","1,154","9,797","15,197","20,075","11,898","15,247","17,586","16,115","9,901","5,512","13,529"
2020년11월_여_0~9세,"23,029","1,565",44,45,163,169,103,165,94,45,46,"1,288","2,075","2,698","1,726","2,326","2,985","2,754","1,582",771,"2,385"
2020년11월_여_10~19세,"21,099","2,058",55,64,170,204,140,204,174,58,95,"1,671","1,989","2,577","2,082","2,102","2,316","1,705","1,231",527,"1,677"
2020년11월_여_20~29세,"18,189","2,786",151,113,246,367,384,310,229,122,113,845,"2,018","2,429",864,"1,397","1,358","1,601",977,649,"1,230"
