,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년06월_계_총인구수,"523,881","27,593","43,870","24,088","25,919","11,374","3,634","19,964","6,767","5,419","44,028","25,945","19,474","12,147","22,022","7,295","5,776","22,798","10,751","4,153","76,512","53,122","24,832","26,398"
2020년06월_계_연령구간인구수,"523,881","27,593","43,870","24,088","25,919","11,374","3,634","19,964","6,767","5,419","44,028","25,945","19,474","12,147","22,022","7,295","5,776","22,798","10,751","4,153","76,512","53,122","24,832","26,398"
2020년06월_계_0~9세,"48,507","1,579","4,210","2,050","4,116",529,116,"2,331",336,162,"3,086","1,442","2,328",705,"1,690",572,177,"1,156",581,133,"9,751","5,705","3,514","2,238"
2020년06월_계_10~19세,"52,815","1,743","5,946","2,022","2,968",841,215,"1,688",501,301,"5,120","2,437","1,829",947,"2,229",499,306,"1,786",709,220,"8,562","6,205","3,008","2,733"
2020년06월_계_20~29세,"71,234","2,939","5,747","2,984","2,214","1,519",356,"2,820",726,463,"7,065","3,703","2,561","2,253","2,946","1,027",718,"3,897","1,586",614,"10,339","7,401","3,263","4,093"
2020년06월_계_30~39세,"78,308","3,010","5,808","4,011","4,912","1,336",355,"3,669",627,380,"5,414","3,137","3,356","2,144","2,661","1,212",627,"2,931","1,530",399,"14,497","8,060","4,658","3,574"
2020년06월_계_40~49세,"91,649","3,956","8,727","4,643","5,049","1,715",468,"3,213",897,636,"7,775","4,296","3,516","2,017","3,737","1,213",806,"3,474","1,611",547,"14,630","9,366","5,065","4,292"
2020년06월_계_50~59세,"85,180","5,204","6,785","3,864","2,891","2,127",697,"2,943","1,339","1,051","8,030","4,920","3,146","1,888","4,108","1,104","1,030","4,291","1,914",846,"10,397","8,523","3,153","4,929"
2020년06월_계_60~69세,"52,279","4,534","3,607","2,500","2,039","1,750",703,"1,790","1,112","1,103","4,212","3,184","1,612","1,185","2,561",865,967,"2,872","1,472",728,"5,017","4,549","1,367","2,550"
2020년06월_계_70~79세,"28,171","2,863","1,929","1,291","1,098","1,021",445,940,728,795,"2,174","1,859",726,682,"1,348",513,714,"1,576",865,452,"2,198","2,125",537,"1,292"
