카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년10월_계_총인구수,"213,579","11,186","16,998","8,688","4,471","11,291","12,731","18,396","33,173","22,668","22,065","20,200","10,834","20,878"
2021년10월_계_연령구간인구수,"213,579","11,186","16,998","8,688","4,471","11,291","12,731","18,396","33,173","22,668","22,065","20,200","10,834","20,878"
2021년10월_계_0~9세,"15,474",513,"1,304",379,197,903,401,"1,234","3,217",954,"1,379","1,924","1,270","1,799"
2021년10월_계_10~19세,"19,580",673,"1,295",571,299,"1,071",620,"1,532","3,673","1,904","2,191","1,918","1,285","2,548"
2021년10월_계_20~29세,"25,470","1,298","1,992","1,247",537,"1,458","1,486","2,139","3,639","3,073","2,806","2,116","1,269","2,410"
2021년10월_계_30~39세,"25,359","1,340","2,364","1,027",473,"1,592","1,257","2,204","4,149","2,016","2,222","2,682","1,579","2,454"
2021년10월_계_40~49세,"33,200","1,499","2,578","1,098",505,"1,729","1,523","2,678","5,876","3,139","3,180","3,377","1,821","4,197"
2021년10월_계_50~59세,"40,286","1,965","3,293","1,717",881,"2,051","2,449","3,304","5,785","4,951","4,647","3,560","1,980","3,703"
2021년10월_계_60~69세,"33,426","2,122","2,723","1,548",958,"1,529","2,848","3,168","4,428","3,975","3,659","3,048","1,091","2,329"
2021년10월_계_70~79세,"14,732","1,278","1,048",789,454,679,"1,517","1,443","1,762","1,818","1,439","1,113",381,"1,011"
2021년10월_계_80~89세,"5,396",441,357,272,153,242,583,625,562,762,479,417,136,367
2021년10월_계_90~99세,639,54,42,40,14,37,47,69,80,76,59,43,21,57
2021년10월_계_100세 이상,17,3,2,0,0,0,0,0,2,0,4,2,1,3
2021년10월_남_총인구수,"108,103","5,700","8,831","4,411","2,245","5,621","6,564","9,169","16,539","11,536","11,208","10,164","5,431","10,684"
2021년10월_남_연령구간인구수,"108,103","5,700","8,831","4,411","2,245","5,621","6,564","9,169","16,539","11,536","11,208","10,164","5,431","10,684"
2021년10월_남_0~9세,"7,973",250,665,209,118,443,216,664,"1,711",477,704,950,637,929
2021년10월_남_10~19세,"10,407",357,675,305,161,555,326,828,"1,933","1,051","1,176","1,020",674,"1,346"
2021년10월_남_20~29세,"14,256",701,"1,103",682,292,799,837,"1,176","2,073","1,792","1,607","1,193",688,"1,313"
2021년10월_남_30~39세,"13,319",760,"1,284",557,277,856,749,"1,134","2,007","1,126","1,163","1,374",762,"1,270"
2021년10월_남_40~49세,"16,953",841,"1,404",582,262,862,835,"1,368","2,868","1,548","1,569","1,777",881,"2,156"
2021년10월_남_50~59세,"20,065","1,053","1,702",852,410,970,"1,270","1,615","2,743","2,473","2,309","1,734","1,005","1,929"
2021년10월_남_60~69세,"16,276","1,006","1,347",733,467,719,"1,443","1,522","2,158","1,961","1,787","1,462",549,"1,122"
2021년10월_남_70~79세,"6,836",564,511,387,202,335,660,620,841,839,699,514,173,491
2021년10월_남_80~89세,"1,911",160,136,97,54,74,216,223,195,254,187,136,57,122
2021년10월_남_90~99세,105,8,4,7,2,8,12,19,10,15,7,3,5,5
2021년10월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년10월_여_총인구수,"105,476","5,486","8,167","4,277","2,226","5,670","6,167","9,227","16,634","11,132","10,857","10,036","5,403","10,194"
2021년10월_여_연령구간인구수,"105,476","5,486","8,167","4,277","2,226","5,670","6,167","9,227","16,634","11,132","10,857","10,036","5,403","10,194"
2021년10월_여_0~9세,"7,501",263,639,170,79,460,185,570,"1,506",477,675,974,633,870
2021년10월_여_10~19세,"9,173",316,620,266,138,516,294,704,"1,740",853,"1,015",898,611,"1,202"
2021년10월_여_20~29세,"11,214",597,889,565,245,659,649,963,"1,566","1,281","1,199",923,581,"1,097"
2021년10월_여_30~39세,"12,040",580,"1,080",470,196,736,508,"1,070","2,142",890,"1,059","1,308",817,"1,184"
2021년10월_여_40~49세,"16,247",658,"1,174",516,243,867,688,"1,310","3,008","1,591","1,611","1,600",940,"2,041"
2021년10월_여_50~59세,"20,221",912,"1,591",865,471,"1,081","1,179","1,689","3,042","2,478","2,338","1,826",975,"1,774"
2021년10월_여_60~69세,"17,150","1,116","1,376",815,491,810,"1,405","1,646","2,270","2,014","1,872","1,586",542,"1,207"
2021년10월_여_70~79세,"7,896",714,537,402,252,344,857,823,921,979,740,599,208,520
2021년10월_여_80~89세,"3,485",281,221,175,99,168,367,402,367,508,292,281,79,245
2021년10월_여_90~99세,534,46,38,33,12,29,35,50,70,61,52,40,16,52
2021년10월_여_100세 이상,15,3,2,0,0,0,0,0,2,0,4,1,1,2
