카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2021년08월_계_총인구수,"120,954","30,843","10,486","4,826","14,014","8,167","9,892","3,894","3,789","4,634","6,959","18,221","5,229"
2021년08월_계_연령구간인구수,"120,954","30,843","10,486","4,826","14,014","8,167","9,892","3,894","3,789","4,634","6,959","18,221","5,229"
2021년08월_계_0~9세,"7,197","2,163",908,180,750,483,618,127,104,133,240,"1,252",239
2021년08월_계_10~19세,"10,070","3,207",960,251,"1,158",578,877,219,154,201,385,"1,764",316
2021년08월_계_20~29세,"10,680","3,579",823,338,"1,262",757,610,251,218,278,476,"1,693",395
2021년08월_계_30~39세,"10,788","3,173","1,166",363,"1,181",785,840,271,196,289,420,"1,728",376
2021년08월_계_40~49세,"16,336","4,771","1,685",509,"1,853","1,081","1,503",414,358,385,725,"2,453",599
2021년08월_계_50~59세,"20,719","5,338","1,619",882,"2,431","1,423","1,734",672,658,904,"1,208","2,949",901
2021년08월_계_60~69세,"24,317","4,779","1,869","1,312","2,865","1,712","2,163","1,021","1,049","1,210","1,773","3,284","1,280"
2021년08월_계_70~79세,"13,192","2,437",969,698,"1,658",887,"1,045",560,607,712,"1,015","1,893",711
2021년08월_계_80~89세,"6,583","1,230",425,249,729,401,417,314,391,434,601,"1,026",366
2021년08월_계_90~99세,"1,026",159,58,41,115,59,82,44,51,84,113,175,45
2021년08월_계_100세 이상,46,7,4,3,12,1,3,1,3,4,3,4,1
2021년08월_남_총인구수,"60,817","15,458","5,209","2,432","7,046","4,146","4,923","1,977","1,935","2,317","3,550","9,186","2,638"
2021년08월_남_연령구간인구수,"60,817","15,458","5,209","2,432","7,046","4,146","4,923","1,977","1,935","2,317","3,550","9,186","2,638"
2021년08월_남_0~9세,"3,681","1,105",450,97,392,232,302,63,61,78,141,648,112
2021년08월_남_10~19세,"5,381","1,646",507,146,659,314,464,112,89,102,224,945,173
2021년08월_남_20~29세,"5,955","1,991",437,191,700,440,341,141,122,160,266,946,220
2021년08월_남_30~39세,"5,472","1,620",563,191,595,406,394,154,101,162,221,875,190
2021년08월_남_40~49세,"8,291","2,300",830,254,943,582,760,229,209,208,398,"1,257",321
2021년08월_남_50~59세,"10,656","2,734",836,442,"1,212",725,867,352,351,484,643,"1,523",487
2021년08월_남_60~69세,"12,093","2,398",908,626,"1,381",863,"1,045",527,531,595,941,"1,643",635
2021년08월_남_70~79세,"6,495","1,185",498,374,813,425,560,272,294,343,473,901,357
2021년08월_남_80~89세,"2,544",437,166,102,320,142,171,121,163,166,211,410,135
2021년08월_남_90~99세,239,42,14,8,25,17,19,6,13,18,31,38,8
2021년08월_남_100세 이상,10,0,0,1,6,0,0,0,1,1,1,0,0
2021년08월_여_총인구수,"60,137","15,385","5,277","2,394","6,968","4,021","4,969","1,917","1,854","2,317","3,409","9,035","2,591"
2021년08월_여_연령구간인구수,"60,137","15,385","5,277","2,394","6,968","4,021","4,969","1,917","1,854","2,317","3,409","9,035","2,591"
2021년08월_여_0~9세,"3,516","1,058",458,83,358,251,316,64,43,55,99,604,127
2021년08월_여_10~19세,"4,689","1,561",453,105,499,264,413,107,65,99,161,819,143
2021년08월_여_20~29세,"4,725","1,588",386,147,562,317,269,110,96,118,210,747,175
2021년08월_여_30~39세,"5,316","1,553",603,172,586,379,446,117,95,127,199,853,186
2021년08월_여_40~49세,"8,045","2,471",855,255,910,499,743,185,149,177,327,"1,196",278
2021년08월_여_50~59세,"10,063","2,604",783,440,"1,219",698,867,320,307,420,565,"1,426",414
2021년08월_여_60~69세,"12,224","2,381",961,686,"1,484",849,"1,118",494,518,615,832,"1,641",645
2021년08월_여_70~79세,"6,697","1,252",471,324,845,462,485,288,313,369,542,992,354
2021년08월_여_80~89세,"4,039",793,259,147,409,259,246,193,228,268,390,616,231
2021년08월_여_90~99세,787,117,44,33,90,42,63,38,38,66,82,137,37
2021년08월_여_100세 이상,36,7,4,2,6,1,3,1,2,3,2,4,1
