카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년01월_계_총인구수,"431,050","21,352","18,615","30,759","31,690","34,975","12,095","32,930","16,221","20,326","19,654","21,383","17,485","20,792","22,169","23,777","45,473","22,917","18,437"
2020년01월_계_연령구간인구수,"431,050","21,352","18,615","30,759","31,690","34,975","12,095","32,930","16,221","20,326","19,654","21,383","17,485","20,792","22,169","23,777","45,473","22,917","18,437"
2020년01월_계_0~9세,"35,903","1,626","1,513","1,748","3,141","2,757",623,"3,211","1,972","1,882","1,785","1,552","1,230","1,267","1,428","1,708","4,612","1,611","2,237"
2020년01월_계_10~19세,"45,892","1,973","1,680","2,757","4,199","4,073","1,987","3,567","2,727","2,759","2,184","2,918","1,388","1,686","2,123","2,666","4,300","1,653","1,252"
2020년01월_계_20~29세,"56,518","2,878","2,752","5,082","3,630","4,617","1,510","4,401","1,388","2,249","2,424","2,685","2,566","3,035","2,977","3,249","5,510","3,538","2,027"
2020년01월_계_30~39세,"66,532","3,792","3,780","5,015","4,010","5,355",936,"5,910","1,699","2,569","2,871","2,486","3,109","3,239","3,137","3,711","7,258","4,614","3,041"
2020년01월_계_40~49세,"78,736","3,889","3,302","4,903","6,433","6,726","2,425","6,702","3,762","4,297","3,593","4,088","2,888","3,183","3,361","4,360","7,895","3,961","2,968"
2020년01월_계_50~59세,"62,874","2,936","2,450","4,741","4,641","5,527","2,069","4,054","2,065","2,999","2,827","3,436","2,446","3,294","3,686","3,482","6,355","3,337","2,529"
2020년01월_계_60~69세,"46,667","2,375","1,778","3,536","3,014","3,393","1,191","2,946","1,308","1,927","2,265","2,197","2,053","2,842","3,162","2,345","5,446","2,495","2,394"
2020년01월_계_70~79세,"26,657","1,312",988,"2,111","1,809","1,681",977,"1,547",905,"1,126","1,194","1,317","1,283","1,622","1,623","1,585","2,905","1,250","1,422"
2020년01월_계_80~89세,"9,278",462,287,729,666,688,329,475,304,428,416,599,428,516,557,574,974,364,482
2020년01월_계_90~99세,"1,781",105,69,121,131,139,39,98,67,76,90,100,83,95,109,84,213,87,75
2020년01월_계_100세 이상,212,4,16,16,16,19,9,19,24,14,5,5,11,13,6,13,5,7,10
2020년01월_남_총인구수,"206,112","10,294","8,845","14,997","15,386","16,594","5,690","15,872","7,747","9,589","9,260","9,965","8,207","9,771","10,697","10,902","21,789","11,544","8,963"
2020년01월_남_연령구간인구수,"206,112","10,294","8,845","14,997","15,386","16,594","5,690","15,872","7,747","9,589","9,260","9,965","8,207","9,771","10,697","10,902","21,789","11,544","8,963"
2020년01월_남_0~9세,"18,563",852,751,910,"1,630","1,444",333,"1,618","1,057",980,923,772,619,651,722,870,"2,416",885,"1,130"
2020년01월_남_10~19세,"23,378","1,035",880,"1,564","2,201","2,093",968,"1,812","1,350","1,377","1,136","1,387",751,877,"1,096","1,222","2,181",824,624
2020년01월_남_20~29세,"27,240","1,425","1,224","2,418","1,726","2,202",740,"2,016",686,"1,123","1,172","1,266","1,218","1,454","1,554","1,423","2,706","1,814","1,073"
2020년01월_남_30~39세,"30,463","1,701","1,738","2,394","1,717","2,418",409,"2,656",664,"1,118","1,256","1,101","1,404","1,499","1,493","1,652","3,435","2,398","1,410"
2020년01월_남_40~49세,"37,169","1,876","1,576","2,324","3,036","3,075","1,010","3,371","1,735","1,941","1,626","1,795","1,344","1,515","1,542","1,961","3,880","2,047","1,515"
2020년01월_남_50~59세,"30,775","1,429","1,225","2,317","2,415","2,711","1,068","2,097","1,100","1,504","1,355","1,734","1,124","1,479","1,725","1,682","2,995","1,648","1,167"
2020년01월_남_60~69세,"21,468","1,117",813,"1,667","1,426","1,587",543,"1,370",594,860,"1,022","1,042",918,"1,270","1,488","1,080","2,388","1,156","1,127"
2020년01월_남_70~79세,"12,605",639,482,"1,032",873,741,445,714,402,487,570,588,611,771,816,724,"1,396",599,715
2020년01월_남_80~89세,"3,927",184,134,333,316,276,163,188,138,179,170,251,184,230,229,271,350,153,178
2020년01월_남_90~99세,474,35,21,34,40,40,9,26,14,19,28,29,29,24,32,15,41,16,22
2020년01월_남_100세 이상,50,1,1,4,6,7,2,4,7,1,2,0,5,1,0,2,1,4,2
2020년01월_여_총인구수,"224,938","11,058","9,770","15,762","16,304","18,381","6,405","17,058","8,474","10,737","10,394","11,418","9,278","11,021","11,472","12,875","23,684","11,373","9,474"
2020년01월_여_연령구간인구수,"224,938","11,058","9,770","15,762","16,304","18,381","6,405","17,058","8,474","10,737","10,394","11,418","9,278","11,021","11,472","12,875","23,684","11,373","9,474"
2020년01월_여_0~9세,"17,340",774,762,838,"1,511","1,313",290,"1,593",915,902,862,780,611,616,706,838,"2,196",726,"1,107"
2020년01월_여_10~19세,"22,514",938,800,"1,193","1,998","1,980","1,019","1,755","1,377","1,382","1,048","1,531",637,809,"1,027","1,444","2,119",829,628
2020년01월_여_20~29세,"29,278","1,453","1,528","2,664","1,904","2,415",770,"2,385",702,"1,126","1,252","1,419","1,348","1,581","1,423","1,826","2,804","1,724",954
