카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년09월_계_총인구수,"105,813","5,604","7,347","7,708","13,730","8,307","7,788","7,580","6,683","4,348","9,839","4,901","9,121","12,857"
2021년09월_계_연령구간인구수,"105,813","5,604","7,347","7,708","13,730","8,307","7,788","7,580","6,683","4,348","9,839","4,901","9,121","12,857"
2021년09월_계_0~9세,"5,390",354,281,416,"1,123",569,603,412,91,104,454,129,297,557
2021년09월_계_10~19세,"7,159",372,475,505,"1,101",820,764,549,278,164,508,182,486,955
2021년09월_계_20~29세,"13,228",698,769,"1,222","1,700",958,880,"1,532",736,396,"1,402",430,820,"1,685"
2021년09월_계_30~39세,"10,678",687,603,849,"1,765",857,824,883,496,322,"1,103",429,687,"1,173"
2021년09월_계_40~49세,"14,260",747,934,"1,047","2,176","1,292","1,221","1,018",753,555,"1,237",564,"1,127","1,589"
2021년09월_계_50~59세,"17,197",923,"1,246","1,112","2,071","1,348","1,245","1,072","1,130",765,"1,671",878,"1,585","2,151"
2021년09월_계_60~69세,"19,348",910,"1,455","1,309","1,907","1,314","1,218","1,154","1,533",959,"1,792","1,157","2,037","2,603"
2021년09월_계_70~79세,"12,223",558,"1,008",801,"1,237",734,667,624,"1,051",693,"1,159",755,"1,449","1,487"
2021년09월_계_80~89세,"5,606",309,515,388,566,358,315,289,552,351,467,334,574,588
2021년09월_계_90~99세,696,42,60,57,84,55,46,44,59,39,45,43,56,66
2021년09월_계_100세 이상,28,4,1,2,0,2,5,3,4,0,1,0,3,3
2021년09월_남_총인구수,"51,212","2,719","3,587","3,602","6,481","3,813","3,750","3,586","3,392","2,205","4,704","2,488","4,553","6,332"
2021년09월_남_연령구간인구수,"51,212","2,719","3,587","3,602","6,481","3,813","3,750","3,586","3,392","2,205","4,704","2,488","4,553","6,332"
2021년09월_남_0~9세,"2,825",194,148,213,600,293,334,208,43,52,231,64,153,292
2021년09월_남_10~19세,"3,647",187,236,240,563,391,390,286,153,80,260,97,268,496
2021년09월_남_20~29세,"6,439",354,403,541,801,446,460,669,374,219,614,233,451,874
2021년09월_남_30~39세,"5,473",366,330,446,820,400,371,434,284,186,568,244,379,645
2021년09월_남_40~49세,"7,405",390,485,525,"1,065",608,588,512,442,325,647,338,621,859
2021년09월_남_50~59세,"8,846",471,628,551,"1,015",624,607,539,656,440,871,485,875,"1,084"
2021년09월_남_60~69세,"9,045",397,689,598,858,602,578,544,762,478,829,549,978,"1,183"
2021년09월_남_70~79세,"5,340",242,443,334,541,319,291,278,468,313,489,340,623,659
2021년09월_남_80~89세,"2,052",110,215,140,200,117,123,109,197,105,184,130,197,225
2021년09월_남_90~99세,134,8,10,14,18,13,7,6,10,7,11,8,8,14
2021년09월_남_100세 이상,6,0,0,0,0,0,1,1,3,0,0,0,0,1
2021년09월_여_총인구수,"54,601","2,885","3,760","4,106","7,249","4,494","4,038","3,994","3,291","2,143","5,135","2,413","4,568","6,525"
2021년09월_여_연령구간인구수,"54,601","2,885","3,760","4,106","7,249","4,494","4,038","3,994","3,291","2,143","5,135","2,413","4,568","6,525"
2021년09월_여_0~9세,"2,565",160,133,203,523,276,269,204,48,52,223,65,144,265
2021년09월_여_10~19세,"3,512",185,239,265,538,429,374,263,125,84,248,85,218,459
2021년09월_여_20~29세,"6,789",344,366,681,899,512,420,863,362,177,788,197,369,811
2021년09월_여_30~39세,"5,205",321,273,403,945,457,453,449,212,136,535,185,308,528
2021년09월_여_40~49세,"6,855",357,449,522,"1,111",684,633,506,311,230,590,226,506,730
2021년09월_여_50~59세,"8,351",452,618,561,"1,056",724,638,533,474,325,800,393,710,"1,067"
2021년09월_여_60~69세,"10,303",513,766,711,"1,049",712,640,610,771,481,963,608,"1,059","1,420"
2021년09월_여_70~79세,"6,883",316,565,467,696,415,376,346,583,380,670,415,826,828
2021년09월_여_80~89세,"3,554",199,300,248,366,241,192,180,355,246,283,204,377,363
2021년09월_여_90~99세,562,34,50,43,66,42,39,38,49,32,34,35,48,52
2021년09월_여_100세 이상,22,4,1,2,0,2,4,2,1,0,1,0,3,2
