카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2021년07월_계_총인구수,"235,495","26,362","5,850","6,870","11,885","10,608","5,272","50,097","9,692","27,197","27,327","54,335"
2021년07월_계_연령구간인구수,"235,495","26,362","5,850","6,870","11,885","10,608","5,272","50,097","9,692","27,197","27,327","54,335"
2021년07월_계_0~9세,"20,081","1,287",145,379,612,496,205,"4,607",633,"1,905","2,205","7,607"
2021년07월_계_10~19세,"24,334","2,489",302,366,825,515,265,"6,942",734,"2,623","3,389","5,884"
2021년07월_계_20~29세,"27,737","3,250",652,802,"1,271","1,111",549,"5,445","1,504","3,452","3,863","5,838"
2021년07월_계_30~39세,"28,417","2,301",448,759,"1,129","1,078",440,"5,205","1,198","2,872","2,971","10,016"
2021년07월_계_40~49세,"40,018","3,856",644,782,"1,629","1,150",600,"10,067","1,339","4,284","4,890","10,777"
2021년07월_계_50~59세,"38,981","5,122","1,229","1,191","2,469","1,810","1,030","7,630","1,750","5,411","4,715","6,624"
2021년07월_계_60~69세,"30,723","4,450","1,387","1,454","2,275","2,294","1,115","5,324","1,406","3,872","2,619","4,527"
2021년07월_계_70~79세,"16,467","2,288",658,687,"1,055","1,314",673,"3,351",731,"1,890","1,620","2,200"
2021년07월_계_80~89세,"7,610","1,153",333,374,542,682,349,"1,345",337,802,942,751
2021년07월_계_90~99세,"1,081",161,52,74,77,152,45,175,47,86,107,105
2021년07월_계_100세 이상,46,5,0,2,1,6,1,6,13,0,6,6
2021년07월_남_총인구수,"119,411","13,347","3,338","3,848","6,435","5,446","2,776","24,476","5,117","13,787","13,531","27,310"
2021년07월_남_연령구간인구수,"119,411","13,347","3,338","3,848","6,435","5,446","2,776","24,476","5,117","13,787","13,531","27,310"
2021년07월_남_0~9세,"10,243",619,77,181,315,264,103,"2,321",317,988,"1,141","3,917"
2021년07월_남_10~19세,"12,395","1,293",167,182,448,285,147,"3,519",391,"1,353","1,728","2,882"
2021년07월_남_20~29세,"14,830","1,771",390,519,745,679,311,"2,738",867,"1,825","2,017","2,968"
2021년07월_남_30~39세,"14,637","1,244",291,457,635,585,250,"2,525",662,"1,524","1,479","4,985"
2021년07월_남_40~49세,"20,668","1,972",403,487,931,632,343,"4,949",719,"2,220","2,409","5,603"
2021년07월_남_50~59세,"20,395","2,676",756,698,"1,378",909,540,"3,958",941,"2,752","2,429","3,358"
2021년07월_남_60~69세,"15,450","2,266",780,828,"1,243","1,137",630,"2,379",732,"1,977","1,277","2,201"
2021년07월_남_70~79세,"7,673","1,068",343,340,514,655,308,"1,520",339,833,647,"1,106"
2021년07월_남_80~89세,"2,875",410,120,140,207,267,135,523,135,297,370,271
2021년07월_남_90~99세,235,28,11,16,19,31,9,44,11,18,29,19
2021년07월_남_100세 이상,10,0,0,0,0,2,0,0,3,0,5,0
2021년07월_여_총인구수,"116,084","13,015","2,512","3,022","5,450","5,162","2,496","25,621","4,575","13,410","13,796","27,025"
2021년07월_여_연령구간인구수,"116,084","13,015","2,512","3,022","5,450","5,162","2,496","25,621","4,575","13,410","13,796","27,025"
2021년07월_여_0~9세,"9,838",668,68,198,297,232,102,"2,286",316,917,"1,064","3,690"
2021년07월_여_10~19세,"11,939","1,196",135,184,377,230,118,"3,423",343,"1,270","1,661","3,002"
2021년07월_여_20~29세,"12,907","1,479",262,283,526,432,238,"2,707",637,"1,627","1,846","2,870"
2021년07월_여_30~39세,"13,780","1,057",157,302,494,493,190,"2,680",536,"1,348","1,492","5,031"
2021년07월_여_40~49세,"19,350","1,884",241,295,698,518,257,"5,118",620,"2,064","2,481","5,174"
2021년07월_여_50~59세,"18,586","2,446",473,493,"1,091",901,490,"3,672",809,"2,659","2,286","3,266"
2021년07월_여_60~69세,"15,273","2,184",607,626,"1,032","1,157",485,"2,945",674,"1,895","1,342","2,326"
2021년07월_여_70~79세,"8,794","1,220",315,347,541,659,365,"1,831",392,"1,057",973,"1,094"
2021년07월_여_80~89세,"4,735",743,213,234,335,415,214,822,202,505,572,480
2021년07월_여_90~99세,846,133,41,58,58,121,36,131,36,68,78,86
2021년07월_여_100세 이상,36,5,0,2,1,4,1,6,10,0,1,6
