카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년08월_계_총인구수,"158,867","6,434","4,125","3,055","3,561","6,313","2,820","1,819","2,131","2,905","2,725","1,750","1,890","1,649","1,766","5,123","5,094","22,304","9,256","13,453","6,448","6,339","21,970","15,568","10,369"
2020년08월_계_연령구간인구수,"158,867","6,434","4,125","3,055","3,561","6,313","2,820","1,819","2,131","2,905","2,725","1,750","1,890","1,649","1,766","5,123","5,094","22,304","9,256","13,453","6,448","6,339","21,970","15,568","10,369"
2020년08월_계_0~9세,"10,861",202,96,73,89,372,50,30,55,62,48,32,44,28,29,260,320,"1,949",676,933,405,370,"2,117","1,489","1,132"
2020년08월_계_10~19세,"13,797",288,209,91,119,338,129,71,86,111,74,47,55,50,72,341,421,"2,376",896,987,557,606,"2,649","1,681","1,543"
2020년08월_계_20~29세,"16,612",474,312,155,319,842,146,80,165,198,136,83,89,66,63,531,533,"2,953",851,"1,450",663,678,"2,739","1,854","1,232"
2020년08월_계_30~39세,"15,659",374,203,172,214,877,121,82,143,157,123,62,84,70,75,518,450,"2,586",864,"1,594",627,591,"2,528","1,994","1,150"
2020년08월_계_40~49세,"22,490",597,341,331,366,732,258,165,178,278,185,149,122,120,144,646,728,"3,606","1,401","1,896",928,895,"3,814","2,532","2,078"
2020년08월_계_50~59세,"26,658","1,119",709,563,612,913,464,303,445,542,514,307,393,303,304,841,964,"3,515","1,483","2,269","1,061","1,209","3,614","2,685","1,526"
2020년08월_계_60~69세,"25,044","1,376",881,624,837,940,625,390,460,684,673,463,464,427,448,906,820,"2,739","1,473","2,199","1,143","1,109","2,544","1,898",921
2020년08월_계_70~79세,"16,715","1,119",753,563,553,764,576,370,330,489,563,343,367,339,359,706,559,"1,619","1,022","1,407",689,620,"1,219",888,498
2020년08월_계_80~89세,"9,544",765,539,418,371,462,383,281,232,318,365,237,246,209,244,321,263,842,518,636,317,228,640,465,244
2020년08월_계_90~99세,"1,425",113,79,64,81,69,66,46,37,63,43,22,24,37,27,51,36,113,67,75,56,33,104,77,42
2020년08월_계_100세 이상,62,7,3,1,0,4,2,1,0,3,1,5,2,0,1,2,0,6,5,7,2,0,2,5,3
