,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년02월_계_총인구수,"1,599,122","846,204","193,027","193,371","266,080","193,726","210,058","132,506","32,371","50,474","47,023","36,685","84,116","38,009","92,733","28,943"
2021년02월_계_연령구간인구수,"1,599,122","846,204","193,027","193,371","266,080","193,726","210,058","132,506","32,371","50,474","47,023","36,685","84,116","38,009","92,733","28,943"
2021년02월_계_0~9세,"122,051","73,682","16,324","13,486","24,063","19,809","14,402","8,615","1,438","2,568","2,265","3,146","7,706","1,302","5,756","1,171"
2021년02월_계_10~19세,"148,452","85,865","19,935","20,106","26,455","19,369","18,781","11,542","2,090","3,859","3,329","3,349","8,088","2,026","7,574","1,949"
2021년02월_계_20~29세,"197,701","119,700","24,835","28,076","40,929","25,860","24,263","14,544","2,344","4,327","4,273","4,483","9,261","2,963","9,368","2,175"
2021년02월_계_30~39세,"193,667","118,332","23,450","22,234","41,229","31,419","23,192","12,839","2,174","3,843","3,204","4,660","11,554","2,435","9,481","1,953"
2021년02월_계_40~49세,"240,548","136,655","30,770","30,385","43,256","32,244","30,806","18,310","3,299","6,218","5,289","5,572","13,626","3,874","13,614","3,285"
2021년02월_계_50~59세,"272,604","137,829","33,339","33,961","42,982","27,547","37,462","23,888","5,843","8,903","8,355","6,042","13,752","7,295","17,640","5,595"
2021년02월_계_60~69세,"227,167","99,088","24,591","25,585","28,187","20,725","32,335","23,040","6,942","10,018","9,307","5,060","10,579","8,815","15,530","6,453"
2021년02월_계_70~79세,"120,708","47,575","12,413","12,482","12,209","10,471","17,391","12,502","4,577","6,337","6,518","2,685","5,546","5,434","8,247","3,896"
2021년02월_계_80~89세,"66,297","23,837","6,310","6,137","5,905","5,485","10,054","6,320","3,135","3,785","3,906","1,498","3,503","3,385","4,720","2,154"
2021년02월_계_90~99세,"9,343","3,443","1,001",870,828,744,"1,301",827,502,589,537,180,482,451,743,288
2021년02월_계_100세 이상,584,198,59,49,37,53,71,79,27,27,40,10,19,29,60,24
2021년02월_남_총인구수,"810,751","426,413","95,921","95,957","135,056","99,479","106,274","66,498","16,281","25,431","23,396","19,080","44,050","19,521","49,129","14,678"
2021년02월_남_연령구간인구수,"810,751","426,413","95,921","95,957","135,056","99,479","106,274","66,498","16,281","25,431","23,396","19,080","44,050","19,521","49,129","14,678"
2021년02월_남_0~9세,"62,436","37,621","8,265","6,879","12,286","10,191","7,313","4,413",731,"1,334","1,145","1,622","3,994",647,"3,002",614
2021년02월_남_10~19세,"77,188","44,558","10,355","10,443","13,733","10,027","9,751","5,975","1,122","2,058","1,734","1,744","4,230","1,058","3,918","1,040"
2021년02월_남_20~29세,"110,006","65,272","13,430","15,245","22,162","14,435","13,913","8,109","1,380","2,469","2,409","2,616","5,325","1,760","5,472","1,281"
2021년02월_남_30~39세,"102,929","62,030","11,943","11,440","21,765","16,882","12,610","6,738","1,197","1,990","1,686","2,601","6,342","1,369","5,322","1,044"
2021년02월_남_40~49세,"124,645","69,214","15,272","15,024","21,936","16,982","15,813","9,421","1,849","3,336","2,872","3,015","7,438","2,237","7,636","1,814"
2021년02월_남_50~59세,"140,253","69,048","16,633","16,715","21,567","14,133","19,152","12,194","3,212","4,759","4,440","3,186","7,498","3,957","9,828","2,979"
2021년02월_남_60~69세,"113,739","48,499","12,133","12,334","13,882","10,150","16,203","11,467","3,567","5,113","4,761","2,530","5,399","4,648","8,229","3,323"
2021년02월_남_70~79세,"54,487","21,293","5,509","5,528","5,571","4,685","7,736","5,669","2,054","2,927","2,869","1,208","2,536","2,543","3,902","1,750"
2021년02월_남_80~89세,"22,832","8,113","2,140","2,168","1,983","1,822","3,457","2,304","1,063","1,288","1,345",509,"1,194","1,197","1,613",749
2021년02월_남_90~99세,"2,071",712,226,166,165,155,311,182,105,151,124,45,89,97,180,75
2021년02월_남_100세 이상,165,53,15,15,6,17,15,26,1,6,11,4,5,8,27,9
2021년02월_여_총인구수,"788,371","419,791","97,106","97,414","131,024","94,247","103,784","66,008","16,090","25,043","23,627","17,605","40,066","18,488","43,604","14,265"
2021년02월_여_연령구간인구수,"788,371","419,791","97,106","97,414","131,024","94,247","103,784","66,008","16,090","25,043","23,627","17,605","40,066","18,488","43,604","14,265"
2021년02월_여_0~9세,"59,615","36,061","8,059","6,607","11,777","9,618","7,089","4,202",707,"1,234","1,120","1,524","3,712",655,"2,754",557
2021년02월_여_10~19세,"71,264","41,307","9,580","9,663","12,722","9,342","9,030","5,567",968,"1,801","1,595","1,605","3,858",968,"3,656",909
2021년02월_여_20~29세,"87,695","54,428","11,405","12,831","18,767","11,425","10,350","6,435",964,"1,858","1,864","1,867","3,936","1,203","3,896",894
2021년02월_여_30~39세,"90,738","56,302","11,507","10,794","19,464","14,537","10,582","6,101",977,"1,853","1,518","2,059","5,212","1,066","4,159",909
2021년02월_여_40~49세,"115,903","67,441","15,498","15,361","21,320","15,262","14,993","8,889","1,450","2,882","2,417","2,557","6,188","1,637","5,978","1,471"
2021년02월_여_50~59세,"132,351","68,781","16,706","17,246","21,415","13,414","18,310","11,694","2,631","4,144","3,915","2,856","6,254","3,338","7,812","2,616"
2021년02월_여_60~69세,"113,428","50,589","12,458","13,251","14,305","10,575","16,132","11,573","3,375","4,905","4,546","2,530","5,180","4,167","7,301","3,130"
2021년02월_여_70~79세,"66,221","26,282","6,904","6,954","6,638","5,786","9,655","6,833","2,523","3,410","3,649","1,477","3,010","2,891","4,345","2,146"
2021년02월_여_80~89세,"43,465","15,724","4,170","3,969","3,922","3,663","6,597","4,016","2,072","2,497","2,561",989,"2,309","2,188","3,107","1,405"
2021년02월_여_90~99세,"7,272","2,731",775,704,663,589,990,645,397,438,413,135,393,354,563,213
2021년02월_여_100세 이상,419,145,44,34,31,36,56,53,26,21,29,6,14,21,33,15
