카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년02월_계_총인구수,"140,560","7,052","3,051","3,148","2,472","3,315","4,072","3,178","3,446","1,940","2,219","2,836","1,572","1,264","2,280","1,025","6,737","7,618","3,967","25,309","20,443","11,085","22,531"
2021년02월_계_연령구간인구수,"140,560","7,052","3,051","3,148","2,472","3,315","4,072","3,178","3,446","1,940","2,219","2,836","1,572","1,264","2,280","1,025","6,737","7,618","3,967","25,309","20,443","11,085","22,531"
2021년02월_계_0~9세,"10,316",356,121,76,56,73,157,93,80,57,53,59,41,29,46,9,205,212,133,"2,061","1,390",885,"4,124"
2021년02월_계_10~19세,"12,288",408,134,144,106,100,180,143,188,75,92,84,55,37,295,29,370,422,237,"3,164","2,324","1,095","2,606"
2021년02월_계_20~29세,"14,557",544,247,237,176,170,310,250,293,144,141,170,80,65,111,44,633,814,323,"3,659","2,380","1,431","2,335"
2021년02월_계_30~39세,"15,029",555,226,199,151,177,217,185,204,121,116,139,69,50,105,25,557,712,262,"2,868","2,028","1,283","4,780"
2021년02월_계_40~49세,"19,340",820,305,311,204,242,416,286,316,176,192,187,105,112,155,86,824,839,404,"4,120","2,958","1,850","4,432"
2021년02월_계_50~59세,"23,830","1,432",559,595,482,584,750,616,723,382,427,538,269,208,374,214,"1,106","1,325",673,"4,336","3,721","1,937","2,579"
2021년02월_계_60~69세,"22,336","1,454",655,708,606,842,912,782,805,424,534,682,381,328,489,291,"1,517","1,607",866,"2,799","3,066","1,494","1,094"
2021년02월_계_70~79세,"13,367",849,442,473,402,568,650,502,459,288,343,509,300,220,369,151,"1,002","1,052",658,"1,389","1,610",742,389
2021년02월_계_80~89세,"8,204",536,317,337,246,478,402,283,317,238,279,391,235,186,294,156,465,555,365,813,839,313,159
2021년02월_계_90~99세,"1,239",96,45,64,42,80,74,36,57,34,40,75,34,27,39,19,58,76,43,92,124,52,32
2021년02월_계_100세 이상,54,2,0,4,1,1,4,2,4,1,2,2,3,2,3,1,0,4,3,8,3,3,1
2021년02월_남_총인구수,"70,609","3,552","1,596","1,619","1,254","1,654","2,080","1,630","1,763","1,005","1,102","1,411",793,626,"1,134",495,"3,437","3,716","1,916","12,571","10,231","5,652","11,372"
2021년02월_남_연령구간인구수,"70,609","3,552","1,596","1,619","1,254","1,654","2,080","1,630","1,763","1,005","1,102","1,411",793,626,"1,134",495,"3,437","3,716","1,916","12,571","10,231","5,652","11,372"
2021년02월_남_0~9세,"5,343",185,59,45,36,46,88,49,44,39,27,31,21,19,31,6,115,107,76,"1,069",702,440,"2,108"
2021년02월_남_10~19세,"6,706",211,74,78,54,52,111,86,100,46,50,54,34,18,152,16,176,231,132,"1,665","1,416",616,"1,334"
2021년02월_남_20~29세,"8,172",314,144,152,114,114,193,134,185,77,81,90,53,35,71,27,379,467,164,"2,009","1,395",795,"1,179"
2021년02월_남_30~39세,"7,932",291,134,109,88,104,117,116,121,87,66,83,44,30,63,12,345,435,140,"1,457","1,032",725,"2,333"
2021년02월_남_40~49세,"10,196",459,199,190,130,149,238,177,183,110,114,123,65,72,87,49,499,471,223,"1,987","1,444",949,"2,278"
2021년02월_남_50~59세,"12,437",762,324,337,266,321,408,328,386,210,232,306,162,123,201,124,597,657,360,"2,163","1,784","1,000","1,386"
2021년02월_남_60~69세,"11,009",762,332,383,310,461,476,409,423,216,279,362,206,182,256,150,684,693,392,"1,365","1,422",700,546
2021년02월_남_70~79세,"5,828",370,190,207,177,245,293,229,205,134,164,227,115,85,171,61,461,426,274,584,719,327,164
2021년02월_남_80~89세,"2,709",178,127,108,68,145,141,88,108,79,80,114,78,54,96,45,167,216,140,250,295,91,41
2021년02월_남_90~99세,266,19,13,10,11,17,14,13,7,7,9,19,13,8,6,5,14,13,13,22,21,9,3
2021년02월_남_100세 이상,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2021년02월_여_총인구수,"69,951","3,500","1,455","1,529","1,218","1,661","1,992","1,548","1,683",935,"1,117","1,425",779,638,"1,146",530,"3,300","3,902","2,051","12,738","10,212","5,433","11,159"
