,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년01월_계_총인구수,"108,470","5,558","4,293","2,862","2,081","2,800","1,804","1,809","2,113","2,592","3,450","2,783","1,694","2,341","1,221","2,118","17,519","3,001","20,601","3,379","10,400","6,029","4,119","3,903"
2021년01월_계_연령구간인구수,"108,470","5,558","4,293","2,862","2,081","2,800","1,804","1,809","2,113","2,592","3,450","2,783","1,694","2,341","1,221","2,118","17,519","3,001","20,601","3,379","10,400","6,029","4,119","3,903"
2021년01월_계_0~9세,"6,294",249,173,56,64,71,52,46,43,84,70,53,50,89,30,56,"1,417",151,"1,624",157,963,472,188,136
2021년01월_계_10~19세,"9,642",377,279,150,73,114,71,101,96,108,165,67,66,140,51,89,"2,024",284,"2,733",273,"1,326",502,323,230
2021년01월_계_20~29세,"10,630",390,382,197,113,152,114,138,116,174,246,136,90,164,74,118,"2,211",343,"2,457",337,"1,217",620,418,423
2021년01월_계_30~39세,"8,851",382,312,143,117,200,84,88,101,144,161,171,105,110,50,101,"1,914",228,"1,898",254,"1,064",634,293,297
2021년01월_계_40~49세,"14,755",639,456,239,184,260,158,175,183,232,354,220,144,243,82,194,"3,148",472,"3,413",375,"1,730",943,485,426
2021년01월_계_50~59세,"18,364",910,838,556,356,444,262,355,334,456,571,430,282,399,237,363,"2,961",542,"3,383",530,"1,688",972,811,684
2021년01월_계_60~69세,"17,025","1,001",814,580,405,606,392,360,424,526,698,664,331,441,288,448,"1,984",418,"2,534",624,"1,216",864,728,679
2021년01월_계_70~79세,"13,416",953,587,490,422,530,378,299,426,477,628,588,337,415,242,422,"1,207",338,"1,620",514,788,675,507,573
