,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년08월_계_총인구수,"527,166","27,604","43,884","24,088","26,152","11,343","3,662","20,698","6,771","5,369","43,999","25,682","19,673","12,398","22,132","7,427","5,779","22,809","10,753","4,165","78,192","53,379","24,781","26,426"
2020년08월_계_연령구간인구수,"527,166","27,604","43,884","24,088","26,152","11,343","3,662","20,698","6,771","5,369","43,999","25,682","19,673","12,398","22,132","7,427","5,779","22,809","10,753","4,165","78,192","53,379","24,781","26,426"
2020년08월_계_0~9세,"48,636","1,575","4,177","2,022","4,099",514,113,"2,429",330,160,"3,037","1,384","2,362",723,"1,690",589,173,"1,117",578,125,"9,988","5,741","3,463","2,247"
2020년08월_계_10~19세,"52,815","1,731","5,934","1,992","3,043",824,220,"1,714",497,298,"5,048","2,397","1,847",944,"2,224",501,296,"1,787",688,214,"8,696","6,189","3,023","2,708"
2020년08월_계_20~29세,"71,770","2,939","5,721","3,023","2,239","1,502",360,"2,950",728,460,"7,062","3,683","2,579","2,327","2,972","1,034",723,"3,904","1,588",623,"10,572","7,418","3,272","4,091"
2020년08월_계_30~39세,"78,801","2,986","5,779","3,952","4,901","1,328",352,"3,888",627,366,"5,406","3,102","3,376","2,189","2,674","1,256",638,"2,926","1,534",421,"14,820","8,100","4,607","3,573"
2020년08월_계_40~49세,"92,099","3,952","8,703","4,666","5,146","1,724",469,"3,294",895,627,"7,742","4,239","3,562","2,056","3,736","1,222",784,"3,465","1,592",540,"14,946","9,394","5,072","4,273"
2020년08월_계_50~59세,"85,691","5,179","6,872","3,878","2,895","2,127",695,"3,068","1,326","1,037","8,018","4,883","3,172","1,924","4,118","1,128","1,031","4,304","1,923",834,"10,633","8,539","3,158","4,949"
2020년08월_계_60~69세,"53,105","4,593","3,623","2,523","2,088","1,761",713,"1,826","1,125","1,110","4,337","3,183","1,644","1,207","2,617",877,984,"2,911","1,482",738,"5,147","4,644","1,384","2,588"
2020년08월_계_70~79세,"28,329","2,874","1,958","1,306","1,096","1,019",452,948,734,784,"2,190","1,843",726,693,"1,353",523,717,"1,574",884,452,"2,237","2,148",529,"1,289"
2020년08월_계_80~89세,"13,746","1,526",967,622,531,481,260,497,435,450,"1,018",836,349,285,636,239,352,727,412,189,"1,008","1,058",243,625
2020년08월_계_90~99세,"1,937",198,140,100,107,58,26,78,72,74,124,115,51,45,99,47,58,83,57,25,137,135,30,78
2020년08월_계_100세 이상,237,51,10,4,7,5,2,6,2,3,17,17,5,5,13,11,23,11,15,4,8,13,0,5
2020년08월_남_총인구수,"271,992","14,107","22,506","14,356","13,811","6,205","2,007","10,882","3,594","2,822","22,505","12,997","10,239","6,607","11,020","3,692","2,926","11,691","5,564","2,180","39,661","26,488","12,888","13,244"
2020년08월_남_연령구간인구수,"271,992","14,107","22,506","14,356","13,811","6,205","2,007","10,882","3,594","2,822","22,505","12,997","10,239","6,607","11,020","3,692","2,926","11,691","5,564","2,180","39,661","26,488","12,888","13,244"
2020년08월_남_0~9세,"24,831",830,"2,062","1,018","2,138",259,52,"1,201",180,84,"1,573",698,"1,207",354,844,293,95,590,283,63,"5,141","2,923","1,795","1,148"
2020년08월_남_10~19세,"27,232",902,"3,018","1,055","1,558",450,129,853,252,155,"2,595","1,241",910,453,"1,121",265,159,933,363,123,"4,485","3,275","1,553","1,384"
2020년08월_남_20~29세,"39,259","1,695","3,088","1,939","1,259",895,219,"1,728",419,268,"3,927","2,016","1,376","1,316","1,607",571,402,"2,119",889,352,"5,449","3,825","1,748","2,152"
2020년08월_남_30~39세,"42,702","1,671","3,101","2,623","2,522",839,214,"2,108",379,214,"2,977","1,746","1,777","1,286","1,362",686,388,"1,639",888,255,"7,630","4,101","2,404","1,892"
2020년08월_남_40~49세,"48,825","2,206","4,441","3,023","2,920","1,004",296,"1,825",532,386,"3,898","2,247","1,951","1,160","1,925",654,472,"1,815",823,294,"7,642","4,491","2,679","2,141"
2020년08월_남_50~59세,"45,014","2,815","3,755","2,426","1,623","1,172",399,"1,580",765,601,"4,093","2,464","1,652","1,037","2,074",582,543,"2,192","1,028",453,"5,404","4,203","1,692","2,461"
2020년08월_남_60~69세,"26,325","2,141","1,836","1,392","1,052",918,390,944,564,560,"2,126","1,483",891,600,"1,285",371,450,"1,420",728,353,"2,542","2,306",694,"1,279"
2020년08월_남_70~79세,"12,403","1,220",844,645,545,487,216,451,339,382,954,760,338,279,540,172,270,679,399,210,993,907,240,533
2020년08월_남_80~89세,"4,824",565,326,212,166,168,86,176,139,155,324,292,121,111,227,80,120,275,145,69,342,416,77,232
2020년08월_남_90~99세,503,46,35,23,27,12,5,13,25,17,31,41,14,10,29,13,18,26,14,7,31,39,6,21
2020년08월_남_100세 이상,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1
2020년08월_여_총인구수,"255,174","13,497","21,378","9,732","12,341","5,138","1,655","9,816","3,177","2,547","21,494","12,685","9,434","5,791","11,112","3,735","2,853","11,118","5,189","1,985","38,531","26,891","11,893","13,182"
2020년08월_여_연령구간인구수,"255,174","13,497","21,378","9,732","12,341","5,138","1,655","9,816","3,177","2,547","21,494","12,685","9,434","5,791","11,112","3,735","2,853","11,118","5,189","1,985","38,531","26,891","11,893","13,182"
2020년08월_여_0~9세,"23,805",745,"2,115","1,004","1,961",255,61,"1,228",150,76,"1,464",686,"1,155",369,846,296,78,527,295,62,"4,847","2,818","1,668","1,099"
2020년08월_여_10~19세,"25,583",829,"2,916",937,"1,485",374,91,861,245,143,"2,453","1,156",937,491,"1,103",236,137,854,325,91,"4,211","2,914","1,470","1,324"
2020년08월_여_20~29세,"32,511","1,244","2,633","1,084",980,607,141,"1,222",309,192,"3,135","1,667","1,203","1,011","1,365",463,321,"1,785",699,271,"5,123","3,593","1,524","1,939"
2020년08월_여_30~39세,"36,099","1,315","2,678","1,329","2,379",489,138,"1,780",248,152,"2,429","1,356","1,599",903,"1,312",570,250,"1,287",646,166,"7,190","3,999","2,203","1,681"
2020년08월_여_40~49세,"43,274","1,746","4,262","1,643","2,226",720,173,"1,469",363,241,"3,844","1,992","1,611",896,"1,811",568,312,"1,650",769,246,"7,304","4,903","2,393","2,132"
2020년08월_여_50~59세,"40,677","2,364","3,117","1,452","1,272",955,296,"1,488",561,436,"3,925","2,419","1,520",887,"2,044",546,488,"2,112",895,381,"5,229","4,336","1,466","2,488"
2020년08월_여_60~69세,"26,780","2,452","1,787","1,131","1,036",843,323,882,561,550,"2,211","1,700",753,607,"1,332",506,534,"1,491",754,385,"2,605","2,338",690,"1,309"
2020년08월_여_70~79세,"15,926","1,654","1,114",661,551,532,236,497,395,402,"1,236","1,083",388,414,813,351,447,895,485,242,"1,244","1,241",289,756
2020년08월_여_80~89세,"8,922",961,641,410,365,313,174,321,296,295,694,544,228,174,409,159,232,452,267,120,666,642,166,393
2020년08월_여_90~99세,"1,434",152,105,77,80,46,21,65,47,57,93,74,37,35,70,34,40,57,43,18,106,96,24,57
2020년08월_여_100세 이상,163,35,10,4,6,4,1,3,2,3,10,8,3,4,7,6,14,8,11,3,6,11,0,4
