,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년04월_계_총인구수,"26,760","6,861","6,161","2,359","3,704","7,675",0
2021년04월_계_연령구간인구수,"26,760","6,861","6,161","2,359","3,704","7,675",0
2021년04월_계_0~9세,"1,292",538,198,55,140,361,0
2021년04월_계_10~19세,"1,603",552,329,95,195,432,0
2021년04월_계_20~29세,"2,707",845,490,146,372,854,0
2021년04월_계_30~39세,"2,259",772,348,148,299,692,0
2021년04월_계_40~49세,"3,043",879,609,195,380,980,0
2021년04월_계_50~59세,"4,742","1,115","1,100",432,658,"1,437",0
2021년04월_계_60~69세,"5,392","1,060","1,406",608,796,"1,522",0
2021년04월_계_70~79세,"3,449",649,988,418,510,884,0
2021년04월_계_80~89세,"1,913",373,570,222,309,439,0
2021년04월_계_90~99세,342,73,119,38,41,71,0
2021년04월_계_100세 이상,18,5,4,2,4,3,0
2021년04월_남_총인구수,"13,762","3,596","3,058","1,153","1,907","4,048",0
2021년04월_남_연령구간인구수,"13,762","3,596","3,058","1,153","1,907","4,048",0
2021년04월_남_0~9세,662,276,102,25,69,190,0
2021년04월_남_10~19세,872,309,172,55,103,233,0
2021년04월_남_20~29세,"1,727",531,320,86,228,562,0
2021년04월_남_30~39세,"1,283",425,194,91,182,391,0
2021년04월_남_40~49세,"1,671",465,330,121,214,541,0
2021년04월_남_50~59세,"2,565",608,618,224,343,772,0
2021년04월_남_60~69세,"2,756",539,692,314,413,798,0
2021년04월_남_70~79세,"1,481",300,407,164,226,384,0
2021년04월_남_80~89세,665,121,200,65,118,161,0
2021년04월_남_90~99세,77,21,23,8,11,14,0
2021년04월_남_100세 이상,3,1,0,0,0,2,0
2021년04월_여_총인구수,"12,998","3,265","3,103","1,206","1,797","3,627",0
2021년04월_여_연령구간인구수,"12,998","3,265","3,103","1,206","1,797","3,627",0
2021년04월_여_0~9세,630,262,96,30,71,171,0
2021년04월_여_10~19세,731,243,157,40,92,199,0
2021년04월_여_20~29세,980,314,170,60,144,292,0
2021년04월_여_30~39세,976,347,154,57,117,301,0
2021년04월_여_40~49세,"1,372",414,279,74,166,439,0
2021년04월_여_50~59세,"2,177",507,482,208,315,665,0
2021년04월_여_60~69세,"2,636",521,714,294,383,724,0
2021년04월_여_70~79세,"1,968",349,581,254,284,500,0
2021년04월_여_80~89세,"1,248",252,370,157,191,278,0
2021년04월_여_90~99세,265,52,96,30,30,57,0
2021년04월_여_100세 이상,15,4,4,2,4,1,0
