카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년09월_계_총인구수,"144,484","12,138","9,185","12,808","16,717","11,444","10,363","10,878","11,125","6,574","9,628","15,794","9,169","8,661"
2021년09월_계_연령구간인구수,"144,484","12,138","9,185","12,808","16,717","11,444","10,363","10,878","11,125","6,574","9,628","15,794","9,169","8,661"
2021년09월_계_0~9세,"6,509",717,339,950,824,460,366,347,441,218,509,727,311,300
2021년09월_계_10~19세,"9,109","1,025",508,"1,045","1,265",741,573,568,620,364,625,879,462,434
2021년09월_계_20~29세,"20,121","1,226","1,119","1,250","2,054","1,787","2,001","1,527","1,608","1,363","1,462","2,362","1,317","1,045"
2021년09월_계_30~39세,"16,945","1,192","1,108","1,579","1,801","1,341","1,283","1,153","1,235",779,"1,236","2,131","1,119",988
2021년09월_계_40~49세,"19,681","1,916","1,308","1,832","2,394","1,529","1,293","1,436","1,323",790,"1,404","2,285","1,143","1,028"
2021년09월_계_50~59세,"24,342","2,001","1,618","2,061","2,895","1,997","1,606","1,902","1,991","1,027","1,552","2,625","1,539","1,528"
2021년09월_계_60~69세,"24,385","1,776","1,581","2,069","2,826","1,941","1,572","2,034","2,113","1,042","1,495","2,486","1,697","1,753"
2021년09월_계_70~79세,"14,893","1,373",965,"1,227","1,631","1,093","1,084","1,285","1,198",643,859,"1,515",995,"1,025"
2021년09월_계_80~89세,"7,506",786,573,694,908,486,529,559,525,308,426,684,525,503
2021년09월_계_90~99세,967,125,65,97,116,68,55,65,69,40,56,98,58,55
2021년09월_계_100세 이상,26,1,1,4,3,1,1,2,2,0,4,2,3,2
2021년09월_남_총인구수,"69,457","5,730","4,417","6,117","7,973","5,594","4,930","5,392","5,403","3,116","4,622","7,694","4,339","4,130"
2021년09월_남_연령구간인구수,"69,457","5,730","4,417","6,117","7,973","5,594","4,930","5,392","5,403","3,116","4,622","7,694","4,339","4,130"
2021년09월_남_0~9세,"3,357",401,170,489,431,244,175,188,212,133,235,380,153,146
2021년09월_남_10~19세,"4,795",566,274,498,657,398,288,305,333,200,333,460,249,234
2021년09월_남_20~29세,"10,012",623,540,662,"1,041",904,943,770,838,584,722,"1,189",642,554
2021년09월_남_30~39세,"8,962",591,592,812,926,713,698,657,688,392,634,"1,108",590,561
2021년09월_남_40~49세,"9,974",938,674,893,"1,142",786,666,793,691,429,683,"1,175",578,526
2021년09월_남_50~59세,"11,923",986,819,955,"1,437",960,797,995,980,500,779,"1,272",725,718
2021년09월_남_60~69세,"11,178",771,740,966,"1,264",906,728,946,966,483,709,"1,167",761,771
2021년09월_남_70~79세,"6,332",548,395,552,696,484,450,535,519,276,372,647,438,420
2021년09월_남_80~89세,"2,714",279,203,261,351,185,175,192,167,109,146,274,189,183
2021년09월_남_90~99세,207,27,10,29,28,14,10,10,9,10,9,22,13,16
2021년09월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,0,0,1,1
2021년09월_여_총인구수,"75,027","6,408","4,768","6,691","8,744","5,850","5,433","5,486","5,722","3,458","5,006","8,100","4,830","4,531"
2021년09월_여_연령구간인구수,"75,027","6,408","4,768","6,691","8,744","5,850","5,433","5,486","5,722","3,458","5,006","8,100","4,830","4,531"
2021년09월_여_0~9세,"3,152",316,169,461,393,216,191,159,229,85,274,347,158,154
2021년09월_여_10~19세,"4,314",459,234,547,608,343,285,263,287,164,292,419,213,200
2021년09월_여_20~29세,"10,109",603,579,588,"1,013",883,"1,058",757,770,779,740,"1,173",675,491
2021년09월_여_30~39세,"7,983",601,516,767,875,628,585,496,547,387,602,"1,023",529,427
2021년09월_여_40~49세,"9,707",978,634,939,"1,252",743,627,643,632,361,721,"1,110",565,502
2021년09월_여_50~59세,"12,419","1,015",799,"1,106","1,458","1,037",809,907,"1,011",527,773,"1,353",814,810
2021년09월_여_60~69세,"13,207","1,005",841,"1,103","1,562","1,035",844,"1,088","1,147",559,786,"1,319",936,982
2021년09월_여_70~79세,"8,561",825,570,675,935,609,634,750,679,367,487,868,557,605
2021년09월_여_80~89세,"4,792",507,370,433,557,301,354,367,358,199,280,410,336,320
2021년09월_여_90~99세,760,98,55,68,88,54,45,55,60,30,47,76,45,39
2021년09월_여_100세 이상,23,1,1,4,3,1,1,1,2,0,4,2,2,1
