카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년03월_계_총인구수,"9,348","6,607",890,470,"1,381"
2020년03월_계_연령구간인구수,"9,348","6,607",890,470,"1,381"
2020년03월_계_0~9세,426,310,45,16,55
2020년03월_계_10~19세,491,386,40,14,51
2020년03월_계_20~29세,854,619,79,29,127
2020년03월_계_30~39세,933,693,61,36,143
2020년03월_계_40~49세,"1,351","1,026",101,37,187
2020년03월_계_50~59세,"1,928","1,382",199,94,253
2020년03월_계_60~69세,"1,763","1,207",170,113,273
2020년03월_계_70~79세,"1,015",659,111,80,165
2020년03월_계_80~89세,503,280,78,37,108
2020년03월_계_90~99세,73,34,6,14,19
2020년03월_계_100세 이상,11,11,0,0,0
2020년03월_남_총인구수,"5,085","3,601",476,245,763
2020년03월_남_연령구간인구수,"5,085","3,601",476,245,763
2020년03월_남_0~9세,223,166,21,9,27
2020년03월_남_10~19세,243,179,28,9,27
2020년03월_남_20~29세,509,366,47,14,82
2020년03월_남_30~39세,555,414,31,22,88
2020년03월_남_40~49세,842,627,63,25,127
2020년03월_남_50~59세,"1,090",781,120,50,139
2020년03월_남_60~69세,934,642,94,56,142
2020년03월_남_70~79세,468,302,44,43,79
2020년03월_남_80~89세,197,111,26,13,47
2020년03월_남_90~99세,19,8,2,4,5
2020년03월_남_100세 이상,5,5,0,0,0
2020년03월_여_총인구수,"4,263","3,006",414,225,618
2020년03월_여_연령구간인구수,"4,263","3,006",414,225,618
2020년03월_여_0~9세,203,144,24,7,28
2020년03월_여_10~19세,248,207,12,5,24
2020년03월_여_20~29세,345,253,32,15,45
2020년03월_여_30~39세,378,279,30,14,55
2020년03월_여_40~49세,509,399,38,12,60
2020년03월_여_50~59세,838,601,79,44,114
2020년03월_여_60~69세,829,565,76,57,131
2020년03월_여_70~79세,547,357,67,37,86
2020년03월_여_80~89세,306,169,52,24,61
2020년03월_여_90~99세,54,26,4,10,14
2020년03월_여_100세 이상,6,6,0,0,0
