,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년05월_계_총인구수,"104,133","5,297","1,296","7,051","5,201","3,074","2,816","3,939","4,271","8,328","3,396","4,998","1,786","2,666","16,093","20,183","7,895","5,843"
2021년05월_계_연령구간인구수,"104,133","5,297","1,296","7,051","5,201","3,074","2,816","3,939","4,271","8,328","3,396","4,998","1,786","2,666","16,093","20,183","7,895","5,843"
2021년05월_계_0~9세,"5,448",139,18,271,123,57,59,89,73,436,81,96,36,64,"1,334","1,876",379,317
2021년05월_계_10~19세,"7,684",237,53,402,224,83,114,219,145,517,123,257,55,143,"1,404","2,543",611,554
2021년05월_계_20~29세,"8,910",306,129,472,365,153,167,200,207,646,169,305,92,218,"1,914","2,143",768,656
2021년05월_계_30~39세,"8,689",319,67,467,328,145,149,165,243,628,162,237,64,191,"2,142","2,092",700,590
2021년05월_계_40~49세,"12,806",499,98,756,479,203,260,363,306,973,302,371,126,302,"2,434","3,469","1,027",838
2021년05월_계_50~59세,"18,463",963,222,"1,302",981,518,551,727,859,"1,471",563,852,273,498,"2,808","3,318","1,427","1,130"
2021년05월_계_60~69세,"21,448","1,383",329,"1,621","1,339",951,747,"1,079","1,288","1,808",934,"1,324",510,599,"2,396","2,645","1,477","1,018"
2021년05월_계_70~79세,"12,741",915,219,"1,069",786,571,473,684,717,"1,125",638,867,346,416,"1,092","1,372",935,516
2021년05월_계_80~89세,"7,008",472,138,618,504,342,258,359,379,637,388,608,254,214,476,645,514,202
2021년05월_계_90~99세,908,61,23,69,70,51,35,52,51,86,34,78,30,21,91,78,57,21
2021년05월_계_100세 이상,28,3,0,4,2,0,3,2,3,1,2,3,0,0,2,2,0,1
2021년05월_남_총인구수,"51,149","2,639",643,"3,538","2,694","1,470","1,441","2,022","2,106","4,139","1,677","2,452",867,"1,288","7,958","9,726","3,667","2,822"
2021년05월_남_연령구간인구수,"51,149","2,639",643,"3,538","2,694","1,470","1,441","2,022","2,106","4,139","1,677","2,452",867,"1,288","7,958","9,726","3,667","2,822"
2021년05월_남_0~9세,"2,790",76,9,147,73,28,34,49,40,222,38,51,16,31,641,987,199,149
2021년05월_남_10~19세,"4,029",120,28,214,124,43,68,125,73,258,71,147,29,77,732,"1,349",294,277
2021년05월_남_20~29세,"5,184",188,71,291,243,99,110,126,130,396,93,171,60,145,"1,083","1,202",406,370
2021년05월_남_30~39세,"4,608",186,41,273,203,82,85,96,138,338,97,141,38,95,"1,118","1,009",368,300
2021년05월_남_40~49세,"6,783",301,67,459,286,129,159,227,178,549,190,203,80,163,"1,241","1,633",499,419
2021년05월_남_50~59세,"9,346",496,126,693,546,257,292,389,426,762,300,472,119,251,"1,398","1,570",707,542
2021년05월_남_60~69세,"10,503",701,154,778,692,457,384,565,658,921,460,675,282,280,"1,134","1,192",693,477
2021년05월_남_70~79세,"5,574",408,99,485,348,274,221,331,345,482,297,388,154,174,444,567,333,224
2021년05월_남_80~89세,"2,153",151,45,187,165,89,83,107,109,191,126,191,83,68,144,201,154,59
2021년05월_남_90~99세,174,11,3,11,14,12,4,7,8,20,4,13,6,4,23,15,14,5
2021년05월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2021년05월_여_총인구수,"52,984","2,658",653,"3,513","2,507","1,604","1,375","1,917","2,165","4,189","1,719","2,546",919,"1,378","8,135","10,457","4,228","3,021"
2021년05월_여_연령구간인구수,"52,984","2,658",653,"3,513","2,507","1,604","1,375","1,917","2,165","4,189","1,719","2,546",919,"1,378","8,135","10,457","4,228","3,021"
2021년05월_여_0~9세,"2,658",63,9,124,50,29,25,40,33,214,43,45,20,33,693,889,180,168
2021년05월_여_10~19세,"3,655",117,25,188,100,40,46,94,72,259,52,110,26,66,672,"1,194",317,277
2021년05월_여_20~29세,"3,726",118,58,181,122,54,57,74,77,250,76,134,32,73,831,941,362,286
2021년05월_여_30~39세,"4,081",133,26,194,125,63,64,69,105,290,65,96,26,96,"1,024","1,083",332,290
2021년05월_여_40~49세,"6,023",198,31,297,193,74,101,136,128,424,112,168,46,139,"1,193","1,836",528,419
2021년05월_여_50~59세,"9,117",467,96,609,435,261,259,338,433,709,263,380,154,247,"1,410","1,748",720,588
2021년05월_여_60~69세,"10,945",682,175,843,647,494,363,514,630,887,474,649,228,319,"1,262","1,453",784,541
2021년05월_여_70~79세,"7,167",507,120,584,438,297,252,353,372,643,341,479,192,242,648,805,602,292
2021년05월_여_80~89세,"4,855",321,93,431,339,253,175,252,270,446,262,417,171,146,332,444,360,143
2021년05월_여_90~99세,734,50,20,58,56,39,31,45,43,66,30,65,24,17,68,63,43,16
2021년05월_여_100세 이상,23,2,0,4,2,0,2,2,2,1,1,3,0,0,2,1,0,1
