,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년04월_계_총인구수,"350,016","22,252","19,894","15,791","22,198","16,953","29,993","11,642","35,814","22,853","26,235","28,980","18,269","22,335","27,228","29,579"
2020년04월_계_연령구간인구수,"350,016","22,252","19,894","15,791","22,198","16,953","29,993","11,642","35,814","22,853","26,235","28,980","18,269","22,335","27,228","29,579"
2020년04월_계_0~9세,"20,870",447,947,814,"1,290",801,"1,639",585,"3,495","1,090","1,764","2,430",765,943,"1,886","1,974"
2020년04월_계_10~19세,"27,020",816,"1,101",772,"1,464","1,057","2,099",565,"5,608","1,550","2,012","2,699",928,"1,259","2,432","2,658"
2020년04월_계_20~29세,"62,239","9,203","4,336","2,753","3,936","2,702","4,517","2,397","4,128","4,275","3,910","4,041","2,729","4,770","3,751","4,791"
2020년04월_계_30~39세,"57,371","4,288","3,669","2,966","4,012","2,762","4,610","2,682","4,048","3,867","4,161","4,428","2,749","4,378","4,005","4,746"
2020년04월_계_40~49세,"53,910","2,213","2,633","2,279","3,109","2,458","4,351","1,620","7,881","3,463","4,203","4,697","2,579","3,275","4,473","4,676"
2020년04월_계_50~59세,"55,278","2,099","2,963","2,582","3,638","3,030","5,464","1,475","5,324","3,695","4,341","4,695","3,273","3,269","4,557","4,873"
2020년04월_계_60~69세,"41,172","1,664","2,299","2,053","2,718","2,331","4,190","1,217","2,917","2,756","3,490","3,464","2,915","2,380","3,412","3,366"
2020년04월_계_70~79세,"22,195","1,039","1,373","1,139","1,459","1,287","2,271",751,"1,468","1,512","1,671","1,591","1,637","1,433","1,899","1,665"
2020년04월_계_80~89세,"8,509",397,501,370,481,450,727,301,799,553,583,806,597,549,694,701
2020년04월_계_90~99세,"1,246",64,62,55,82,61,97,46,136,78,89,117,82,65,94,118
2020년04월_계_100세 이상,206,22,10,8,9,14,28,3,10,14,11,12,15,14,25,11
2020년04월_남_총인구수,"169,213","10,537","9,812","7,736","10,579","8,433","14,737","5,348","17,305","11,010","12,817","13,943","9,153","10,654","13,104","14,045"
2020년04월_남_연령구간인구수,"169,213","10,537","9,812","7,736","10,579","8,433","14,737","5,348","17,305","11,010","12,817","13,943","9,153","10,654","13,104","14,045"
2020년04월_남_0~9세,"10,610",215,498,431,662,414,849,296,"1,804",525,924,"1,224",375,485,944,964
2020년04월_남_10~19세,"13,752",363,567,399,737,539,"1,132",298,"2,877",829,"1,064","1,340",454,624,"1,209","1,320"
2020년04월_남_20~29세,"29,410","3,910","2,098","1,305","1,793","1,375","2,283",979,"2,042","2,017","1,952","1,985","1,344","2,174","1,862","2,291"
2020년04월_남_30~39세,"28,347","2,271","1,851","1,495","1,979","1,459","2,286","1,240","1,754","1,938","2,038","2,093","1,486","2,192","2,002","2,263"
2020년04월_남_40~49세,"26,644","1,227","1,365","1,178","1,533","1,227","2,212",828,"3,652","1,745","2,091","2,233","1,357","1,651","2,170","2,175"
2020년04월_남_50~59세,"26,984","1,117","1,492","1,250","1,728","1,522","2,648",666,"2,723","1,765","2,045","2,260","1,726","1,563","2,165","2,314"
2020년04월_남_60~69세,"19,574",768,"1,103",982,"1,261","1,118","1,935",555,"1,434","1,302","1,681","1,728","1,404","1,085","1,593","1,625"
2020년04월_남_70~79세,"10,211",476,634,518,678,600,"1,068",340,650,654,780,738,749,646,884,796
2020년04월_남_80~89세,"3,296",165,191,167,191,161,293,132,322,206,217,299,233,213,250,256
2020년04월_남_90~99세,338,20,12,8,15,16,23,14,45,25,24,41,20,19,20,36
2020년04월_남_100세 이상,47,5,1,3,2,2,8,0,2,4,1,2,5,2,5,5
2020년04월_여_총인구수,"180,803","11,715","10,082","8,055","11,619","8,520","15,256","6,294","18,509","11,843","13,418","15,037","9,116","11,681","14,124","15,534"
2020년04월_여_연령구간인구수,"180,803","11,715","10,082","8,055","11,619","8,520","15,256","6,294","18,509","11,843","13,418","15,037","9,116","11,681","14,124","15,534"
2020년04월_여_0~9세,"10,260",232,449,383,628,387,790,289,"1,691",565,840,"1,206",390,458,942,"1,010"
2020년04월_여_10~19세,"13,268",453,534,373,727,518,967,267,"2,731",721,948,"1,359",474,635,"1,223","1,338"
2020년04월_여_20~29세,"32,829","5,293","2,238","1,448","2,143","1,327","2,234","1,418","2,086","2,258","1,958","2,056","1,385","2,596","1,889","2,500"
2020년04월_여_30~39세,"29,024","2,017","1,818","1,471","2,033","1,303","2,324","1,442","2,294","1,929","2,123","2,335","1,263","2,186","2,003","2,483"
2020년04월_여_40~49세,"27,266",986,"1,268","1,101","1,576","1,231","2,139",792,"4,229","1,718","2,112","2,464","1,222","1,624","2,303","2,501"
2020년04월_여_50~59세,"28,294",982,"1,471","1,332","1,910","1,508","2,816",809,"2,601","1,930","2,296","2,435","1,547","1,706","2,392","2,559"
2020년04월_여_60~69세,"21,598",896,"1,196","1,071","1,457","1,213","2,255",662,"1,483","1,454","1,809","1,736","1,511","1,295","1,819","1,741"
2020년04월_여_70~79세,"11,984",563,739,621,781,687,"1,203",411,818,858,891,853,888,787,"1,015",869
2020년04월_여_80~89세,"5,213",232,310,203,290,289,434,169,477,347,366,507,364,336,444,445
2020년04월_여_90~99세,908,44,50,47,67,45,74,32,91,53,65,76,62,46,74,82
2020년04월_여_100세 이상,159,17,9,5,7,12,20,3,8,10,10,10,10,12,20,6
