카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년01월_계_총인구수,"271,562","32,910","10,711","25,039","19,067","15,665","38,411","10,896","29,125","15,366","15,204","28,923","14,834","15,411"
2020년01월_계_연령구간인구수,"271,562","32,910","10,711","25,039","19,067","15,665","38,411","10,896","29,125","15,366","15,204","28,923","14,834","15,411"
2020년01월_계_0~9세,"19,999","2,727",404,"2,665","1,086",931,"2,590",857,"2,728","1,101",851,"2,138","1,041",880
2020년01월_계_10~19세,"25,449","2,943",738,"3,198","1,137","1,539","2,984","1,033","4,270","1,410","1,053","2,962","1,103","1,079"
2020년01월_계_20~29세,"33,579","4,015","1,242","2,632","2,785","1,872","5,574","1,325","3,371","1,672","1,849","3,457","1,770","2,015"
2020년01월_계_30~39세,"34,008","4,441",959,"3,284","3,159","1,534","5,298","1,452","3,052","1,740","1,772","3,418","1,915","1,984"
2020년01월_계_40~49세,"43,260","5,063","1,395","4,992","3,037","2,255","5,657","1,773","5,850","2,504","2,142","4,629","2,024","1,939"
2020년01월_계_50~59세,"45,376","5,380","1,935","3,602","2,980","2,609","6,661","1,762","4,779","2,499","2,680","5,038","2,593","2,858"
2020년01월_계_60~69세,"39,557","4,736","2,046","2,586","2,534","2,528","5,641","1,419","3,105","2,408","2,744","4,379","2,571","2,860"
2020년01월_계_70~79세,"21,489","2,575","1,334","1,466","1,594","1,599","2,891",887,"1,437","1,495","1,522","2,061","1,309","1,319"
2020년01월_계_80~89세,"7,702",899,570,527,635,682,978,343,465,476,524,744,443,416
2020년01월_계_90~99세,"1,005",115,67,78,93,110,119,43,63,56,61,84,59,57
2020년01월_계_100세 이상,138,16,21,9,27,6,18,2,5,5,6,13,6,4
2020년01월_남_총인구수,"132,401","16,136","5,222","12,193","9,038","7,566","18,811","5,243","14,145","7,598","7,534","14,117","7,250","7,548"
2020년01월_남_연령구간인구수,"132,401","16,136","5,222","12,193","9,038","7,566","18,811","5,243","14,145","7,598","7,534","14,117","7,250","7,548"
2020년01월_남_0~9세,"10,301","1,390",210,"1,370",530,455,"1,334",437,"1,390",616,475,"1,101",533,460
2020년01월_남_10~19세,"13,375","1,598",399,"1,776",562,830,"1,571",493,"2,137",771,560,"1,543",544,591
2020년01월_남_20~29세,"17,646","2,194",676,"1,322","1,260","1,025","2,844",707,"1,820",902,973,"1,894",936,"1,093"
2020년01월_남_30~39세,"17,043","2,222",531,"1,512","1,586",774,"2,713",725,"1,407",865,943,"1,725",983,"1,057"
2020년01월_남_40~49세,"21,040","2,488",719,"2,407","1,506","1,075","2,730",871,"2,696","1,269","1,132","2,172","1,029",946
2020년01월_남_50~59세,"21,477","2,511",916,"1,739","1,447","1,207","3,164",846,"2,358","1,215","1,259","2,353","1,201","1,261"
2020년01월_남_60~69세,"18,475","2,192",976,"1,190","1,181","1,162","2,678",628,"1,505","1,109","1,257","2,062","1,217","1,318"
2020년01월_남_70~79세,"9,931","1,174",569,665,701,738,"1,342",396,686,671,715,981,635,658
2020년01월_남_80~89세,"2,860",333,210,194,238,272,400,133,134,170,204,263,156,153
2020년01월_남_90~99세,231,26,16,17,24,26,34,6,11,10,14,23,14,10
2020년01월_남_100세 이상,22,8,0,1,3,2,1,1,1,0,2,0,2,1
2020년01월_여_총인구수,"139,161","16,774","5,489","12,846","10,029","8,099","19,600","5,653","14,980","7,768","7,670","14,806","7,584","7,863"
2020년01월_여_연령구간인구수,"139,161","16,774","5,489","12,846","10,029","8,099","19,600","5,653","14,980","7,768","7,670","14,806","7,584","7,863"
2020년01월_여_0~9세,"9,698","1,337",194,"1,295",556,476,"1,256",420,"1,338",485,376,"1,037",508,420
2020년01월_여_10~19세,"12,074","1,345",339,"1,422",575,709,"1,413",540,"2,133",639,493,"1,419",559,488
2020년01월_여_20~29세,"15,933","1,821",566,"1,310","1,525",847,"2,730",618,"1,551",770,876,"1,563",834,922
2020년01월_여_30~39세,"16,965","2,219",428,"1,772","1,573",760,"2,585",727,"1,645",875,829,"1,693",932,927
2020년01월_여_40~49세,"22,220","2,575",676,"2,585","1,531","1,180","2,927",902,"3,154","1,235","1,010","2,457",995,993
2020년01월_여_50~59세,"23,899","2,869","1,019","1,863","1,533","1,402","3,497",916,"2,421","1,284","1,421","2,685","1,392","1,597"
2020년01월_여_60~69세,"21,082","2,544","1,070","1,396","1,353","1,366","2,963",791,"1,600","1,299","1,487","2,317","1,354","1,542"
2020년01월_여_70~79세,"11,558","1,401",765,801,893,861,"1,549",491,751,824,807,"1,080",674,661
2020년01월_여_80~89세,"4,842",566,360,333,397,410,578,210,331,306,320,481,287,263
2020년01월_여_90~99세,774,89,51,61,69,84,85,37,52,46,47,61,45,47
2020년01월_여_100세 이상,116,8,21,8,24,4,17,1,4,5,4,13,4,3
