카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년12월_계_총인구수,"78,084","33,401","9,955","2,470","3,057","3,184","1,769","2,537","6,677","2,502","4,545","3,533","4,454"
2020년12월_계_연령구간인구수,"78,084","33,401","9,955","2,470","3,057","3,184","1,769","2,537","6,677","2,502","4,545","3,533","4,454"
2020년12월_계_0~9세,"3,631","2,128",544,58,63,83,36,55,251,72,140,96,105
2020년12월_계_10~19세,"5,656","3,310",643,74,157,138,62,141,394,145,250,132,210
2020년12월_계_20~29세,"6,830","3,541","1,115",130,148,169,86,195,482,139,276,236,313
2020년12월_계_30~39세,"6,130","2,987","1,151",147,181,136,82,138,449,139,242,212,266
2020년12월_계_40~49세,"9,523","4,980","1,168",227,270,284,149,245,751,234,442,328,445
2020년12월_계_50~59세,"13,677","5,935","1,589",429,481,549,277,466,"1,331",425,785,590,820
2020년12월_계_60~69세,"14,743","5,365","1,646",584,730,686,464,583,"1,419",536,930,802,998
2020년12월_계_70~79세,"10,451","3,274","1,162",468,569,589,344,391,931,444,870,653,756
2020년12월_계_80~89세,"6,567","1,658",834,310,411,494,230,281,577,311,553,433,475
2020년12월_계_90~99세,836,211,96,39,45,55,38,40,88,54,55,50,65
2020년12월_계_100세 이상,40,12,7,4,2,1,1,2,4,3,2,1,1
2020년12월_남_총인구수,"39,156","16,592","5,005","1,276","1,547","1,567",883,"1,320","3,311","1,260","2,303","1,781","2,311"
2020년12월_남_연령구간인구수,"39,156","16,592","5,005","1,276","1,547","1,567",883,"1,320","3,311","1,260","2,303","1,781","2,311"
2020년12월_남_0~9세,"1,891","1,110",273,29,36,44,21,29,131,37,71,52,58
2020년12월_남_10~19세,"2,906","1,677",332,37,91,67,33,79,208,68,122,74,118
2020년12월_남_20~29세,"3,841","1,943",606,75,90,91,46,119,282,87,163,144,195
2020년12월_남_30~39세,"3,401","1,579",644,85,107,79,51,88,243,88,145,123,169
2020년12월_남_40~49세,"5,229","2,527",658,160,157,171,91,159,415,140,278,193,280
2020년12월_남_50~59세,"7,298","3,058",837,248,264,316,150,246,688,242,448,335,466
2020년12월_남_60~69세,"7,288","2,569",805,300,369,361,245,297,695,261,464,417,505
2020년12월_남_70~79세,"4,740","1,476",535,220,261,256,164,179,421,205,406,288,329
2020년12월_남_80~89세,"2,367",599,296,116,164,167,80,113,206,114,197,141,174
2020년12월_남_90~99세,190,52,19,5,8,15,2,10,22,17,9,14,17
2020년12월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년12월_여_총인구수,"38,928","16,809","4,950","1,194","1,510","1,617",886,"1,217","3,366","1,242","2,242","1,752","2,143"
2020년12월_여_연령구간인구수,"38,928","16,809","4,950","1,194","1,510","1,617",886,"1,217","3,366","1,242","2,242","1,752","2,143"
2020년12월_여_0~9세,"1,740","1,018",271,29,27,39,15,26,120,35,69,44,47
2020년12월_여_10~19세,"2,750","1,633",311,37,66,71,29,62,186,77,128,58,92
2020년12월_여_20~29세,"2,989","1,598",509,55,58,78,40,76,200,52,113,92,118
2020년12월_여_30~39세,"2,729","1,408",507,62,74,57,31,50,206,51,97,89,97
2020년12월_여_40~49세,"4,294","2,453",510,67,113,113,58,86,336,94,164,135,165
2020년12월_여_50~59세,"6,379","2,877",752,181,217,233,127,220,643,183,337,255,354
2020년12월_여_60~69세,"7,455","2,796",841,284,361,325,219,286,724,275,466,385,493
2020년12월_여_70~79세,"5,711","1,798",627,248,308,333,180,212,510,239,464,365,427
2020년12월_여_80~89세,"4,200","1,059",538,194,247,327,150,168,371,197,356,292,301
2020년12월_여_90~99세,646,159,77,34,37,40,36,30,66,37,46,36,48
2020년12월_여_100세 이상,35,10,7,3,2,1,1,1,4,2,2,1,1
