카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년10월_계_총인구수,"658,216","337,186","7,445","4,040","12,112","5,428","6,325","8,635","14,426","19,638","41,145","12,885","46,018","11,580","13,483","22,020","10,805","10,081","14,729","39,521","36,870","321,030","14,144","18,353","11,182","32,053","20,839","7,865","9,843","7,579","12,065","14,526","19,938","62,644","26,385","12,620","30,724","20,270",0
2021년10월_계_연령구간인구수,"658,216","337,186","7,445","4,040","12,112","5,428","6,325","8,635","14,426","19,638","41,145","12,885","46,018","11,580","13,483","22,020","10,805","10,081","14,729","39,521","36,870","321,030","14,144","18,353","11,182","32,053","20,839","7,865","9,843","7,579","12,065","14,526","19,938","62,644","26,385","12,620","30,724","20,270",0
2021년10월_계_0~9세,"51,815","23,361",313,98,567,277,272,285,859,"1,306","3,242",541,"3,782",657,663,"1,463",563,499,932,"4,227","2,815","28,454",582,"1,392",534,"2,438","1,990",209,396,284,889,810,"1,364","7,954","1,969",865,"3,736","3,042",0
2021년10월_계_10~19세,"70,266","34,854",460,147,787,369,429,607,"1,282","2,587","4,822",817,"5,249","1,052","1,189","2,352",894,855,"1,473","5,010","4,473","35,412","1,035","2,300",694,"3,982","1,631",329,626,460,968,"1,208","2,447","8,868","3,081",972,"3,093","3,718",0
2021년10월_계_20~29세,"93,201","49,100",841,388,"1,378",596,664,"1,031","2,257","3,256","6,318","1,388","5,831","1,667","1,970","3,070","1,377","1,447","2,010","6,139","7,472","44,101","1,700","2,325","1,540","4,720","3,574","2,480","1,506",880,"1,645","2,045","2,637","7,884","3,898","1,563","3,748","1,956",0
2021년10월_계_30~39세,"81,357","39,372",772,347,"1,256",544,541,725,"1,606","2,388","5,250","1,258","5,047","1,198","1,340","2,122","1,047","1,075","1,616","5,204","6,036","41,985","1,279","1,828","1,292","3,913","3,554",956,"1,023",744,"1,765","1,905","1,906","9,359","2,893","1,736","5,104","2,728",0
2021년10월_계_40~49세,"105,088","51,685",874,490,"1,629",703,763,"1,130","1,900","3,322","6,823","1,694","7,395","1,591","1,697","3,257","1,451","1,327","2,058","6,909","6,672","53,403","1,783","3,044","1,409","5,974","3,058",829,"1,202","1,058","1,758","2,394","3,027","12,063","4,021","1,786","5,216","4,781",0
2021년10월_계_50~59세,"107,266","57,332","1,210",642,"1,929",870,"1,044","1,499","2,430","3,354","7,118","2,237","7,780","2,192","2,571","4,384","1,799","1,760","2,492","6,205","5,816","49,934","2,267","2,860","1,800","5,246","2,788","1,072","1,565","1,391","1,990","2,656","3,507","8,880","4,662","2,210","4,583","2,457",0
2021년10월_계_60~69세,"80,631","44,274","1,440",868,"2,128",918,"1,295","1,696","2,237","2,019","4,194","2,404","6,307","1,823","2,349","2,995","1,830","1,696","2,240","3,677","2,158","36,357","2,387","2,297","1,887","3,034","2,206",999,"1,647","1,396","1,736","1,945","2,893","4,713","3,280","1,844","3,066","1,027",0
2021년10월_계_70~79세,"44,960","24,357",970,683,"1,557",727,822,"1,111","1,199",918,"2,191","1,646","3,056",946,"1,185","1,462","1,236","1,011","1,251","1,454",932,"20,603","1,935","1,584","1,364","1,806","1,356",629,"1,271",929,870,996,"1,386","1,949","1,721","1,004","1,436",367,0
