카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년09월_계_총인구수,"48,990","18,026","3,663","4,308",781,"3,170","3,389","4,179","2,304","2,069",220,"2,455",985,"2,632",809
2021년09월_계_연령구간인구수,"48,990","18,026","3,663","4,308",781,"3,170","3,389","4,179","2,304","2,069",220,"2,455",985,"2,632",809
2021년09월_계_0~9세,"2,971","1,386",201,297,51,87,132,174,113,62,5,135,44,243,41
2021년09월_계_10~19세,"3,506","1,684",196,397,47,118,192,261,93,88,9,134,49,213,25
2021년09월_계_20~29세,"3,655","1,827",204,269,42,181,203,258,128,127,8,130,62,151,65
2021년09월_계_30~39세,"3,672","1,666",269,338,72,151,207,224,104,127,5,167,61,230,51
2021년09월_계_40~49세,"6,020","2,630",415,573,114,311,358,413,203,180,24,273,99,339,88
2021년09월_계_50~59세,"7,903","3,072",560,637,120,526,576,612,385,346,37,337,163,402,130
2021년09월_계_60~69세,"8,724","2,902",745,650,158,721,644,700,489,431,37,461,167,457,162
2021년09월_계_70~79세,"7,338","1,844",610,638,135,629,593,861,461,371,47,480,177,350,142
2021년09월_계_80~89세,"4,556",882,413,448,40,393,430,597,286,288,40,293,141,216,89
2021년09월_계_90~99세,628,128,50,60,1,52,53,77,41,48,7,44,21,31,15
2021년09월_계_100세 이상,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021년09월_남_총인구수,"24,677","9,090","1,856","2,153",428,"1,591","1,726","2,055","1,178","1,007",115,"1,214",492,"1,346",426
2021년09월_남_연령구간인구수,"24,677","9,090","1,856","2,153",428,"1,591","1,726","2,055","1,178","1,007",115,"1,214",492,"1,346",426
2021년09월_남_0~9세,"1,531",743,96,140,24,51,58,83,71,30,3,64,20,126,22
2021년09월_남_10~19세,"1,827",868,98,221,27,59,95,132,42,49,5,69,30,116,16
2021년09월_남_20~29세,"2,149","1,045",124,157,27,98,136,158,83,73,8,78,34,88,40
2021년09월_남_30~39세,"1,986",832,158,191,48,97,114,131,56,78,2,94,37,120,28
2021년09월_남_40~49세,"3,515","1,368",273,334,81,200,224,248,139,105,17,182,65,213,66
2021년09월_남_50~59세,"4,447","1,644",331,359,67,303,338,366,226,207,24,197,93,220,72
2021년09월_남_60~69세,"4,365","1,425",368,333,75,359,336,344,246,218,22,229,90,236,84
2021년09월_남_70~79세,"3,281",849,273,274,66,301,260,369,215,152,24,187,79,164,68
2021년09월_남_80~89세,"1,449",286,126,138,13,117,151,207,91,83,10,103,39,57,28
2021년09월_남_90~99세,125,30,9,6,0,6,14,17,9,11,0,10,5,6,2
2021년09월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년09월_여_총인구수,"24,313","8,936","1,807","2,155",353,"1,579","1,663","2,124","1,126","1,062",105,"1,241",493,"1,286",383
2021년09월_여_연령구간인구수,"24,313","8,936","1,807","2,155",353,"1,579","1,663","2,124","1,126","1,062",105,"1,241",493,"1,286",383
2021년09월_여_0~9세,"1,440",643,105,157,27,36,74,91,42,32,2,71,24,117,19
2021년09월_여_10~19세,"1,679",816,98,176,20,59,97,129,51,39,4,65,19,97,9
2021년09월_여_20~29세,"1,506",782,80,112,15,83,67,100,45,54,0,52,28,63,25
2021년09월_여_30~39세,"1,686",834,111,147,24,54,93,93,48,49,3,73,24,110,23
2021년09월_여_40~49세,"2,505","1,262",142,239,33,111,134,165,64,75,7,91,34,126,22
2021년09월_여_50~59세,"3,456","1,428",229,278,53,223,238,246,159,139,13,140,70,182,58
2021년09월_여_60~69세,"4,359","1,477",377,317,83,362,308,356,243,213,15,232,77,221,78
2021년09월_여_70~79세,"4,057",995,337,364,69,328,333,492,246,219,23,293,98,186,74
2021년09월_여_80~89세,"3,107",596,287,310,27,276,279,390,195,205,30,190,102,159,61
2021년09월_여_90~99세,503,98,41,54,1,46,39,60,32,37,7,34,16,25,13
2021년09월_여_100세 이상,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
