카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년06월_계_총인구수,"558,017","241,830","12,858","21,646","16,899","7,337","12,281","20,256","16,055","11,142","17,639","20,068","32,949","13,938","15,516","23,246","316,187","21,925","11,214","20,374","17,813","11,314","37,576","19,514","27,547","15,262","24,262","16,970","8,175","21,645","22,193","15,601","13,412","11,390"
2020년06월_계_연령구간인구수,"558,017","241,830","12,858","21,646","16,899","7,337","12,281","20,256","16,055","11,142","17,639","20,068","32,949","13,938","15,516","23,246","316,187","21,925","11,214","20,374","17,813","11,314","37,576","19,514","27,547","15,262","24,262","16,970","8,175","21,645","22,193","15,601","13,412","11,390"
2020년06월_계_0~9세,"41,023","16,184",987,"1,205",919,302,552,"1,114","1,808",508,"1,050","1,482","2,312",992,752,"2,201","24,839","1,897",842,"1,119","1,530",802,"2,291","1,286","2,471","1,407","2,554","1,500",990,"1,514","1,669","1,197",984,786
2020년06월_계_10~19세,"53,914","19,447","1,147","1,543","1,369",506,863,"1,299","1,344",737,"1,317","1,616","2,752","1,412","1,201","2,341","34,467","2,284","1,127","1,653","2,311",758,"3,082","1,501","2,476","1,745","3,805","3,414",743,"1,844","2,132","2,352","1,672","1,568"
2020년06월_계_20~29세,"79,323","34,971","1,947","3,414","2,520","1,086","1,681","3,049","2,080","1,681","2,556","2,649","4,721","1,993","2,171","3,423","44,352","2,987","1,609","3,155","2,176","1,498","6,096","3,032","3,694","2,235","2,626","1,911",978,"3,526","3,297","2,026","1,969","1,537"
2020년06월_계_30~39세,"78,587","33,723","1,978","3,053","2,251",968,"1,535","3,316","2,841","1,562","2,165","2,764","4,407","1,652","1,726","3,505","44,864","2,865","1,439","2,625","2,269","2,432","4,974","3,080","5,985","1,902","3,355","1,301","1,603","3,264","3,064","1,906","1,629","1,171"
2020년06월_계_40~49세,"89,886","35,870","2,042","3,061","2,401","1,047","1,736","3,016","2,620","1,532","2,331","3,066","4,939","2,179","2,329","3,571","54,016","3,602","1,747","2,702","3,402","1,900","5,313","3,053","5,126","2,625","5,392","4,070","1,444","2,994","3,318","3,087","2,237","2,004"
2020년06월_계_50~59세,"99,025","44,120","2,228","4,000","3,112","1,338","2,280","3,503","2,675","2,086","3,380","3,558","6,265","2,603","3,145","3,947","54,905","3,973","2,129","4,152","2,766","1,715","7,182","3,563","3,941","2,961","3,436","2,626","1,200","4,050","4,266","2,514","2,473","1,958"
2020년06월_계_60~69세,"68,721","33,389","1,489","3,101","2,575","1,067","1,976","2,915","1,677","1,815","2,778","2,870","4,286","1,833","2,312","2,695","35,332","2,729","1,415","2,981","1,966","1,223","5,036","2,301","2,306","1,436","1,812","1,205",772,"2,889","2,959","1,359","1,572","1,371"
2020년06월_계_70~79세,"31,373","16,262",710,"1,582","1,221",649,"1,071","1,362",702,841,"1,384","1,378","2,214",835,"1,288","1,025","15,111","1,051",622,"1,253",890,592,"2,398","1,121","1,005",570,768,587,290,"1,052",996,692,593,631
