카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년01월_계_총인구수,"55,192","15,177","2,389","2,706","1,719","17,911","2,531","2,519","1,563","2,798","3,297","1,194","1,388"
2020년01월_계_연령구간인구수,"55,192","15,177","2,389","2,706","1,719","17,911","2,531","2,519","1,563","2,798","3,297","1,194","1,388"
2020년01월_계_0~9세,"4,638",862,81,68,54,"3,146",157,60,22,56,66,24,42
2020년01월_계_10~19세,"4,342","1,310",113,86,62,"2,128",108,95,48,89,153,67,83
2020년01월_계_20~29세,"4,151","1,388",109,159,69,"1,592",196,129,64,106,219,48,72
2020년01월_계_30~39세,"5,631","1,247",104,124,85,"3,279",230,127,54,135,139,44,63
2020년01월_계_40~49세,"6,977","1,976",183,174,129,"3,261",238,203,115,219,270,96,113
2020년01월_계_50~59세,"8,151","2,596",379,441,264,"2,028",325,397,236,453,540,259,233
2020년01월_계_60~69세,"8,956","2,795",497,669,401,"1,217",451,579,379,656,705,309,298
2020년01월_계_70~79세,"6,910","1,817",497,504,345,749,429,516,357,590,653,182,271
2020년01월_계_80~89세,"4,777","1,013",383,424,286,448,345,366,259,436,493,142,182
2020년01월_계_90~99세,624,167,39,52,24,61,50,43,28,54,56,22,28
2020년01월_계_100세 이상,35,6,4,5,0,2,2,4,1,4,3,1,3
2020년01월_남_총인구수,"27,066","7,505","1,189","1,332",836,"8,743","1,233","1,231",752,"1,389","1,576",588,692
2020년01월_남_연령구간인구수,"27,066","7,505","1,189","1,332",836,"8,743","1,233","1,231",752,"1,389","1,576",588,692
2020년01월_남_0~9세,"2,337",432,45,36,25,"1,578",82,28,7,32,38,12,22
2020년01월_남_10~19세,"2,319",744,62,44,39,"1,094",60,50,27,43,79,36,41
2020년01월_남_20~29세,"2,321",807,64,98,37,818,119,75,43,66,127,25,42
2020년01월_남_30~39세,"2,803",637,59,72,39,"1,525",124,76,31,88,90,21,41
2020년01월_남_40~49세,"3,856","1,081",116,115,87,"1,644",158,136,84,148,164,56,67
2020년01월_남_50~59세,"4,259","1,264",228,242,162,"1,024",190,208,134,260,285,131,131
2020년01월_남_60~69세,"4,376","1,314",257,344,204,577,203,281,187,334,345,176,154
2020년01월_남_70~79세,"3,057",833,220,214,149,333,182,226,151,274,267,89,119
2020년01월_남_80~89세,"1,610",359,129,156,86,137,105,142,84,137,171,36,68
2020년01월_남_90~99세,124,33,8,10,8,13,10,9,4,6,10,6,7
2020년01월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년01월_여_총인구수,"28,126","7,672","1,200","1,374",883,"9,168","1,298","1,288",811,"1,409","1,721",606,696
2020년01월_여_연령구간인구수,"28,126","7,672","1,200","1,374",883,"9,168","1,298","1,288",811,"1,409","1,721",606,696
2020년01월_여_0~9세,"2,301",430,36,32,29,"1,568",75,32,15,24,28,12,20
2020년01월_여_10~19세,"2,023",566,51,42,23,"1,034",48,45,21,46,74,31,42
2020년01월_여_20~29세,"1,830",581,45,61,32,774,77,54,21,40,92,23,30
2020년01월_여_30~39세,"2,828",610,45,52,46,"1,754",106,51,23,47,49,23,22
2020년01월_여_40~49세,"3,121",895,67,59,42,"1,617",80,67,31,71,106,40,46
2020년01월_여_50~59세,"3,892","1,332",151,199,102,"1,004",135,189,102,193,255,128,102
2020년01월_여_60~69세,"4,580","1,481",240,325,197,640,248,298,192,322,360,133,144
2020년01월_여_70~79세,"3,853",984,277,290,196,416,247,290,206,316,386,93,152
2020년01월_여_80~89세,"3,167",654,254,268,200,311,240,224,175,299,322,106,114
2020년01월_여_90~99세,500,134,31,42,16,48,40,34,24,48,46,16,21
2020년01월_여_100세 이상,31,5,3,4,0,2,2,4,1,3,3,1,3
