,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년10월_계_총인구수,"48,776","14,053","2,893","6,674",711,"2,757","2,567","1,761","6,501","7,536","1,284","2,039"
2020년10월_계_연령구간인구수,"48,776","14,053","2,893","6,674",711,"2,757","2,567","1,761","6,501","7,536","1,284","2,039"
2020년10월_계_0~9세,"2,946","1,099",64,794,6,125,53,46,322,368,23,46
2020년10월_계_10~19세,"3,792","1,650",272,455,28,120,95,62,401,571,42,96
2020년10월_계_20~29세,"4,518","1,564",182,746,49,204,190,116,696,635,43,93
2020년10월_계_30~39세,"4,314","1,408",154,"1,132",26,170,117,63,572,546,44,82
2020년10월_계_40~49세,"6,306","2,360",242,946,64,294,160,152,849,947,122,170
2020년10월_계_50~59세,"8,627","2,415",464,"1,021",145,489,453,277,"1,283","1,432",294,354
2020년10월_계_60~69세,"8,099","1,693",542,781,146,557,570,375,"1,176","1,532",307,420
2020년10월_계_70~79세,"5,718","1,093",525,459,129,404,457,346,718,988,226,373
2020년10월_계_80~89세,"3,799",652,378,293,103,332,390,281,424,441,162,343
2020년10월_계_90~99세,640,117,68,43,15,61,81,43,57,75,19,61
2020년10월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년10월_남_총인구수,"24,419","7,079","1,413","3,506",370,"1,375","1,209",855,"3,333","3,693",629,957
2020년10월_남_연령구간인구수,"24,419","7,079","1,413","3,506",370,"1,375","1,209",855,"3,333","3,693",629,957
2020년10월_남_0~9세,"1,500",583,36,394,4,66,25,20,155,185,12,20
2020년10월_남_10~19세,"2,060",859,204,247,12,61,42,35,221,307,22,50
2020년10월_남_20~29세,"2,667",889,105,442,31,125,126,71,427,371,25,55
2020년10월_남_30~39세,"2,352",728,92,609,18,98,72,39,329,287,28,52
2020년10월_남_40~49세,"3,451","1,188",140,542,46,178,90,79,489,521,62,116
2020년10월_남_50~59세,"4,667","1,287",254,583,95,273,250,163,682,718,161,201
2020년10월_남_60~69세,"3,987",836,241,388,79,292,280,192,596,717,165,201
2020년10월_남_70~79세,"2,482",465,210,218,51,162,197,153,316,443,100,167
2020년10월_남_80~89세,"1,147",226,119,81,33,109,115,95,105,134,43,87
2020년10월_남_90~99세,104,18,12,2,1,11,12,8,12,10,10,8
2020년10월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년10월_여_총인구수,"24,357","6,974","1,480","3,168",341,"1,382","1,358",906,"3,168","3,843",655,"1,082"
2020년10월_여_연령구간인구수,"24,357","6,974","1,480","3,168",341,"1,382","1,358",906,"3,168","3,843",655,"1,082"
2020년10월_여_0~9세,"1,446",516,28,400,2,59,28,26,167,183,11,26
2020년10월_여_10~19세,"1,732",791,68,208,16,59,53,27,180,264,20,46
2020년10월_여_20~29세,"1,851",675,77,304,18,79,64,45,269,264,18,38
2020년10월_여_30~39세,"1,962",680,62,523,8,72,45,24,243,259,16,30
2020년10월_여_40~49세,"2,855","1,172",102,404,18,116,70,73,360,426,60,54
2020년10월_여_50~59세,"3,960","1,128",210,438,50,216,203,114,601,714,133,153
2020년10월_여_60~69세,"4,112",857,301,393,67,265,290,183,580,815,142,219
2020년10월_여_70~79세,"3,236",628,315,241,78,242,260,193,402,545,126,206
2020년10월_여_80~89세,"2,652",426,259,212,70,223,275,186,319,307,119,256
2020년10월_여_90~99세,536,99,56,41,14,50,69,35,45,65,9,53
2020년10월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
