,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년11월_계_총인구수,"418,014","16,900","15,568","16,222","20,008","22,858","10,987","19,811","18,030","11,927","14,718","23,905","10,915","10,995","16,281","12,604","14,069","21,969","18,813","11,366","17,189","30,788","28,741","33,350"
2021년11월_계_연령구간인구수,"418,014","16,900","15,568","16,222","20,008","22,858","10,987","19,811","18,030","11,927","14,718","23,905","10,915","10,995","16,281","12,604","14,069","21,969","18,813","11,366","17,189","30,788","28,741","33,350"
2021년11월_계_0~9세,"28,607","1,633","1,004","1,866","1,619","1,726",483,"1,238","1,150",980,788,"1,975",519,699,938,949,840,909,"1,014",340,"1,247","2,113","2,272","2,305"
2021년11월_계_10~19세,"49,470","2,203","1,779","2,035","4,506","2,367","1,062","3,816","2,147","1,700","1,376","4,017",814,703,"1,242",962,"1,109","1,738","1,759",599,"1,859","4,502","3,192","3,983"
2021년11월_계_20~29세,"53,173","1,899","2,220","2,027","1,937","2,895","1,761","2,469","2,082","1,253","1,992","2,681","1,703","1,394","1,979","1,161","2,142","3,156","2,445","1,250","2,073","4,178","3,861","4,615"
2021년11월_계_30~39세,"41,887","1,895","1,958","1,990","1,282","2,300","1,166","1,272","1,537","1,036","1,410","1,833","1,345","1,422","1,894","1,452","1,899","2,204","1,828",910,"1,787","2,779","3,318","3,370"
2021년11월_계_40~49세,"70,232","3,116","2,617","3,204","4,956","3,548","1,560","4,287","2,976","2,323","2,074","4,681","1,701","1,769","2,415","1,862","2,213","2,971","2,726","1,230","2,792","5,325","4,587","5,299"
2021년11월_계_50~59세,"74,840","2,811","2,693","2,649","3,031","4,080","2,060","3,513","3,200","1,887","2,889","4,265","1,887","1,888","2,788","2,044","2,738","4,143","3,561","2,080","3,120","5,782","5,071","6,660"
2021년11월_계_60~69세,"54,154","1,696","1,812","1,334","1,412","3,142","1,567","1,712","2,318","1,444","2,208","2,542","1,519","1,671","2,707","2,196","1,854","3,588","3,053","2,448","2,659","3,599","3,667","4,006"
2021년11월_계_70~79세,"29,040","1,059",982,746,823,"1,760",832,985,"1,619",860,"1,212","1,214",974,947,"1,498","1,320",835,"2,076","1,482","1,556","1,112","1,551","1,723","1,874"
2021년11월_계_80~89세,"14,589",525,448,326,385,916,447,459,879,399,677,597,407,445,698,566,386,"1,037",842,839,468,847,902,"1,094"
