,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년08월_계_총인구수,"404,360","14,627","14,320","17,206","17,130","17,994","7,607","48,266","31,535","19,283","23,576","26,738","20,735","17,417","9,058","14,226","17,612","22,843","13,154","21,632","15,650","13,751"
2020년08월_계_연령구간인구수,"404,360","14,627","14,320","17,206","17,130","17,994","7,607","48,266","31,535","19,283","23,576","26,738","20,735","17,417","9,058","14,226","17,612","22,843","13,154","21,632","15,650","13,751"
2020년08월_계_0~9세,"27,631","1,171","1,102","1,047",666,"1,363",310,"4,305","2,265","1,238","1,747","2,212","1,364",969,500,623,866,"2,104",619,"1,353","1,071",736
2020년08월_계_10~19세,"31,999",934,874,"1,402",990,"1,349",386,"4,948","3,505","1,830","1,584","2,046",911,"1,134",685,885,"1,202","1,843","1,017","1,959","1,332","1,183"
2020년08월_계_20~29세,"57,195","1,891","2,088","2,207","3,806","2,676",854,"6,931","4,166","2,457","3,328","3,425","4,336","2,190","1,208","1,702","2,543","2,902","1,592","2,924","2,109","1,860"
2020년08월_계_30~39세,"55,859","2,194","2,418","2,262","1,804","2,858",873,"6,641","3,337","2,277","3,689","4,327","4,365","2,181","1,043","1,620","2,410","3,615","1,461","2,606","1,987","1,891"
2020년08월_계_40~49세,"63,581","2,181","2,099","2,577","2,125","2,674","1,037","8,455","5,598","3,040","3,609","4,122","3,150","2,449","1,394","1,949","2,691","3,948","1,981","3,405","2,311","2,786"
2020년08월_계_50~59세,"67,547","2,415","2,269","2,878","2,670","2,722","1,304","7,836","5,574","3,386","3,800","4,253","3,133","3,037","1,543","2,429","3,117","3,438","2,384","3,991","2,821","2,547"
2020년08월_계_60~69세,"54,673","2,027","1,822","2,474","2,509","2,301","1,401","5,231","4,037","2,649","3,119","3,616","2,104","2,867","1,397","2,573","2,596","2,795","2,179","3,039","2,350","1,587"
2020년08월_계_70~79세,"31,149","1,220","1,039","1,589","1,762","1,443",939,"2,670","2,130","1,599","1,846","1,866",944,"1,745",902,"1,696","1,451","1,447","1,293","1,630","1,128",810
