카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년04월_계_총인구수,"51,781","22,941","3,348","2,856","2,531","2,588","2,888","2,156","3,269","3,093","6,111"
2020년04월_계_연령구간인구수,"51,781","22,941","3,348","2,856","2,531","2,588","2,888","2,156","3,269","3,093","6,111"
2020년04월_계_0~9세,"2,712","1,750",97,75,71,135,90,60,75,87,272
2020년04월_계_10~19세,"4,429","2,507",168,111,86,143,427,179,226,147,435
2020년04월_계_20~29세,"4,062","2,192",236,179,113,136,167,102,198,220,519
2020년04월_계_30~39세,"3,994","2,298",219,174,121,170,130,88,150,193,451
2020년04월_계_40~49세,"6,391","3,587",310,238,211,263,239,185,346,307,705
2020년04월_계_50~59세,"9,247","3,754",628,509,442,447,461,443,642,630,"1,291"
2020년04월_계_60~69세,"9,412","3,266",710,719,589,567,546,437,673,706,"1,199"
2020년04월_계_70~79세,"6,765","2,344",529,450,461,416,438,376,577,469,705
2020년04월_계_80~89세,"4,207","1,092",378,359,390,285,357,250,342,285,469
2020년04월_계_90~99세,532,136,70,42,46,26,32,33,37,47,63
2020년04월_계_100세 이상,30,15,3,0,1,0,1,3,3,2,2
2020년04월_남_총인구수,"26,064","11,280","1,714","1,486","1,255","1,301","1,451","1,108","1,651","1,634","3,184"
2020년04월_남_연령구간인구수,"26,064","11,280","1,714","1,486","1,255","1,301","1,451","1,108","1,651","1,634","3,184"
2020년04월_남_0~9세,"1,384",865,59,42,34,63,52,35,46,48,140
2020년04월_남_10~19세,"2,313","1,286",99,68,41,77,211,92,124,85,230
2020년04월_남_20~29세,"2,339","1,235",142,112,65,85,101,69,105,133,292
2020년04월_남_30~39세,"2,101","1,170",124,102,68,87,64,42,83,97,264
2020년04월_남_40~49세,"3,574","1,876",179,154,149,164,147,116,203,192,394
2020년04월_남_50~59세,"5,049","1,917",362,290,259,264,260,256,366,358,717
2020년04월_남_60~69세,"4,744","1,534",364,383,296,280,291,240,336,374,646
2020년04월_남_70~79세,"3,016",989,235,212,209,183,199,162,264,232,331
2020년04월_남_80~89세,"1,413",377,134,110,125,94,117,89,113,102,152
2020년04월_남_90~99세,122,27,15,13,9,4,9,7,9,12,17
2020년04월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년04월_여_총인구수,"25,717","11,661","1,634","1,370","1,276","1,287","1,437","1,048","1,618","1,459","2,927"
2020년04월_여_연령구간인구수,"25,717","11,661","1,634","1,370","1,276","1,287","1,437","1,048","1,618","1,459","2,927"
2020년04월_여_0~9세,"1,328",885,38,33,37,72,38,25,29,39,132
2020년04월_여_10~19세,"2,116","1,221",69,43,45,66,216,87,102,62,205
2020년04월_여_20~29세,"1,723",957,94,67,48,51,66,33,93,87,227
2020년04월_여_30~39세,"1,893","1,128",95,72,53,83,66,46,67,96,187
2020년04월_여_40~49세,"2,817","1,711",131,84,62,99,92,69,143,115,311
2020년04월_여_50~59세,"4,198","1,837",266,219,183,183,201,187,276,272,574
2020년04월_여_60~69세,"4,668","1,732",346,336,293,287,255,197,337,332,553
2020년04월_여_70~79세,"3,749","1,355",294,238,252,233,239,214,313,237,374
2020년04월_여_80~89세,"2,794",715,244,249,265,191,240,161,229,183,317
2020년04월_여_90~99세,410,109,55,29,37,22,23,26,28,35,46
2020년04월_여_100세 이상,21,11,2,0,1,0,1,3,1,1,1
