,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년10월_계_총인구수,"282,676","2,750","4,649","18,390","31,991","12,133","2,976","1,825","3,203","1,516",904,"3,279","5,531","2,825","3,775","6,414","25,389","6,382","44,665","7,773","8,950","2,893","2,425","3,116","18,513","40,607","19,802"
2020년10월_계_연령구간인구수,"282,676","2,750","4,649","18,390","31,991","12,133","2,976","1,825","3,203","1,516",904,"3,279","5,531","2,825","3,775","6,414","25,389","6,382","44,665","7,773","8,950","2,893","2,425","3,116","18,513","40,607","19,802"
2020년10월_계_0~9세,"23,663",54,128,"1,521","5,831",810,60,35,61,17,26,74,142,53,148,372,"1,932",341,"3,454",393,373,115,53,94,"2,161","3,568","1,847"
2020년10월_계_10~19세,"30,460",131,218,"2,595","4,839","1,013",100,71,139,37,39,157,288,167,267,551,"2,731",565,"5,427",607,691,194,108,203,"1,728","4,909","2,685"
2020년10월_계_20~29세,"37,656",190,429,"3,191","3,130","1,359",163,124,195,82,55,235,424,265,369,"1,054","3,938",774,"6,704",930,"1,139",348,281,376,"2,188","6,419","3,294"
2020년10월_계_30~39세,"33,317",119,263,"2,213","6,575","1,143",128,100,160,64,34,149,267,153,318,761,"2,872",649,"5,062",780,777,255,210,269,"2,628","4,983","2,385"
2020년10월_계_40~49세,"43,767",235,479,"3,408","6,629","1,706",221,140,222,120,59,251,537,283,434,804,"3,761",908,"7,148",975,"1,106",319,294,435,"2,878","6,903","3,512"
2020년10월_계_50~59세,"49,249",560,921,"3,488","3,234","2,222",488,324,551,294,149,556,974,551,576,976,"4,537","1,168","8,663","1,328","1,733",474,475,541,"3,041","7,609","3,816"
2020년10월_계_60~69세,"33,915",543,902,"1,192","1,206","1,928",638,419,687,303,197,742,"1,108",576,776,885,"3,343","1,071","5,279","1,372","1,590",528,527,569,"2,091","3,889","1,554"
2020년10월_계_70~79세,"18,950",482,721,480,370,"1,187",646,338,645,321,177,645,936,448,573,660,"1,496",595,"1,992",953,"1,070",442,306,430,"1,110","1,468",459
2020년10월_계_80~89세,"10,056",377,512,273,148,666,456,231,476,240,132,408,750,271,267,313,670,261,801,372,412,183,141,170,580,731,215
2020년10월_계_90~99세,"1,580",59,75,27,28,98,75,42,67,32,35,59,101,53,43,37,102,47,126,62,59,35,28,24,105,126,35
2020년10월_계_100세 이상,63,0,1,2,1,1,1,1,0,6,1,3,4,5,4,1,7,3,9,1,0,0,2,5,3,2,0
2020년10월_남_총인구수,"141,053","1,362","2,400","9,127","16,269","6,074","1,489",862,"1,617",781,438,"1,595","2,762","1,444","1,854","3,217","12,464","3,228","22,269","3,889","4,525","1,406","1,258","1,589","9,305","20,058","9,771"
2020년10월_남_연령구간인구수,"141,053","1,362","2,400","9,127","16,269","6,074","1,489",862,"1,617",781,438,"1,595","2,762","1,444","1,854","3,217","12,464","3,228","22,269","3,889","4,525","1,406","1,258","1,589","9,305","20,058","9,771"
2020년10월_남_0~9세,"12,133",35,62,767,"2,995",420,29,16,34,12,16,38,72,35,68,191,993,184,"1,711",209,199,61,30,48,"1,140","1,832",936
2020년10월_남_10~19세,"15,930",64,121,"1,393","2,575",533,53,25,83,21,20,84,149,100,148,304,"1,372",296,"2,827",331,369,94,61,111,895,"2,547","1,354"
2020년10월_남_20~29세,"20,413",118,248,"1,713","1,620",724,94,57,114,48,33,130,250,162,209,569,"2,141",435,"3,704",511,641,186,140,226,"1,197","3,357","1,786"
2020년10월_남_30~39세,"17,097",60,171,"1,112","3,228",607,83,58,111,47,21,82,154,91,179,416,"1,463",355,"2,625",421,415,136,127,153,"1,328","2,492","1,162"
2020년10월_남_40~49세,"21,571",144,303,"1,511","3,291",899,152,91,159,83,33,155,335,154,234,412,"1,822",450,"3,362",543,617,169,187,229,"1,467","3,219","1,550"
2020년10월_남_50~59세,"24,857",329,543,"1,748","1,743","1,170",296,180,319,180,95,296,547,306,293,488,"2,093",616,"4,157",631,882,224,257,285,"1,522","3,748","1,909"
2020년10월_남_60~69세,"17,010",295,454,611,631,978,329,228,340,181,106,380,594,303,361,411,"1,632",504,"2,652",648,737,253,245,276,"1,042","2,004",815
2020년10월_남_70~79세,"8,464",194,323,193,151,536,293,135,288,131,78,284,410,194,271,303,702,278,933,416,494,188,140,192,516,631,190
2020년10월_남_80~89세,"3,253",107,165,74,35,187,139,64,155,70,32,135,231,88,80,115,225,99,267,166,164,87,63,59,181,201,64
2020년10월_남_90~99세,317,16,10,5,0,20,21,8,14,5,3,10,19,11,11,8,20,11,30,13,7,8,8,10,17,27,5
2020년10월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"141,623","1,388","2,249","9,263","15,722","6,059","1,487",963,"1,586",735,466,"1,684","2,769","1,381","1,921","3,197","12,925","3,154","22,396","3,884","4,425","1,487","1,167","1,527","9,208","20,549","10,031"
2020년10월_여_연령구간인구수,"141,623","1,388","2,249","9,263","15,722","6,059","1,487",963,"1,586",735,466,"1,684","2,769","1,381","1,921","3,197","12,925","3,154","22,396","3,884","4,425","1,487","1,167","1,527","9,208","20,549","10,031"
2020년10월_여_0~9세,"11,530",19,66,754,"2,836",390,31,19,27,5,10,36,70,18,80,181,939,157,"1,743",184,174,54,23,46,"1,021","1,736",911
2020년10월_여_10~19세,"14,530",67,97,"1,202","2,264",480,47,46,56,16,19,73,139,67,119,247,"1,359",269,"2,600",276,322,100,47,92,833,"2,362","1,331"
2020년10월_여_20~29세,"17,243",72,181,"1,478","1,510",635,69,67,81,34,22,105,174,103,160,485,"1,797",339,"3,000",419,498,162,141,150,991,"3,062","1,508"
2020년10월_여_30~39세,"16,220",59,92,"1,101","3,347",536,45,42,49,17,13,67,113,62,139,345,"1,409",294,"2,437",359,362,119,83,116,"1,300","2,491","1,223"
2020년10월_여_40~49세,"22,196",91,176,"1,897","3,338",807,69,49,63,37,26,96,202,129,200,392,"1,939",458,"3,786",432,489,150,107,206,"1,411","3,684","1,962"
2020년10월_여_50~59세,"24,392",231,378,"1,740","1,491","1,052",192,144,232,114,54,260,427,245,283,488,"2,444",552,"4,506",697,851,250,218,256,"1,519","3,861","1,907"
2020년10월_여_60~69세,"16,905",248,448,581,575,950,309,191,347,122,91,362,514,273,415,474,"1,711",567,"2,627",724,853,275,282,293,"1,049","1,885",739
2020년10월_여_70~79세,"10,486",288,398,287,219,651,353,203,357,190,99,361,526,254,302,357,794,317,"1,059",537,576,254,166,238,594,837,269
2020년10월_여_80~89세,"6,803",270,347,199,113,479,317,167,321,170,100,273,519,183,187,198,445,162,534,206,248,96,78,111,399,530,151
2020년10월_여_90~99세,"1,263",43,65,22,28,78,54,34,53,27,32,49,82,42,32,29,82,36,96,49,52,27,20,14,88,99,30
2020년10월_여_100세 이상,55,0,1,2,1,1,1,1,0,3,0,2,3,5,4,1,6,3,8,1,0,0,2,5,3,2,0
