,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년09월_계_총인구수,"214,345","6,105","28,421","11,175","8,976","13,328","22,009","13,923","15,730","23,578","13,481","29,293","28,326"
2020년09월_계_연령구간인구수,"214,345","6,105","28,421","11,175","8,976","13,328","22,009","13,923","15,730","23,578","13,481","29,293","28,326"
2020년09월_계_0~9세,"12,802",228,"1,656",321,515,754,"1,121",537,982,"1,526",768,"1,999","2,395"
2020년09월_계_10~19세,"15,407",315,"2,045",519,673,955,"1,094",728,"1,152","1,860","1,082","2,322","2,662"
2020년09월_계_20~29세,"29,189",668,"3,690",902,"1,068","1,770","3,968","1,749","2,206","4,108","1,835","3,512","3,713"
2020년09월_계_30~39세,"25,748",607,"3,324",862,"1,027","1,512","3,206","1,646","1,873","3,086","1,529","3,570","3,506"
2020년09월_계_40~49세,"29,778",756,"3,833","1,328","1,243","1,726","2,748","1,826","2,044","3,467","1,834","4,361","4,612"
2020년09월_계_50~59세,"41,739","1,336","5,622","2,230","1,845","2,808","4,295","2,907","3,221","3,996","2,501","5,513","5,465"
2020년09월_계_60~69세,"36,253","1,261","5,111","2,522","1,475","2,415","3,576","2,695","2,689","3,272","2,350","5,006","3,881"
2020년09월_계_70~79세,"16,954",690,"2,290","1,678",812,"1,025","1,517","1,362","1,139","1,619","1,105","2,183","1,534"
2020년09월_계_80~89세,"5,755",218,757,732,283,317,423,413,375,572,432,736,497
2020년09월_계_90~99세,649,21,77,77,31,44,47,52,46,65,45,85,59
2020년09월_계_100세 이상,71,5,16,4,4,2,14,8,3,7,0,6,2
2020년09월_남_총인구수,"108,367","3,285","14,275","5,329","4,596","6,764","11,410","7,377","8,046","11,821","6,613","14,664","14,187"
2020년09월_남_연령구간인구수,"108,367","3,285","14,275","5,329","4,596","6,764","11,410","7,377","8,046","11,821","6,613","14,664","14,187"
2020년09월_남_0~9세,"6,498",122,808,160,256,389,566,280,505,759,388,"1,035","1,230"
2020년09월_남_10~19세,"8,077",168,"1,080",277,352,496,583,386,609,961,567,"1,235","1,363"
2020년09월_남_20~29세,"15,659",389,"2,039",516,622,950,"1,977",940,"1,208","2,102",961,"1,919","2,036"
2020년09월_남_30~39세,"13,812",334,"1,786",477,549,801,"1,762",975,"1,008","1,652",826,"1,867","1,775"
2020년09월_남_40~49세,"15,603",449,"1,991",780,666,911,"1,498","1,047","1,028","1,816",928,"2,223","2,266"
2020년09월_남_50~59세,"20,815",750,"2,707","1,168",989,"1,369","2,246","1,561","1,584","1,904","1,138","2,691","2,708"
2020년09월_남_60~69세,"18,018",679,"2,492","1,129",696,"1,225","1,872","1,398","1,400","1,637","1,122","2,459","1,909"
2020년09월_남_70~79세,"7,874",320,"1,100",620,366,507,736,627,568,782,518,981,749
2020년09월_남_80~89세,"1,899",72,259,188,93,110,165,154,130,196,156,231,145
2020년09월_남_90~99세,103,2,13,13,6,5,4,7,5,11,9,22,6
2020년09월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년09월_여_총인구수,"105,978","2,820","14,146","5,846","4,380","6,564","10,599","6,546","7,684","11,757","6,868","14,629","14,139"
2020년09월_여_연령구간인구수,"105,978","2,820","14,146","5,846","4,380","6,564","10,599","6,546","7,684","11,757","6,868","14,629","14,139"
2020년09월_여_0~9세,"6,304",106,848,161,259,365,555,257,477,767,380,964,"1,165"
2020년09월_여_10~19세,"7,330",147,965,242,321,459,511,342,543,899,515,"1,087","1,299"
2020년09월_여_20~29세,"13,530",279,"1,651",386,446,820,"1,991",809,998,"2,006",874,"1,593","1,677"
2020년09월_여_30~39세,"11,936",273,"1,538",385,478,711,"1,444",671,865,"1,434",703,"1,703","1,731"
2020년09월_여_40~49세,"14,175",307,"1,842",548,577,815,"1,250",779,"1,016","1,651",906,"2,138","2,346"
2020년09월_여_50~59세,"20,924",586,"2,915","1,062",856,"1,439","2,049","1,346","1,637","2,092","1,363","2,822","2,757"
2020년09월_여_60~69세,"18,235",582,"2,619","1,393",779,"1,190","1,704","1,297","1,289","1,635","1,228","2,547","1,972"
2020년09월_여_70~79세,"9,080",370,"1,190","1,058",446,518,781,735,571,837,587,"1,202",785
2020년09월_여_80~89세,"3,856",146,498,544,190,207,258,259,245,376,276,505,352
2020년09월_여_90~99세,546,19,64,64,25,39,43,45,41,54,36,63,53
2020년09월_여_100세 이상,62,5,16,3,3,1,13,6,2,6,0,5,2
