카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년06월_계_총인구수,"87,916","4,829","5,748","12,562","6,080","4,163","9,970","3,975","5,395","10,890","11,705","8,184","4,415"
2021년06월_계_연령구간인구수,"87,916","4,829","5,748","12,562","6,080","4,163","9,970","3,975","5,395","10,890","11,705","8,184","4,415"
2021년06월_계_0~9세,"4,022",155,143,"1,148",152,191,398,94,157,441,341,432,370
2021년06월_계_10~19세,"4,950",273,261,822,394,305,542,204,330,585,605,386,243
2021년06월_계_20~29세,"10,348",683,625,"1,848",618,486,"1,170",355,564,"1,297","1,280",993,429
2021년06월_계_30~39세,"10,409",517,567,"2,597",477,391,"1,177",305,416,"1,102","1,091","1,102",667
2021년06월_계_40~49세,"11,634",703,701,"1,943",786,571,"1,234",440,652,"1,406","1,352","1,148",698
2021년06월_계_50~59세,"14,342",794,998,"1,721","1,015",681,"1,626",676,933,"1,830","2,025","1,459",584
2021년06월_계_60~69세,"16,129",857,"1,197","1,414","1,209",744,"1,920",822,"1,076","2,024","2,588","1,526",752
2021년06월_계_70~79세,"10,654",592,839,708,903,544,"1,263",707,839,"1,480","1,571",773,435
2021년06월_계_80~89세,"4,790",234,343,310,454,227,568,335,376,648,774,319,202
2021년06월_계_90~99세,573,21,64,49,61,20,56,37,52,64,76,40,33
2021년06월_계_100세 이상,65,0,10,2,11,3,16,0,0,13,2,6,2
2021년06월_남_총인구수,"43,012","2,444","2,842","6,121","2,962","2,025","4,743","1,961","2,565","5,291","5,764","4,124","2,170"
2021년06월_남_연령구간인구수,"43,012","2,444","2,842","6,121","2,962","2,025","4,743","1,961","2,565","5,291","5,764","4,124","2,170"
2021년06월_남_0~9세,"2,120",65,83,607,78,103,200,54,86,246,174,224,200
2021년06월_남_10~19세,"2,544",151,135,419,217,153,272,115,157,288,302,205,130
2021년06월_남_20~29세,"5,220",353,309,797,341,256,560,203,317,692,693,507,192
2021년06월_남_30~39세,"5,524",288,324,"1,293",279,213,637,174,229,579,600,571,337
2021년06월_남_40~49세,"6,242",394,398,"1,010",402,294,641,240,352,752,756,614,389
2021년06월_남_50~59세,"7,379",449,540,871,536,354,799,383,463,894,"1,040",758,292
2021년06월_남_60~69세,"7,591",391,548,676,564,326,878,405,466,963,"1,236",752,386
2021년06월_남_70~79세,"4,603",272,360,332,380,230,551,276,360,627,688,354,173
2021년06월_남_80~89세,"1,633",79,118,103,151,94,187,99,123,235,254,126,64
2021년06월_남_90~99세,137,2,22,12,11,2,15,12,12,12,20,11,6
2021년06월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년06월_여_총인구수,"44,904","2,385","2,906","6,441","3,118","2,138","5,227","2,014","2,830","5,599","5,941","4,060","2,245"
2021년06월_여_연령구간인구수,"44,904","2,385","2,906","6,441","3,118","2,138","5,227","2,014","2,830","5,599","5,941","4,060","2,245"
2021년06월_여_0~9세,"1,902",90,60,541,74,88,198,40,71,195,167,208,170
2021년06월_여_10~19세,"2,406",122,126,403,177,152,270,89,173,297,303,181,113
2021년06월_여_20~29세,"5,128",330,316,"1,051",277,230,610,152,247,605,587,486,237
2021년06월_여_30~39세,"4,885",229,243,"1,304",198,178,540,131,187,523,491,531,330
2021년06월_여_40~49세,"5,392",309,303,933,384,277,593,200,300,654,596,534,309
2021년06월_여_50~59세,"6,963",345,458,850,479,327,827,293,470,936,985,701,292
2021년06월_여_60~69세,"8,538",466,649,738,645,418,"1,042",417,610,"1,061","1,352",774,366
2021년06월_여_70~79세,"6,051",320,479,376,523,314,712,431,479,853,883,419,262
2021년06월_여_80~89세,"3,157",155,225,207,303,133,381,236,253,413,520,193,138
2021년06월_여_90~99세,436,19,42,37,50,18,41,25,40,52,56,29,27
2021년06월_여_100세 이상,46,0,5,1,8,3,13,0,0,10,1,4,1
