카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년03월_계_총인구수,"1,042,260","262,140","20,545","42,510","7,375","49,842","36,525","43,683","30,938","30,722","218,233","42,600","23,183","28,753","46,602","41,979","26,993","8,123","175,909","4,412","12,597","3,673","4,047","14,564",672,"32,509","11,646","15,459","9,634","11,291","14,749","20,402","7,151","13,103","193,295","66,263","11,055","7,723","16,893","6,578","11,669","32,356","9,684","8,100","9,489","9,947","3,538","192,683","17,718","8,999","5,274","11,538","7,694","17,422","8,608","21,743","10,325","26,338","12,377","6,579","38,068"
2020년03월_계_연령구간인구수,"1,042,260","262,140","20,545","42,510","7,375","49,842","36,525","43,683","30,938","30,722","218,233","42,600","23,183","28,753","46,602","41,979","26,993","8,123","175,909","4,412","12,597","3,673","4,047","14,564",672,"32,509","11,646","15,459","9,634","11,291","14,749","20,402","7,151","13,103","193,295","66,263","11,055","7,723","16,893","6,578","11,669","32,356","9,684","8,100","9,489","9,947","3,538","192,683","17,718","8,999","5,274","11,538","7,694","17,422","8,608","21,743","10,325","26,338","12,377","6,579","38,068"
2020년03월_계_0~9세,"86,780","22,073","1,317","6,619",280,"4,354","2,966","2,621","1,659","2,257","17,539","3,388","1,328","2,269","3,817","3,916","2,288",533,"12,883",127,"1,238",85,74,"2,344",30,"2,835",575,"1,046",456,569,"1,054","1,257",368,825,"13,994","5,625",472,335,"1,156",176,674,"3,292",691,326,498,573,176,"20,291","1,648",402,213,"1,131",603,"1,589",421,"2,594","1,142","3,773","1,788",589,"4,398"
2020년03월_계_10~19세,"102,190","24,223","2,013","3,456",442,"4,694","3,950","4,376","2,372","2,920","24,040","5,502","1,530","3,567","5,049","4,303","3,283",806,"14,036",174,"1,018",178,148,"1,190",32,"3,282",859,"1,427",844,994,"1,226","1,202",443,"1,019","18,878","8,520",676,631,"1,249",389,881,"3,557",659,523,702,849,242,"21,013","1,909",725,316,"1,059",755,"2,419",557,"2,274","1,225","3,165",901,722,"4,986"
2020년03월_계_20~29세,"132,557","36,420","2,388","4,029",703,"7,053","5,469","6,978","4,905","4,895","33,402","5,967","4,441","4,367","6,815","6,453","4,300","1,059","19,358",325,"1,136",311,276,"1,298",73,"4,253","1,662","1,722","1,188","1,292","1,475","2,110",674,"1,563","22,944","8,521","1,072",794,"1,873",665,"1,391","3,594","1,197","1,064","1,065","1,353",355,"20,433","2,180",893,530,"1,165",827,"2,206","1,006","2,444","1,144","2,357","1,270",599,"3,812"
2020년03월_계_30~39세,"138,260","35,766","1,946","8,332",674,"7,136","5,039","4,503","3,939","4,197","30,285","4,738","4,366","3,638","6,712","6,293","3,477","1,061","21,142",347,"1,670",228,187,"2,810",66,"4,117","1,271","1,680",937,"1,100","1,712","2,596",824,"1,597","22,699","7,250","1,110",724,"2,269",603,"1,452","4,313","1,435",881,991,"1,222",449,"28,368","2,396",770,429,"1,712",890,"2,248","1,087","3,464","1,433","4,412","2,501",754,"6,272"
2020년03월_계_40~49세,"169,841","41,408","3,371","6,746",870,"7,751","6,214","7,026","4,535","4,895","37,029","7,719","3,701","4,932","8,021","6,837","4,528","1,291","25,734",404,"1,991",356,336,"2,395",76,"5,091","1,508","2,374","1,323","1,557","2,203","3,112","1,027","1,981","30,907","11,984","1,509","1,047","2,342",795,"1,720","5,677","1,334","1,159","1,285","1,468",587,"34,763","3,023","1,289",635,"1,774","1,291","3,447","1,294","3,765","1,745","4,892","1,944","1,130","8,534"
2020년03월_계_50~59세,"188,379","50,850","4,003","6,132","1,410","9,657","7,355","9,552","6,439","6,302","44,097","8,500","4,285","6,161","9,268","8,530","5,886","1,467","29,935",837,"2,075",776,752,"1,935",123,"5,650","1,977","2,620","1,837","2,071","2,388","3,398","1,253","2,243","35,235","12,439","1,923","1,396","2,982","1,298","2,039","5,543","1,730","1,496","1,928","1,782",679,"28,262","2,282","1,444",962,"1,850","1,230","2,656","1,556","3,434","1,426","3,520","1,692","1,123","5,087"
2020년03월_계_60~69세,"134,127","32,157","2,982","4,378","1,517","5,908","3,807","5,584","4,574","3,407","21,863","4,599","2,418","2,679","4,720","3,917","2,384","1,146","28,988","1,116","1,942",856,968,"1,579",155,"4,414","2,018","2,351","1,687","2,073","2,595","3,671","1,366","2,197","28,761","7,150","2,284","1,566","2,875","1,419","2,144","4,056","1,516","1,603","1,847","1,666",635,"22,358","2,105","1,562","1,026","1,598","1,105","1,837","1,569","2,364","1,231","2,655","1,307",943,"3,056"
2020년03월_계_70~79세,"61,351","12,902","1,635","1,780",913,"2,302","1,174","2,114","1,728","1,256","6,649","1,508",766,726,"1,445","1,137",558,509,"16,083",694,"1,001",516,729,703,70,"2,055","1,182","1,494",892,"1,166","1,466","2,109",793,"1,213","14,245","3,318","1,398",874,"1,609",831,"1,014","1,675",827,797,833,777,292,"11,472","1,404","1,232",753,853,657,711,778,924,654,"1,059",617,443,"1,387"
