,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년02월_계_총인구수,"216,523","10,451","17,255","8,829","4,731","11,360","13,235","19,130","33,568","23,026","22,437","20,471","10,923","21,107"
2021년02월_계_연령구간인구수,"216,523","10,451","17,255","8,829","4,731","11,360","13,235","19,130","33,568","23,026","22,437","20,471","10,923","21,107"
2021년02월_계_0~9세,"16,337",442,"1,355",408,217,911,435,"1,315","3,388","1,067","1,485","2,018","1,317","1,979"
2021년02월_계_10~19세,"19,946",665,"1,302",603,311,"1,118",647,"1,575","3,657","2,036","2,280","1,917","1,276","2,559"
2021년02월_계_20~29세,"26,376","1,103","2,147","1,272",567,"1,479","1,565","2,327","3,808","3,169","2,918","2,243","1,309","2,469"
2021년02월_계_30~39세,"26,057","1,091","2,420","1,030",508,"1,597","1,302","2,339","4,320","2,050","2,315","2,814","1,679","2,592"
2021년02월_계_40~49세,"34,090","1,423","2,648","1,164",555,"1,807","1,610","2,808","5,948","3,373","3,315","3,386","1,819","4,234"
2021년02월_계_50~59세,"41,105","1,909","3,391","1,768",954,"2,065","2,598","3,518","5,840","5,068","4,745","3,656","1,973","3,620"
2021년02월_계_60~69세,"32,285","2,057","2,595","1,518",963,"1,444","2,869","3,130","4,317","3,708","3,472","2,903","1,038","2,271"
2021년02월_계_70~79세,"14,396","1,262","1,020",768,474,656,"1,526","1,440","1,669","1,774","1,389","1,080",361,977
2021년02월_계_80~89세,"5,231",435,329,265,158,245,592,613,539,715,454,410,129,347
2021년02월_계_90~99세,640,58,46,31,17,35,68,63,80,64,59,42,21,56
2021년02월_계_100세 이상,60,6,2,2,7,3,23,2,2,2,5,2,1,3
2021년02월_남_총인구수,"109,644","5,338","8,973","4,483","2,389","5,653","6,804","9,575","16,748","11,689","11,376","10,362","5,492","10,762"
2021년02월_남_연령구간인구수,"109,644","5,338","8,973","4,483","2,389","5,653","6,804","9,575","16,748","11,689","11,376","10,362","5,492","10,762"
2021년02월_남_0~9세,"8,436",226,692,223,130,444,230,707,"1,800",526,743,"1,020",673,"1,022"
2021년02월_남_10~19세,"10,650",343,680,320,164,601,334,849,"1,931","1,130","1,249","1,024",666,"1,359"
2021년02월_남_20~29세,"14,669",625,"1,183",673,313,810,890,"1,286","2,153","1,799","1,639","1,255",718,"1,325"
2021년02월_남_30~39세,"13,689",616,"1,330",585,297,851,784,"1,207","2,098","1,130","1,212","1,444",800,"1,335"
2021년02월_남_40~49세,"17,406",816,"1,426",607,291,879,899,"1,428","2,919","1,665","1,626","1,794",888,"2,168"
2021년02월_남_50~59세,"20,476","1,014","1,760",879,452,991,"1,321","1,733","2,751","2,547","2,371","1,774",997,"1,886"
2021년02월_남_60~69세,"15,733",977,"1,269",722,462,676,"1,448","1,512","2,113","1,825","1,682","1,418",536,"1,093"
2021년02월_남_70~79세,"6,625",550,501,375,212,317,656,619,789,819,669,496,158,464
2021년02월_남_80~89세,"1,837",160,126,93,59,77,222,218,183,232,179,133,51,104
2021년02월_남_90~99세,110,9,6,6,5,7,16,16,11,15,6,3,5,5
2021년02월_남_100세 이상,13,2,0,0,4,0,4,0,0,1,0,1,0,1
2021년02월_여_총인구수,"106,879","5,113","8,282","4,346","2,342","5,707","6,431","9,555","16,820","11,337","11,061","10,109","5,431","10,345"
2021년02월_여_연령구간인구수,"106,879","5,113","8,282","4,346","2,342","5,707","6,431","9,555","16,820","11,337","11,061","10,109","5,431","10,345"
2021년02월_여_0~9세,"7,901",216,663,185,87,467,205,608,"1,588",541,742,998,644,957
2021년02월_여_10~19세,"9,296",322,622,283,147,517,313,726,"1,726",906,"1,031",893,610,"1,200"
2021년02월_여_20~29세,"11,707",478,964,599,254,669,675,"1,041","1,655","1,370","1,279",988,591,"1,144"
2021년02월_여_30~39세,"12,368",475,"1,090",445,211,746,518,"1,132","2,222",920,"1,103","1,370",879,"1,257"
2021년02월_여_40~49세,"16,684",607,"1,222",557,264,928,711,"1,380","3,029","1,708","1,689","1,592",931,"2,066"
2021년02월_여_50~59세,"20,629",895,"1,631",889,502,"1,074","1,277","1,785","3,089","2,521","2,374","1,882",976,"1,734"
2021년02월_여_60~69세,"16,552","1,080","1,326",796,501,768,"1,421","1,618","2,204","1,883","1,790","1,485",502,"1,178"
2021년02월_여_70~79세,"7,771",712,519,393,262,339,870,821,880,955,720,584,203,513
2021년02월_여_80~89세,"3,394",275,203,172,99,168,370,395,356,483,275,277,78,243
2021년02월_여_90~99세,530,49,40,25,12,28,52,47,69,49,53,39,16,51
2021년02월_여_100세 이상,47,4,2,2,3,3,19,2,2,1,5,1,1,2
