,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년01월_계_총인구수,"382,578","112,327","46,215","23,007","9,407","15,133","1,507","2,605","25,043","22,162","18,391","39,139","33,648","33,994"
2021년01월_계_연령구간인구수,"382,578","112,327","46,215","23,007","9,407","15,133","1,507","2,605","25,043","22,162","18,391","39,139","33,648","33,994"
2021년01월_계_0~9세,"34,957","11,232","3,764","1,394",467,"1,079",43,145,"1,995","1,694","1,951","3,104","2,711","5,378"
2021년01월_계_10~19세,"33,621","8,730","4,716","1,814",641,"1,219",63,203,"2,270","2,026","1,653","3,646","2,680","3,960"
2021년01월_계_20~29세,"45,203","13,533","5,551","2,824",999,"1,164",111,185,"3,356","2,815","2,371","4,999","4,255","3,040"
2021년01월_계_30~39세,"57,679","19,993","6,226","2,777",995,"1,456",92,222,"3,549","2,980","2,929","5,316","4,918","6,226"
2021년01월_계_40~49세,"66,904","20,017","8,243","3,565","1,357","2,424",156,360,"4,125","3,768","3,218","6,812","5,729","7,130"
2021년01월_계_50~59세,"63,681","17,274","7,951","4,563","1,831","2,549",270,494,"4,406","3,968","3,039","7,335","5,986","4,015"
2021년01월_계_60~69세,"48,609","13,068","5,833","3,494","1,781","2,951",385,510,"3,137","3,000","2,082","5,061","4,679","2,628"
2021년01월_계_70~79세,"22,150","5,974","2,675","1,640",830,"1,580",230,299,"1,520","1,373",840,"2,051","1,951","1,187"
2021년01월_계_80~89세,"8,403","2,150","1,090",811,425,605,138,155,589,462,264,709,635,370
2021년01월_계_90~99세,"1,267",336,161,105,72,99,19,31,82,72,40,89,102,59
2021년01월_계_100세 이상,104,20,5,20,9,7,0,1,14,4,4,17,2,1
2021년01월_남_총인구수,"195,548","56,856","24,020","12,287","5,175","7,718",783,"1,393","12,904","11,151","9,170","19,915","17,307","16,869"
2021년01월_남_연령구간인구수,"195,548","56,856","24,020","12,287","5,175","7,718",783,"1,393","12,904","11,151","9,170","19,915","17,307","16,869"
2021년01월_남_0~9세,"17,955","5,823","1,959",710,246,536,23,73,"1,051",830,"1,010","1,589","1,393","2,712"
2021년01월_남_10~19세,"17,183","4,472","2,372",962,337,659,35,106,"1,169",988,802,"1,846","1,383","2,052"
2021년01월_남_20~29세,"23,946","7,080","2,959","1,576",581,647,60,96,"1,817","1,478","1,219","2,644","2,271","1,518"
2021년01월_남_30~39세,"30,013","10,394","3,273","1,559",575,752,51,123,"1,857","1,587","1,459","2,857","2,593","2,933"
2021년01월_남_40~49세,"35,375","10,653","4,387","1,921",817,"1,335",83,202,"2,156","1,961","1,652","3,501","3,073","3,634"
2021년01월_남_50~59세,"32,482","8,374","4,271","2,548","1,028","1,316",147,286,"2,353","1,987","1,460","3,652","3,023","2,037"
2021년01월_남_60~69세,"24,389","6,327","3,068","1,873",984,"1,426",210,285,"1,578","1,492","1,044","2,521","2,340","1,241"
2021년01월_남_70~79세,"10,685","2,824","1,291",798,428,787,107,146,702,652,404,998,970,578
2021년01월_남_80~89세,"3,214",821,408,308,158,235,60,71,201,160,116,279,242,155
2021년01월_남_90~99세,279,82,31,25,19,23,7,5,14,16,4,25,19,9
2021년01월_남_100세 이상,27,6,1,7,2,2,0,0,6,0,0,3,0,0
2021년01월_여_총인구수,"187,030","55,471","22,195","10,720","4,232","7,415",724,"1,212","12,139","11,011","9,221","19,224","16,341","17,125"
2021년01월_여_연령구간인구수,"187,030","55,471","22,195","10,720","4,232","7,415",724,"1,212","12,139","11,011","9,221","19,224","16,341","17,125"
2021년01월_여_0~9세,"17,002","5,409","1,805",684,221,543,20,72,944,864,941,"1,515","1,318","2,666"
2021년01월_여_10~19세,"16,438","4,258","2,344",852,304,560,28,97,"1,101","1,038",851,"1,800","1,297","1,908"
2021년01월_여_20~29세,"21,257","6,453","2,592","1,248",418,517,51,89,"1,539","1,337","1,152","2,355","1,984","1,522"
2021년01월_여_30~39세,"27,666","9,599","2,953","1,218",420,704,41,99,"1,692","1,393","1,470","2,459","2,325","3,293"
2021년01월_여_40~49세,"31,529","9,364","3,856","1,644",540,"1,089",73,158,"1,969","1,807","1,566","3,311","2,656","3,496"
2021년01월_여_50~59세,"31,199","8,900","3,680","2,015",803,"1,233",123,208,"2,053","1,981","1,579","3,683","2,963","1,978"
2021년01월_여_60~69세,"24,220","6,741","2,765","1,621",797,"1,525",175,225,"1,559","1,508","1,038","2,540","2,339","1,387"
2021년01월_여_70~79세,"11,465","3,150","1,384",842,402,793,123,153,818,721,436,"1,053",981,609
2021년01월_여_80~89세,"5,189","1,329",682,503,267,370,78,84,388,302,148,430,393,215
2021년01월_여_90~99세,988,254,130,80,53,76,12,26,68,56,36,64,83,50
2021년01월_여_100세 이상,77,14,4,13,7,5,0,1,8,4,4,14,2,1
