카테고리,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년02월_계_총인구수,"406,245","36,665","21,509","25,147","24,195","20,808","29,810","9,343","23,673","28,154","32,418","32,307","21,418","22,584","39,868","24,426","13,920"
2020년02월_계_연령구간인구수,"406,245","36,665","21,509","25,147","24,195","20,808","29,810","9,343","23,673","28,154","32,418","32,307","21,418","22,584","39,868","24,426","13,920"
2020년02월_계_0~9세,"30,117","3,764","2,025","1,024","1,503",940,"2,001",282,"1,445","1,983","2,152","2,479","1,397","1,323","3,836","1,620","2,343"
2020년02월_계_10~19세,"31,132","3,587","2,033","1,504","1,481","1,238","1,731",328,"2,085","2,422","2,441","2,466","1,539","1,294","3,875","2,130",978
2020년02월_계_20~29세,"55,517","4,451","2,893","3,311","4,231","2,881","5,103","1,352","3,342","3,726","4,234","3,854","2,716","3,929","4,772","3,140","1,582"
2020년02월_계_30~39세,"64,375","6,406","3,951","3,044","5,173","3,093","5,607","1,193","2,988","3,527","4,522","4,912","3,129","4,373","5,543","3,462","3,452"
2020년02월_계_40~49세,"64,374","6,589","3,709","3,750","4,103","3,134","4,282","1,292","3,676","4,556","4,894","5,015","3,296","3,202","6,830","3,981","2,065"
2020년02월_계_50~59세,"63,852","5,225","3,064","4,847","3,023","3,579","4,633","1,995","4,073","4,937","5,597","4,965","3,539","3,069","5,784","4,038","1,484"
2020년02월_계_60~69세,"53,863","3,954","2,479","3,919","2,538","3,049","3,596","1,604","3,461","3,821","4,787","4,897","3,360","2,887","4,831","3,446","1,234"
2020년02월_계_70~79세,"30,758","1,915",954,"2,667","1,506","2,044","2,060",856,"1,903","2,248","2,749","2,756","1,714","1,779","3,148","1,922",537
2020년02월_계_80~89세,"10,676",670,339,936,557,748,705,365,602,828,919,829,643,642,"1,096",594,203
2020년02월_계_90~99세,"1,419",96,60,116,59,85,92,54,94,101,115,123,76,80,145,82,41
2020년02월_계_100세 이상,162,8,2,29,21,17,0,22,4,5,8,11,9,6,8,11,1
2020년02월_남_총인구수,"200,854","17,931","10,567","12,678","12,293","10,161","14,412","5,090","11,848","13,963","16,252","15,829","10,473","11,066","19,316","12,116","6,859"
2020년02월_남_연령구간인구수,"200,854","17,931","10,567","12,678","12,293","10,161","14,412","5,090","11,848","13,963","16,252","15,829","10,473","11,066","19,316","12,116","6,859"
2020년02월_남_0~9세,"15,390","1,892","1,055",524,786,483,"1,023",155,750,982,"1,058","1,296",696,673,"1,962",823,"1,232"
2020년02월_남_10~19세,"16,050","1,851","1,081",790,757,617,881,172,"1,090","1,260","1,226","1,220",800,668,"1,970","1,184",483
2020년02월_남_20~29세,"27,290","2,173","1,375","1,705","2,031","1,399","2,217",723,"1,743","1,921","2,214","1,963","1,400","1,757","2,316","1,620",733
2020년02월_남_30~39세,"32,867","3,047","1,989","1,681","2,813","1,594","2,760",697,"1,565","1,792","2,363","2,488","1,604","2,261","2,728","1,804","1,681"
2020년02월_남_40~49세,"33,109","3,222","1,845","1,997","2,276","1,618","2,208",729,"1,854","2,302","2,568","2,575","1,679","1,684","3,459","1,990","1,103"
2020년02월_남_50~59세,"31,412","2,589","1,441","2,502","1,534","1,789","2,300","1,201","1,978","2,444","2,781","2,312","1,651","1,507","2,763","1,924",696
2020년02월_남_60~69세,"25,439","1,883","1,160","1,873","1,150","1,400","1,752",856,"1,694","1,849","2,286","2,252","1,556","1,367","2,179","1,624",558
2020년02월_남_70~79세,"14,668",992,482,"1,196",713,923,961,409,923,"1,045","1,338","1,338",821,871,"1,457",904,295
2020년02월_남_80~89세,"4,241",261,121,378,211,310,286,129,226,341,393,344,243,265,443,223,67
2020년02월_남_90~99세,353,21,18,26,20,23,24,14,25,26,22,38,20,12,36,17,11
2020년02월_남_100세 이상,35,0,0,6,2,5,0,5,0,1,3,3,3,1,3,3,0
