,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년10월_계_총인구수,"479,183","48,536","13,604","10,428","29,851","9,717","13,469","11,328","3,874","7,469",720,"22,326","32,899","27,735","47,416","50,564","62,991","86,256"
2021년10월_계_연령구간인구수,"479,183","48,536","13,604","10,428","29,851","9,717","13,469","11,328","3,874","7,469",720,"22,326","32,899","27,735","47,416","50,564","62,991","86,256"
2021년10월_계_0~9세,"43,346","4,698",600,310,"1,631",161,620,435,82,550,22,"1,050","3,083","2,171","4,489","5,096","8,641","9,707"
2021년10월_계_10~19세,"49,958","4,836",839,664,"2,723",267,959,622,183,514,45,"1,452","4,193","2,712","5,767","6,229","7,791","10,162"
2021년10월_계_20~29세,"59,157","5,650","1,568","1,273","3,615","2,579","1,523","1,234",437,968,56,"3,480","4,154","3,869","5,706","6,310","6,383","10,352"
2021년10월_계_30~39세,"68,021","7,522","1,402",875,"2,906","2,110","1,480",999,231,879,56,"2,890","4,281","3,566","6,743","7,432","11,140","13,509"
2021년10월_계_40~49세,"82,174","7,533","1,738","1,104","4,388","1,026","2,065","1,265",342,791,82,"3,183","5,906","4,338","8,873","9,644","12,678","17,218"
2021년10월_계_50~59세,"76,200","7,085","2,585","2,048","5,860","1,367","2,636","2,303",726,"1,125",142,"4,185","5,342","4,919","7,612","7,709","7,934","12,622"
2021년10월_계_60~69세,"54,096","5,676","2,493","2,124","4,804","1,221","2,203","2,360",854,"1,307",133,"3,327","3,128","3,397","4,594","4,703","4,602","7,170"
2021년10월_계_70~79세,"28,748","3,409","1,368","1,234","2,443",589,"1,136","1,234",572,856,114,"1,742","1,775","1,728","2,258","2,225","2,496","3,569"
2021년10월_계_80~89세,"15,208","1,881",866,693,"1,304",340,728,725,367,404,62,885,912,907,"1,180","1,057","1,162","1,735"
2021년10월_계_90~99세,"2,199",238,137,102,166,56,111,146,76,70,8,129,124,127,190,153,160,206
2021년10월_계_100세 이상,76,8,8,1,11,1,8,5,4,5,0,3,1,1,4,6,4,6
2021년10월_남_총인구수,"243,139","24,874","7,237","5,576","15,160","6,491","7,305","6,196","2,054","4,071",372,"11,924","16,036","14,232","23,968","24,786","30,714","42,143"
2021년10월_남_연령구간인구수,"243,139","24,874","7,237","5,576","15,160","6,491","7,305","6,196","2,054","4,071",372,"11,924","16,036","14,232","23,968","24,786","30,714","42,143"
2021년10월_남_0~9세,"22,123","2,371",316,162,836,76,324,224,47,277,10,546,"1,567","1,084","2,287","2,601","4,413","4,982"
2021년10월_남_10~19세,"25,610","2,484",422,352,"1,365",149,500,345,98,299,19,766,"2,162","1,446","3,017","3,084","3,912","5,190"
2021년10월_남_20~29세,"31,774","3,173",956,803,"1,960","1,839",893,774,291,637,29,"1,994","2,081","2,129","2,999","3,087","3,049","5,080"
2021년10월_남_30~39세,"35,824","4,131",796,500,"1,580","1,704",877,604,141,506,27,"1,703","2,155","1,921","3,458","3,684","5,463","6,574"
2021년10월_남_40~49세,"42,139","4,035","1,006",638,"2,264",754,"1,164",743,198,452,50,"1,768","2,822","2,247","4,412","4,766","6,330","8,490"
2021년10월_남_50~59세,"39,808","3,694","1,462","1,126","3,056",857,"1,499","1,302",423,611,79,"2,334","2,723","2,537","4,022","3,841","3,989","6,253"
2021년10월_남_60~69세,"27,055","2,779","1,327","1,141","2,439",698,"1,207","1,316",433,709,75,"1,709","1,443","1,694","2,339","2,296","2,072","3,378"
2021년10월_남_70~79세,"12,699","1,474",617,581,"1,110",288,540,604,270,403,50,759,735,794,982,987,"1,012","1,493"
2021년10월_남_80~89세,"5,544",650,296,238,506,112,277,252,137,158,28,313,325,350,420,406,430,646
2021년10월_남_90~99세,545,80,36,35,41,13,24,31,13,19,5,32,23,29,32,34,42,56
2021년10월_남_100세 이상,18,3,3,0,3,1,0,1,3,0,0,0,0,1,0,0,2,1
2021년10월_여_총인구수,"236,044","23,662","6,367","4,852","14,691","3,226","6,164","5,132","1,820","3,398",348,"10,402","16,863","13,503","23,448","25,778","32,277","44,113"
