,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년09월_계_총인구수,"575,875","41,820","24,264","20,390","30,782","51,977","17,949","21,498","20,649","34,324","24,782","24,528","34,034","14,127","15,167","36,276","43,047","30,879","43,167","23,309","22,906"
2021년09월_계_연령구간인구수,"575,875","41,820","24,264","20,390","30,782","51,977","17,949","21,498","20,649","34,324","24,782","24,528","34,034","14,127","15,167","36,276","43,047","30,879","43,167","23,309","22,906"
2021년09월_계_0~9세,"37,413","3,979","1,241","1,210","1,651","2,493","1,097","1,180","1,068","2,011","1,170","1,219","1,602",467,685,"3,068","3,547","3,448","3,822","1,203","1,252"
2021년09월_계_10~19세,"43,695","4,436","1,283","1,533","1,926","2,411","1,383","1,637","1,328","2,347","1,599","1,532","1,810",441,538,"4,840","5,461","2,149","4,217","1,381","1,443"
2021년09월_계_20~29세,"86,432","5,663","5,048","3,121","3,863","9,581","2,585","3,193","2,892","6,038","4,369","3,856","8,319","1,603","1,697","4,534","5,190","4,020","5,106","3,328","2,426"
2021년09월_계_30~39세,"97,941","7,228","6,129","3,457","4,588","10,400","2,811","3,120","3,223","6,354","4,220","4,019","8,529","2,309","3,054","4,104","5,219","5,673","6,160","3,784","3,560"
2021년09월_계_40~49세,"89,669","7,605","3,221","3,002","3,871","7,437","3,023","3,198","3,223","5,411","3,532","3,845","4,551","1,420","1,859","6,945","8,387","5,059","7,515","3,224","3,341"
2021년09월_계_50~59세,"84,429","5,943","3,068","3,262","5,091","7,269","2,793","3,199","3,307","4,824","3,855","3,669","4,094","2,020","2,183","5,730","6,645","4,132","6,379","3,506","3,460"
2021년09월_계_60~69세,"79,087","4,366","2,327","2,894","5,452","7,193","2,474","3,461","3,246","4,391","3,731","3,596","3,389","3,322","2,775","3,972","5,085","3,717","5,872","3,808","4,016"
2021년09월_계_70~79세,"39,192","1,802","1,107","1,354","2,560","3,774","1,323","1,807","1,672","2,102","1,616","2,075","1,149","1,614","1,575","2,151","2,593","1,821","2,839","2,050","2,208"
2021년09월_계_80~89세,"15,405",698,694,470,"1,476","1,244",398,608,603,727,589,632,501,795,681,785,788,742,"1,078",897,999
2021년09월_계_90~99세,"2,517",96,140,87,291,165,62,86,86,115,99,81,87,133,117,141,127,115,173,124,192
2021년09월_계_100세 이상,95,4,6,0,13,10,0,9,1,4,2,4,3,3,3,6,5,3,6,4,9
2021년09월_남_총인구수,"277,388","20,260","11,310","9,965","14,613","25,234","8,727","10,315","10,104","16,667","12,025","11,823","15,593","6,676","7,052","17,173","20,582","15,574","21,043","11,522","11,130"
2021년09월_남_연령구간인구수,"277,388","20,260","11,310","9,965","14,613","25,234","8,727","10,315","10,104","16,667","12,025","11,823","15,593","6,676","7,052","17,173","20,582","15,574","21,043","11,522","11,130"
2021년09월_남_0~9세,"19,028","2,045",627,639,855,"1,255",544,634,547,"1,021",598,616,845,230,339,"1,572","1,767","1,772","1,871",620,631
2021년09월_남_10~19세,"22,355","2,259",732,857,"1,001","1,231",693,839,700,"1,251",898,783,904,233,276,"2,328","2,665","1,098","2,131",714,762
2021년09월_남_20~29세,"39,743","2,630","1,996","1,541","1,947","4,306","1,302","1,478","1,456","2,809","2,018","1,891","2,795",719,800,"2,239","2,436","2,025","2,484","1,620","1,251"
2021년09월_남_30~39세,"49,396","3,394","2,966","1,751","2,360","5,496","1,465","1,560","1,703","3,360","2,125","2,108","4,209","1,162","1,515","1,938","2,501","2,890","3,019","2,016","1,858"
2021년09월_남_40~49세,"45,128","3,725","1,615","1,486","1,855","3,930","1,534","1,551","1,669","2,764","1,797","1,947","2,409",733,993,"3,281","3,923","2,704","3,802","1,715","1,695"
2021년09월_남_50~59세,"40,577","2,924","1,476","1,490","2,338","3,462","1,335","1,519","1,582","2,295","1,810","1,682","1,957",942,"1,028","2,763","3,312","2,102","3,121","1,758","1,681"
2021년09월_남_60~69세,"36,589","2,149","1,092","1,334","2,542","3,212","1,063","1,603","1,432","1,924","1,745","1,550","1,701","1,652","1,220","1,765","2,355","1,790","2,784","1,797","1,879"
2021년09월_남_70~79세,"18,362",844,496,676,"1,171","1,816",622,894,763,935,799,972,562,740,647,960,"1,273",873,"1,390",936,993
2021년09월_남_80~89세,"5,628",264,265,176,459,484,161,216,233,287,217,255,185,236,211,303,322,302,398,318,336
2021년09월_남_90~99세,556,25,41,15,81,38,8,19,19,21,18,18,25,28,22,24,27,17,42,26,42
2021년09월_남_100세 이상,26,1,4,0,4,4,0,2,0,0,0,1,1,1,1,0,1,1,1,2,2
2021년09월_여_총인구수,"298,487","21,560","12,954","10,425","16,169","26,743","9,222","11,183","10,545","17,657","12,757","12,705","18,441","7,451","8,115","19,103","22,465","15,305","22,124","11,787","11,776"
