,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년08월_계_총인구수,"532,818","16,076","22,457","21,290","26,461","26,257","13,045","29,460","24,286","36,245","20,067","35,620","36,109","21,615","33,375","6,419","25,424","23,748","43,467","23,424","15,304","17,709","14,960"
2021년08월_계_연령구간인구수,"532,818","16,076","22,457","21,290","26,461","26,257","13,045","29,460","24,286","36,245","20,067","35,620","36,109","21,615","33,375","6,419","25,424","23,748","43,467","23,424","15,304","17,709","14,960"
2021년08월_계_0~9세,"35,302",912,684,"1,067","2,057","2,052",826,"2,237","1,774","1,966",685,958,"2,739","1,697","2,760",351,"2,150","1,679","4,085","2,042",704,"1,264",613
2021년08월_계_10~19세,"59,016","1,601",874,"1,303","2,738","2,229","1,226","3,459","5,432","6,043","2,537","1,507","5,490","2,359","4,784",576,"3,137","2,285","4,687","3,332","1,137","1,723",557
2021년08월_계_20~29세,"71,527","2,135","4,488","3,412","3,016","3,686","1,781","3,790","2,406","4,533","3,377","7,457","4,399","2,848","3,842",705,"3,180","3,265","5,271","2,525","2,111","1,814","1,486"
2021년08월_계_30~39세,"78,399","2,209","5,604","4,326","3,099","4,161","1,878","4,693","1,423","3,219","3,287","9,998","4,892","3,051","3,355",646,"2,951","3,643","6,293","2,757","2,221","2,524","2,169"
2021년08월_계_40~49세,"97,915","2,801","3,816","3,850","4,615","4,696","2,110","6,172","5,788","6,845","3,943","6,119","8,456","3,833","6,418",906,"4,465","3,974","7,857","4,439","2,083","3,074","1,655"
2021년08월_계_50~59세,"80,870","2,506","2,830","2,951","4,161","3,961","2,167","4,322","3,952","6,424","3,230","4,157","5,088","3,448","5,524","1,027","4,307","3,952","5,983","3,714","2,397","2,596","2,173"
2021년08월_계_60~69세,"60,855","1,806","2,240","2,263","3,199","3,030","1,701","2,488","1,975","4,357","1,578","3,089","2,646","2,579","3,623","1,192","3,303","3,118","5,094","2,964","2,585","2,623","3,402"
2021년08월_계_70~79세,"34,301","1,380","1,341","1,508","2,392","1,709",952,"1,652","1,099","2,160","1,064","1,653","1,748","1,225","2,134",716,"1,433","1,341","2,694","1,135","1,418","1,547","2,000"
2021년08월_계_80~89세,"12,278",621,500,521,"1,012",620,339,553,360,594,317,586,563,484,789,242,407,411,"1,232",394,534,462,737
2021년08월_계_90~99세,"2,223",100,75,84,163,105,62,85,72,99,48,86,81,87,138,51,85,75,264,118,107,75,163
2021년08월_계_100세 이상,132,5,5,5,9,8,3,9,5,5,1,10,7,4,8,7,6,5,7,4,7,7,5
2021년08월_남_총인구수,"254,936","7,464","10,566","9,952","12,225","12,277","6,424","14,096","12,218","18,389","9,458","17,285","16,931","10,229","15,493","3,130","12,286","11,514","20,582","11,550","7,504","8,577","6,786"
