카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년01월_계_총인구수,"30,845","10,964","3,040","3,665","3,527","3,472","3,175","2,358",268,376
2021년01월_계_연령구간인구수,"30,845","10,964","3,040","3,665","3,527","3,472","3,175","2,358",268,376
2021년01월_계_0~9세,"1,674",896,116,185,114,114,102,103,16,28
2021년01월_계_10~19세,"2,231","1,165",166,246,164,199,119,121,10,41
2021년01월_계_20~29세,"2,618","1,278",201,273,225,232,221,150,17,21
2021년01월_계_30~39세,"2,255","1,142",180,262,199,169,148,120,15,20
2021년01월_계_40~49세,"3,637","1,613",324,393,371,322,244,292,29,49
2021년01월_계_50~59세,"5,046","1,737",519,584,625,593,504,380,43,61
2021년01월_계_60~69세,"5,327","1,484",598,728,698,669,636,411,45,58
2021년01월_계_70~79세,"4,742","1,057",538,552,659,674,699,443,51,69
2021년01월_계_80~89세,"2,924",527,351,386,414,424,447,311,40,24
2021년01월_계_90~99세,374,61,46,50,58,75,53,24,2,5
2021년01월_계_100세 이상,17,4,1,6,0,1,2,3,0,0
2021년01월_남_총인구수,"15,242","5,411","1,534","1,773","1,804","1,659","1,524","1,209",140,188
2021년01월_남_연령구간인구수,"15,242","5,411","1,534","1,773","1,804","1,659","1,524","1,209",140,188
2021년01월_남_0~9세,801,419,59,96,62,54,46,44,8,13
2021년01월_남_10~19세,"1,156",611,80,125,89,99,59,63,10,20
2021년01월_남_20~29세,"1,516",742,127,140,125,128,138,93,7,16
2021년01월_남_30~39세,"1,234",590,103,149,123,94,84,71,9,11
2021년01월_남_40~49세,"2,101",823,193,234,250,195,164,191,20,31
2021년01월_남_50~59세,"2,796",876,307,312,360,333,292,246,28,42
2021년01월_남_60~69세,"2,685",719,309,362,359,340,310,234,27,25
2021년01월_남_70~79세,"2,022",460,235,230,284,290,293,183,23,24
2021년01월_남_80~89세,863,160,112,117,138,116,127,81,7,5
2021년01월_남_90~99세,68,11,9,8,14,10,11,3,1,1
2021년01월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"15,603","5,553","1,506","1,892","1,723","1,813","1,651","1,149",128,188
2021년01월_여_연령구간인구수,"15,603","5,553","1,506","1,892","1,723","1,813","1,651","1,149",128,188
2021년01월_여_0~9세,873,477,57,89,52,60,56,59,8,15
2021년01월_여_10~19세,"1,075",554,86,121,75,100,60,58,0,21
2021년01월_여_20~29세,"1,102",536,74,133,100,104,83,57,10,5
2021년01월_여_30~39세,"1,021",552,77,113,76,75,64,49,6,9
2021년01월_여_40~49세,"1,536",790,131,159,121,127,80,101,9,18
2021년01월_여_50~59세,"2,250",861,212,272,265,260,212,134,15,19
2021년01월_여_60~69세,"2,642",765,289,366,339,329,326,177,18,33
2021년01월_여_70~79세,"2,720",597,303,322,375,384,406,260,28,45
2021년01월_여_80~89세,"2,061",367,239,269,276,308,320,230,33,19
2021년01월_여_90~99세,306,50,37,42,44,65,42,21,1,4
2021년01월_여_100세 이상,17,4,1,6,0,1,2,3,0,0
