,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년07월_계_총인구수,"41,341","6,189","4,305","5,792","13,256","3,817","3,425","2,560","1,997"
2021년07월_계_연령구간인구수,"41,341","6,189","4,305","5,792","13,256","3,817","3,425","2,560","1,997"
2021년07월_계_0~9세,"2,397",438,177,358,"1,050",143,127,65,39
2021년07월_계_10~19세,"3,721",559,301,495,"1,579",259,239,210,79
2021년07월_계_20~29세,"3,540",593,339,402,"1,376",269,287,145,129
2021년07월_계_30~39세,"3,503",579,258,491,"1,400",274,243,141,117
2021년07월_계_40~49세,"6,132",897,588,861,"2,515",473,354,260,184
2021년07월_계_50~59세,"7,074","1,075",761,911,"2,176",704,697,397,353
2021년07월_계_60~69세,"7,734","1,127","1,014","1,073","1,778",914,725,627,476
2021년07월_계_70~79세,"4,803",632,600,779,948,532,465,466,381
2021년07월_계_80~89세,"2,161",257,234,367,384,217,253,231,218
2021년07월_계_90~99세,254,30,33,48,48,27,29,18,21
2021년07월_계_100세 이상,22,2,0,7,2,5,6,0,0
2021년07월_남_총인구수,"20,966","3,098","2,186","2,961","6,715","1,924","1,697","1,348","1,037"
2021년07월_남_연령구간인구수,"20,966","3,098","2,186","2,961","6,715","1,924","1,697","1,348","1,037"
2021년07월_남_0~9세,"1,267",234,87,197,550,74,64,40,21
2021년07월_남_10~19세,"1,935",292,160,258,813,114,111,146,41
2021년07월_남_20~29세,"2,057",359,200,246,789,145,160,83,75
2021년07월_남_30~39세,"1,860",309,143,252,709,149,145,77,76
2021년07월_남_40~49세,"3,273",470,329,491,"1,268",263,194,154,104
2021년07월_남_50~59세,"3,804",532,416,523,"1,157",373,360,241,202
2021년07월_남_60~69세,"3,815",534,516,499,860,463,376,319,248
2021년07월_남_70~79세,"2,117",273,243,342,431,240,203,206,179
2021년07월_남_80~89세,777,88,87,136,130,95,78,78,85
2021년07월_남_90~99세,52,6,5,14,7,6,4,4,6
2021년07월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년07월_여_총인구수,"20,375","3,091","2,119","2,831","6,541","1,893","1,728","1,212",960
2021년07월_여_연령구간인구수,"20,375","3,091","2,119","2,831","6,541","1,893","1,728","1,212",960
2021년07월_여_0~9세,"1,130",204,90,161,500,69,63,25,18
2021년07월_여_10~19세,"1,786",267,141,237,766,145,128,64,38
2021년07월_여_20~29세,"1,483",234,139,156,587,124,127,62,54
2021년07월_여_30~39세,"1,643",270,115,239,691,125,98,64,41
2021년07월_여_40~49세,"2,859",427,259,370,"1,247",210,160,106,80
2021년07월_여_50~59세,"3,270",543,345,388,"1,019",331,337,156,151
2021년07월_여_60~69세,"3,919",593,498,574,918,451,349,308,228
2021년07월_여_70~79세,"2,686",359,357,437,517,292,262,260,202
2021년07월_여_80~89세,"1,384",169,147,231,254,122,175,153,133
2021년07월_여_90~99세,202,24,28,34,41,21,25,14,15
2021년07월_여_100세 이상,13,1,0,4,1,3,4,0,0
