카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년05월_계_총인구수,"342,897","7,908","11,024","8,930","13,392","6,652","13,530","12,634","7,716","14,369","15,106","4,237","26,820","10,289","16,215","18,626","15,501","44,216","10,343","69,781","15,608"
2020년05월_계_연령구간인구수,"342,897","7,908","11,024","8,930","13,392","6,652","13,530","12,634","7,716","14,369","15,106","4,237","26,820","10,289","16,215","18,626","15,501","44,216","10,343","69,781","15,608"
2020년05월_계_0~9세,"26,045",292,"1,109",726,483,239,893,973,175,560,817,206,"2,730",421,914,954,816,"4,056",577,"8,402",702
2020년05월_계_10~19세,"27,149",480,869,592,730,422,966,"1,054",379,910,"1,076",272,"2,745",610,974,"1,396",959,"3,786",617,"7,159","1,153"
2020년05월_계_20~29세,"41,772",879,"1,046",992,"1,903",817,"1,533","1,671","1,340","1,841","1,932",628,"2,972","1,342","2,188","2,428","1,931","5,406","1,303","8,044","1,576"
2020년05월_계_30~39세,"44,818",731,"1,540","1,301","1,555",588,"1,623","1,661","1,077","1,474","1,730",463,"3,597","1,037","1,968","1,867","1,717","6,041","1,179","12,341","1,328"
2020년05월_계_40~49세,"51,628","1,009","1,920","1,219","1,816",880,"1,974","1,958","1,032","1,791","2,168",520,"4,623","1,260","2,098","2,391","1,994","6,971","1,327","12,517","2,160"
2020년05월_계_50~59세,"57,549","1,421","1,579","1,430","2,671","1,258","2,246","2,220","1,349","2,672","2,591",749,"4,274","2,111","3,088","3,663","2,897","7,170","2,051","9,198","2,911"
2020년05월_계_60~69세,"49,979","1,430","1,450","1,404","2,314","1,249","2,077","1,603","1,264","2,607","2,536",700,"3,398","1,931","2,717","3,170","2,730","6,038","1,764","6,812","2,785"
2020년05월_계_70~79세,"29,862","1,096","1,015",839,"1,361",804,"1,487",973,737,"1,727","1,512",464,"1,711","1,104","1,565","1,838","1,691","3,177","1,075","3,736","1,950"
2020년05월_계_80~89세,"12,526",509,434,372,490,361,657,460,323,703,653,218,679,425,626,826,682,"1,386",393,"1,395",934
2020년05월_계_90~99세,"1,446",56,52,52,59,30,67,53,36,74,81,17,87,43,75,87,82,178,51,164,102
2020년05월_계_100세 이상,123,5,10,3,10,4,7,8,4,10,10,0,4,5,2,6,2,7,6,13,7
2020년05월_남_총인구수,"169,113","3,945","5,236","4,380","6,788","3,177","6,513","6,264","3,872","7,119","7,279","2,264","13,210","5,095","8,161","9,010","7,829","21,637","5,242","34,420","7,672"
2020년05월_남_연령구간인구수,"169,113","3,945","5,236","4,380","6,788","3,177","6,513","6,264","3,872","7,119","7,279","2,264","13,210","5,095","8,161","9,010","7,829","21,637","5,242","34,420","7,672"
2020년05월_남_0~9세,"13,313",150,557,376,246,119,458,509,96,316,404,100,"1,368",208,480,473,433,"2,098",289,"4,266",367
2020년05월_남_10~19세,"14,244",274,473,305,390,238,537,605,214,480,534,150,"1,407",303,510,729,519,"1,989",329,"3,649",609
2020년05월_남_20~29세,"22,369",490,560,488,996,467,849,910,633,997,"1,030",413,"1,634",725,"1,223","1,337","1,042","2,866",730,"4,091",888
2020년05월_남_30~39세,"23,568",429,740,710,876,313,847,832,628,851,931,279,"1,746",601,"1,093",996,985,"3,070",651,"6,292",698
2020년05월_남_40~49세,"26,630",554,998,622,"1,028",443,997,952,571,930,"1,098",297,"2,349",690,"1,130","1,195","1,093","3,554",732,"6,316","1,081"
2020년05월_남_50~59세,"27,945",732,726,701,"1,361",574,"1,047","1,097",704,"1,311","1,237",387,"2,078","1,016","1,475","1,703","1,463","3,435","1,003","4,451","1,444"
2020년05월_남_60~69세,"23,187",665,624,657,"1,096",550,908,769,552,"1,174","1,137",351,"1,601",912,"1,318","1,452","1,299","2,825",825,"3,151","1,321"
2020년05월_남_70~79세,"13,048",458,392,369,591,343,607,403,340,768,651,203,776,477,690,807,739,"1,363",493,"1,671",907
2020년05월_남_80~89세,"4,453",183,151,145,183,123,244,170,123,270,231,81,234,154,227,297,236,404,174,485,338
2020년05월_남_90~99세,322,10,12,7,17,5,17,13,10,20,23,3,17,8,15,20,19,31,14,44,17
2020년05월_남_100세 이상,34,0,3,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,4,2
2020년05월_여_총인구수,"173,784","3,963","5,788","4,550","6,604","3,475","7,017","6,370","3,844","7,250","7,827","1,973","13,610","5,194","8,054","9,616","7,672","22,579","5,101","35,361","7,936"
2020년05월_여_연령구간인구수,"173,784","3,963","5,788","4,550","6,604","3,475","7,017","6,370","3,844","7,250","7,827","1,973","13,610","5,194","8,054","9,616","7,672","22,579","5,101","35,361","7,936"
2020년05월_여_0~9세,"12,732",142,552,350,237,120,435,464,79,244,413,106,"1,362",213,434,481,383,"1,958",288,"4,136",335
2020년05월_여_10~19세,"12,905",206,396,287,340,184,429,449,165,430,542,122,"1,338",307,464,667,440,"1,797",288,"3,510",544
2020년05월_여_20~29세,"19,403",389,486,504,907,350,684,761,707,844,902,215,"1,338",617,965,"1,091",889,"2,540",573,"3,953",688
2020년05월_여_30~39세,"21,250",302,800,591,679,275,776,829,449,623,799,184,"1,851",436,875,871,732,"2,971",528,"6,049",630
2020년05월_여_40~49세,"24,998",455,922,597,788,437,977,"1,006",461,861,"1,070",223,"2,274",570,968,"1,196",901,"3,417",595,"6,201","1,079"
2020년05월_여_50~59세,"29,604",689,853,729,"1,310",684,"1,199","1,123",645,"1,361","1,354",362,"2,196","1,095","1,613","1,960","1,434","3,735","1,048","4,747","1,467"
2020년05월_여_60~69세,"26,792",765,826,747,"1,218",699,"1,169",834,712,"1,433","1,399",349,"1,797","1,019","1,399","1,718","1,431","3,213",939,"3,661","1,464"
2020년05월_여_70~79세,"16,814",638,623,470,770,461,880,570,397,959,861,261,935,627,875,"1,031",952,"1,814",582,"2,065","1,043"
2020년05월_여_80~89세,"8,073",326,283,227,307,238,413,290,200,433,422,137,445,271,399,529,446,982,219,910,596
2020년05월_여_90~99세,"1,124",46,40,45,42,25,50,40,26,54,58,14,70,35,60,67,63,147,37,120,85
2020년05월_여_100세 이상,89,5,7,3,6,2,5,4,3,8,7,0,4,4,2,5,1,5,4,9,5
