카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년08월_계_총인구수,"37,909","15,452","5,016","3,424","2,354","2,865","1,282","2,119","1,098","1,452","2,847"
2020년08월_계_연령구간인구수,"37,909","15,452","5,016","3,424","2,354","2,865","1,282","2,119","1,098","1,452","2,847"
2020년08월_계_0~9세,"2,042","1,336",162,141,83,82,37,36,18,45,102
2020년08월_계_10~19세,"2,869","1,618",315,217,113,132,58,110,39,78,189
2020년08월_계_20~29세,"3,076","1,586",327,221,143,213,72,137,68,90,219
2020년08월_계_30~39세,"2,847","1,600",308,204,139,169,74,96,42,61,154
2020년08월_계_40~49세,"4,230","2,164",426,354,209,271,104,162,103,148,289
2020년08월_계_50~59세,"6,338","2,452",861,574,355,508,208,397,263,246,474
2020년08월_계_60~69세,"6,506","2,151",986,664,488,559,268,372,243,228,547
2020년08월_계_70~79세,"5,495","1,487",907,567,427,486,214,412,178,266,551
2020년08월_계_80~89세,"3,872",886,635,423,335,371,217,356,123,234,292
2020년08월_계_90~99세,610,161,88,54,59,73,28,41,20,56,30
2020년08월_계_100세 이상,24,11,1,5,3,1,2,0,1,0,0
2020년08월_남_총인구수,"18,426","7,530","2,436","1,652","1,134","1,410",613,"1,008",551,703,"1,389"
2020년08월_남_연령구간인구수,"18,426","7,530","2,436","1,652","1,134","1,410",613,"1,008",551,703,"1,389"
2020년08월_남_0~9세,"1,051",674,89,58,47,52,22,17,7,28,57
2020년08월_남_10~19세,"1,514",841,183,112,57,77,25,55,24,37,103
2020년08월_남_20~29세,"1,727",872,188,121,88,119,35,84,37,52,131
2020년08월_남_30~39세,"1,502",794,167,112,86,103,37,52,32,32,87
2020년08월_남_40~49세,"2,347","1,087",251,225,132,160,70,108,63,81,170
2020년08월_남_50~59세,"3,426","1,283",460,320,186,279,115,231,148,155,249
2020년08월_남_60~69세,"3,253","1,037",504,325,270,296,138,194,126,116,247
2020년08월_남_70~79세,"2,301",635,366,234,169,216,97,160,69,111,244
2020년08월_남_80~89세,"1,183",276,211,128,92,93,67,101,39,80,96
2020년08월_남_90~99세,118,30,17,15,7,15,6,6,6,11,5
2020년08월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년08월_여_총인구수,"19,483","7,922","2,580","1,772","1,220","1,455",669,"1,111",547,749,"1,458"
2020년08월_여_연령구간인구수,"19,483","7,922","2,580","1,772","1,220","1,455",669,"1,111",547,749,"1,458"
2020년08월_여_0~9세,991,662,73,83,36,30,15,19,11,17,45
2020년08월_여_10~19세,"1,355",777,132,105,56,55,33,55,15,41,86
2020년08월_여_20~29세,"1,349",714,139,100,55,94,37,53,31,38,88
2020년08월_여_30~39세,"1,345",806,141,92,53,66,37,44,10,29,67
2020년08월_여_40~49세,"1,883","1,077",175,129,77,111,34,54,40,67,119
2020년08월_여_50~59세,"2,912","1,169",401,254,169,229,93,166,115,91,225
2020년08월_여_60~69세,"3,253","1,114",482,339,218,263,130,178,117,112,300
2020년08월_여_70~79세,"3,194",852,541,333,258,270,117,252,109,155,307
2020년08월_여_80~89세,"2,689",610,424,295,243,278,150,255,84,154,196
2020년08월_여_90~99세,492,131,71,39,52,58,22,35,14,45,25
2020년08월_여_100세 이상,20,10,1,3,3,1,1,0,1,0,0
