카테고리,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년05월_계_총인구수,"268,616","32,857","9,851","24,958","19,615","14,964","38,859","10,694","27,817","17,461","14,804","27,456","14,334","14,946"
2021년05월_계_연령구간인구수,"268,616","32,857","9,851","24,958","19,615","14,964","38,859","10,694","27,817","17,461","14,804","27,456","14,334","14,946"
2021년05월_계_0~9세,"19,186","2,574",324,"2,624","1,017",833,"2,569",812,"2,530","1,493",782,"1,824",981,823
2021년05월_계_10~19세,"24,708","2,802",630,"3,247","1,119","1,409","2,847",999,"4,057","1,793",958,"2,794","1,035","1,018"
2021년05월_계_20~29세,"32,112","3,881","1,067","2,493","3,107","1,744","5,443","1,254","3,115","1,799","1,707","3,132","1,580","1,790"
2021년05월_계_30~39세,"32,391","4,290",862,"3,002","3,230","1,376","5,356","1,348","2,687","1,923","1,675","3,040","1,754","1,848"
2021년05월_계_40~49세,"42,801","5,040","1,200","5,083","3,036","2,115","5,614","1,761","5,622","3,172","2,010","4,309","1,926","1,913"
2021년05월_계_50~59세,"43,711","5,291","1,713","3,654","3,019","2,450","6,570","1,673","4,523","2,556","2,524","4,743","2,412","2,583"
2021년05월_계_60~69세,"41,555","5,056","2,029","2,658","2,674","2,588","6,069","1,486","3,289","2,566","2,893","4,518","2,671","3,058"
2021년05월_계_70~79세,"22,431","2,728","1,317","1,501","1,618","1,580","3,131",912,"1,446","1,566","1,613","2,203","1,415","1,401"
2021년05월_계_80~89세,"8,577","1,055",600,614,707,746,"1,130",403,480,532,564,788,507,451
2021년05월_계_90~99세,"1,071",136,86,81,80,115,124,44,67,61,72,98,49,58
2021년05월_계_100세 이상,73,4,23,1,8,8,6,2,1,0,6,7,4,3
2021년05월_남_총인구수,"130,672","15,985","4,782","12,246","9,295","7,211","19,029","5,115","13,436","8,639","7,300","13,380","6,954","7,300"
2021년05월_남_연령구간인구수,"130,672","15,985","4,782","12,246","9,295","7,211","19,029","5,115","13,436","8,639","7,300","13,380","6,954","7,300"
2021년05월_남_0~9세,"9,904","1,299",166,"1,377",502,405,"1,324",420,"1,284",845,422,930,494,436
2021년05월_남_10~19세,"12,876","1,509",340,"1,777",565,737,"1,500",466,"1,976","1,004",513,"1,460",488,541
2021년05월_남_20~29세,"16,778","2,070",577,"1,287","1,400",956,"2,755",664,"1,693",934,902,"1,706",847,987
2021년05월_남_30~39세,"16,266","2,151",491,"1,394","1,609",721,"2,776",662,"1,252",918,891,"1,534",888,979
2021년05월_남_40~49세,"20,957","2,508",634,"2,447","1,462","1,019","2,787",848,"2,588","1,610","1,039","2,063",995,957
2021년05월_남_50~59세,"20,770","2,438",830,"1,783","1,483","1,147","3,068",830,"2,237","1,264","1,220","2,217","1,119","1,134"
2021년05월_남_60~69세,"19,271","2,322",955,"1,230","1,269","1,201","2,855",646,"1,574","1,154","1,325","2,106","1,238","1,396"
2021년05월_남_70~79세,"10,333","1,259",554,692,704,705,"1,454",404,672,700,751,"1,053",682,703
2021년05월_남_80~89세,"3,271",392,217,244,279,291,470,166,155,205,223,286,191,152
2021년05월_남_90~99세,233,36,18,15,20,25,39,8,5,5,12,25,10,15
2021년05월_남_100세 이상,13,1,0,0,2,4,1,1,0,0,2,0,2,0
2021년05월_여_총인구수,"137,944","16,872","5,069","12,712","10,320","7,753","19,830","5,579","14,381","8,822","7,504","14,076","7,380","7,646"
2021년05월_여_연령구간인구수,"137,944","16,872","5,069","12,712","10,320","7,753","19,830","5,579","14,381","8,822","7,504","14,076","7,380","7,646"
2021년05월_여_0~9세,"9,282","1,275",158,"1,247",515,428,"1,245",392,"1,246",648,360,894,487,387
2021년05월_여_10~19세,"11,832","1,293",290,"1,470",554,672,"1,347",533,"2,081",789,445,"1,334",547,477
2021년05월_여_20~29세,"15,334","1,811",490,"1,206","1,707",788,"2,688",590,"1,422",865,805,"1,426",733,803
2021년05월_여_30~39세,"16,125","2,139",371,"1,608","1,621",655,"2,580",686,"1,435","1,005",784,"1,506",866,869
2021년05월_여_40~49세,"21,844","2,532",566,"2,636","1,574","1,096","2,827",913,"3,034","1,562",971,"2,246",931,956
2021년05월_여_50~59세,"22,941","2,853",883,"1,871","1,536","1,303","3,502",843,"2,286","1,292","1,304","2,526","1,293","1,449"
2021년05월_여_60~69세,"22,284","2,734","1,074","1,428","1,405","1,387","3,214",840,"1,715","1,412","1,568","2,412","1,433","1,662"
2021년05월_여_70~79세,"12,098","1,469",763,809,914,875,"1,677",508,774,866,862,"1,150",733,698
2021년05월_여_80~89세,"5,306",663,383,370,428,455,660,237,325,327,341,502,316,299
2021년05월_여_90~99세,838,100,68,66,60,90,85,36,62,56,60,73,39,43
2021년05월_여_100세 이상,60,3,23,1,6,4,5,1,1,0,4,7,2,3
