,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년09월_계_총인구수,"13,388,485","1,188,926","274,911","369,755","174,879","369,381","941,783","241,803","216,379","483,601","458,273","553,286","240,604","312,682","822,000","305,836","529,140","93,901","653,505","348,635","304,870","1,075,841","473,594","298,901","303,346","61,982","197,974","710,433","229,249","493,005","274,985","163,720","287,452","1,075,697","258,455","440,923","376,319","461,314","219,531","186,460","463,735","846,850","380,291","229,427","147,803","111,512","43,590","62,551","118,433"
2020년09월_계_연령구간인구수,"13,388,485","1,188,926","274,911","369,755","174,879","369,381","941,783","241,803","216,379","483,601","458,273","553,286","240,604","312,682","822,000","305,836","529,140","93,901","653,505","348,635","304,870","1,075,841","473,594","298,901","303,346","61,982","197,974","710,433","229,249","493,005","274,985","163,720","287,452","1,075,697","258,455","440,923","376,319","461,314","219,531","186,460","463,735","846,850","380,291","229,427","147,803","111,512","43,590","62,551","118,433"
2020년09월_계_0~9세,"1,158,060","99,091","18,735","33,177","9,695","37,484","69,845","16,077","13,448","40,320","34,511","40,181","15,879","24,302","58,490","24,073","48,674","6,429","45,031","23,541","21,490","82,844","38,612","21,058","23,174","5,010","15,543","65,811","24,198","47,983","21,227","13,321","30,130","102,350","21,405","43,650","37,295","44,596","19,169","14,278","54,228","105,470","35,541","20,097","8,770","7,543","2,811","3,428","7,387"
2020년09월_계_10~19세,"1,337,103","119,489","29,103","33,704","14,048","42,634","88,422","17,732","16,807","53,883","42,677","53,023","19,056","33,967","71,585","31,257","52,896","8,635","64,856","34,461","30,395","105,721","41,601","29,857","34,263","6,307","18,342","77,572","24,912","49,900","26,938","14,826","24,500","123,747","27,015","51,105","45,627","48,620","23,663","18,503","46,944","95,854","33,820","24,142","12,498","9,646","3,188","4,721","9,899"
2020년09월_계_20~29세,"1,798,600","186,673","44,119","54,675","28,754","59,125","132,557","35,219","31,179","66,159","63,916","78,312","34,808","43,504","117,954","39,301","72,024","11,203","106,058","57,510","48,548","150,695","62,723","44,979","42,993","8,578","27,307","84,368","31,100","68,523","38,404","23,375","35,083","136,992","34,423","56,204","46,365","56,285","29,913","22,322","50,627","102,719","44,886","27,219","17,943","12,086","5,390","6,234","10,553"
2020년09월_계_30~39세,"1,911,099","180,350","33,030","58,934","24,659","63,727","137,673","36,059","31,143","70,471","59,835","77,259","33,225","44,034","117,319","42,623","79,058","10,182","85,611","43,824","41,787","142,115","67,061","38,222","36,832","8,552","26,658","90,088","39,262","76,326","38,751","22,867","49,365","146,871","33,992","60,501","52,378","66,926","30,674","23,203","74,513","151,219","58,406","28,152","14,714","11,633","4,235","5,799","10,860"
2020년09월_계_40~49세,"2,298,109","203,757","45,867","61,796","27,458","68,636","158,264","37,765","33,237","87,262","74,626","88,765","35,485","53,280","130,403","52,779","92,522","14,376","109,065","58,080","50,985","182,994","78,495","51,582","52,917","9,486","33,055","129,820","43,141","89,432","44,987","24,779","50,350","200,558","43,464","84,190","72,904","80,083","34,811","30,072","86,263","162,005","66,303","39,389","20,722","16,006","5,027","7,946","16,323"
2020년09월_계_50~59세,"2,227,858","196,578","49,412","62,372","30,681","54,113","156,124","41,421","38,556","76,147","79,939","98,247","43,919","54,328","148,558","50,954","85,941","16,378","127,447","68,315","59,132","194,089","82,449","55,683","55,957","10,888","35,877","116,081","33,044","86,434","48,356","29,533","41,360","163,743","43,059","66,002","54,682","71,926","35,302","31,331","65,968","113,819","63,075","37,872","29,339","20,101","7,186","11,442","20,926"
2020년09월_계_60~69세,"1,498,842","117,938","30,199","39,138","22,078","26,523","111,942","33,017","30,234","48,691","55,883","69,658","33,903","35,755","108,556","37,840","53,626","12,963","69,495","36,792","32,703","118,257","55,512","31,973","30,772","7,230","23,943","81,341","19,477","45,241","32,629","21,099","34,186","104,504","30,578","40,637","33,289","48,160","25,320","24,675","47,981","67,729","47,032","28,366","23,889","18,211","7,448","11,945","22,278"
2020년09월_계_70~79세,"760,582","56,208","15,708","17,325","11,870","11,305","57,718","17,105","15,116","25,497","31,029","31,571","16,410","15,161","46,215","18,171","28,367","8,797","29,495","16,670","12,825","61,649","30,205","15,486","15,958","3,652","11,655","44,349","9,654","19,067","15,007","8,990","15,785","65,448","15,948","26,162","23,338","28,621","13,000","13,535","25,439","31,663","21,745","16,190","12,493","10,176","5,052","6,854","12,987"
