카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년01월_계_총인구수,"42,586","6,407","4,480","6,040","13,550","3,906","3,521","2,583","2,099"
2021년01월_계_연령구간인구수,"42,586","6,407","4,480","6,040","13,550","3,906","3,521","2,583","2,099"
2021년01월_계_0~9세,"2,537",471,188,389,"1,086",156,132,73,42
2021년01월_계_10~19세,"3,806",575,303,518,"1,630",267,246,170,97
2021년01월_계_20~29세,"3,653",612,355,406,"1,421",275,298,155,131
2021년01월_계_30~39세,"3,743",589,280,543,"1,508",286,256,155,126
2021년01월_계_40~49세,"6,391",913,620,935,"2,574",499,392,271,187
2021년01월_계_50~59세,"7,345","1,122",796,966,"2,194",749,722,426,370
2021년01월_계_60~69세,"7,717","1,109","1,013","1,100","1,749",923,729,597,497
2021년01월_계_70~79세,"4,928",691,635,777,952,515,462,488,408
2021년01월_계_80~89세,"2,118",267,241,349,380,205,246,224,206
2021년01월_계_90~99세,282,42,42,48,48,26,30,20,26
2021년01월_계_100세 이상,66,16,7,9,8,5,8,4,9
2021년01월_남_총인구수,"21,557","3,198","2,283","3,075","6,877","1,962","1,734","1,341","1,087"
2021년01월_남_연령구간인구수,"21,557","3,198","2,283","3,075","6,877","1,962","1,734","1,341","1,087"
2021년01월_남_0~9세,"1,322",247,92,217,555,79,67,44,21
2021년01월_남_10~19세,"1,976",300,164,262,853,117,118,108,54
2021년01월_남_20~29세,"2,093",367,209,246,803,147,161,86,74
2021년01월_남_30~39세,"1,971",316,153,268,761,155,154,84,80
2021년01월_남_40~49세,"3,408",464,341,535,"1,311",279,207,166,105
2021년01월_남_50~59세,"3,916",551,438,551,"1,162",389,369,244,212
2021년01월_남_60~69세,"3,808",529,513,512,852,463,376,307,256
2021년01월_남_70~79세,"2,211",312,272,341,443,234,202,215,192
2021년01월_남_80~89세,761,94,89,127,125,92,74,80,80
2021년01월_남_90~99세,64,11,9,13,7,5,4,5,10
2021년01월_남_100세 이상,27,7,3,3,5,2,2,2,3
2021년01월_여_총인구수,"21,029","3,209","2,197","2,965","6,673","1,944","1,787","1,242","1,012"
2021년01월_여_연령구간인구수,"21,029","3,209","2,197","2,965","6,673","1,944","1,787","1,242","1,012"
2021년01월_여_0~9세,"1,215",224,96,172,531,77,65,29,21
2021년01월_여_10~19세,"1,830",275,139,256,777,150,128,62,43
2021년01월_여_20~29세,"1,560",245,146,160,618,128,137,69,57
2021년01월_여_30~39세,"1,772",273,127,275,747,131,102,71,46
2021년01월_여_40~49세,"2,983",449,279,400,"1,263",220,185,105,82
2021년01월_여_50~59세,"3,429",571,358,415,"1,032",360,353,182,158
2021년01월_여_60~69세,"3,909",580,500,588,897,460,353,290,241
2021년01월_여_70~79세,"2,717",379,363,436,509,281,260,273,216
2021년01월_여_80~89세,"1,357",173,152,222,255,113,172,144,126
2021년01월_여_90~99세,218,31,33,35,41,21,26,15,16
2021년01월_여_100세 이상,39,9,4,6,3,3,6,2,6
