,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년09월_계_총인구수,"27,566","7,450","1,324","1,646","1,480","1,685","3,757","1,316","1,526","3,404","1,557","1,183","1,238"
2020년09월_계_연령구간인구수,"27,566","7,450","1,324","1,646","1,480","1,685","3,757","1,316","1,526","3,404","1,557","1,183","1,238"
2020년09월_계_0~9세,"1,382",675,38,45,61,49,116,45,39,168,44,46,56
2020년09월_계_10~19세,"1,729",734,53,61,71,83,242,54,69,179,82,48,53
2020년09월_계_20~29세,"2,130",738,81,121,101,107,287,84,69,261,140,64,77
2020년09월_계_30~39세,"1,991",811,64,98,102,88,240,63,74,240,66,75,70
2020년09월_계_40~49세,"2,928","1,071",136,150,138,149,366,118,126,337,159,86,92
2020년09월_계_50~59세,"4,746","1,072",208,343,239,301,637,254,245,663,317,238,229
2020년09월_계_60~69세,"4,928",993,247,393,301,310,743,249,313,648,272,230,229
2020년09월_계_70~79세,"4,306",774,265,237,264,331,606,259,305,528,271,240,226
2020년09월_계_80~89세,"2,974",504,204,166,180,235,455,162,245,338,173,136,176
2020년09월_계_90~99세,429,75,26,32,20,30,64,27,41,39,30,15,30
2020년09월_계_100세 이상,23,3,2,0,3,2,1,1,0,3,3,5,0
2020년09월_남_총인구수,"14,097","3,821",667,852,753,874,"1,886",694,755,"1,749",830,595,621
2020년09월_남_연령구간인구수,"14,097","3,821",667,852,753,874,"1,886",694,755,"1,749",830,595,621
2020년09월_남_0~9세,734,370,19,22,30,26,66,27,18,85,22,16,33
2020년09월_남_10~19세,920,367,28,39,45,51,137,27,31,89,54,24,28
2020년09월_남_20~29세,"1,256",443,50,61,58,68,162,53,44,147,90,33,47
2020년09월_남_30~39세,"1,091",415,36,52,65,53,135,34,42,139,40,45,35
2020년09월_남_40~49세,"1,789",597,95,93,82,98,217,76,81,218,115,55,62
2020년09월_남_50~59세,"2,698",594,115,196,133,167,356,162,144,380,183,147,121
2020년09월_남_60~69세,"2,621",504,138,213,156,169,388,152,165,325,151,126,134
2020년09월_남_70~79세,"1,894",351,112,108,118,151,252,100,139,254,116,97,96
2020년09월_남_80~89세,992,169,67,56,60,84,153,57,83,101,53,51,58
2020년09월_남_90~99세,95,10,5,12,6,6,19,5,8,11,6,0,7
2020년09월_남_100세 이상,7,1,2,0,0,1,1,1,0,0,0,1,0
2020년09월_여_총인구수,"13,469","3,629",657,794,727,811,"1,871",622,771,"1,655",727,588,617
2020년09월_여_연령구간인구수,"13,469","3,629",657,794,727,811,"1,871",622,771,"1,655",727,588,617
2020년09월_여_0~9세,648,305,19,23,31,23,50,18,21,83,22,30,23
2020년09월_여_10~19세,809,367,25,22,26,32,105,27,38,90,28,24,25
2020년09월_여_20~29세,874,295,31,60,43,39,125,31,25,114,50,31,30
2020년09월_여_30~39세,900,396,28,46,37,35,105,29,32,101,26,30,35
2020년09월_여_40~49세,"1,139",474,41,57,56,51,149,42,45,119,44,31,30
2020년09월_여_50~59세,"2,048",478,93,147,106,134,281,92,101,283,134,91,108
2020년09월_여_60~69세,"2,307",489,109,180,145,141,355,97,148,323,121,104,95
2020년09월_여_70~79세,"2,412",423,153,129,146,180,354,159,166,274,155,143,130
2020년09월_여_80~89세,"1,982",335,137,110,120,151,302,105,162,237,120,85,118
2020년09월_여_90~99세,334,65,21,20,14,24,45,22,33,28,24,15,23
2020년09월_여_100세 이상,16,2,0,0,3,1,0,0,0,3,3,4,0
