,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년04월_계_총인구수,"111,387","10,973","4,078","8,608","8,707","7,098","5,180","6,466","18,174","28,328","3,499","10,276"
2021년04월_계_연령구간인구수,"111,387","10,973","4,078","8,608","8,707","7,098","5,180","6,466","18,174","28,328","3,499","10,276"
2021년04월_계_0~9세,"4,966",416,170,377,200,350,160,338,992,"1,461",175,327
2021년04월_계_10~19세,"7,233",525,245,553,463,413,263,444,"1,431","2,185",171,540
2021년04월_계_20~29세,"11,786","1,084",425,900,777,726,499,578,"1,907","3,420",592,878
2021년04월_계_30~39세,"10,319","1,063",378,809,611,698,382,617,"1,779","2,806",331,845
2021년04월_계_40~49세,"14,840","1,434",534,"1,095","1,037",975,664,939,"2,588","3,913",444,"1,217"
2021년04월_계_50~59세,"18,959","1,899",686,"1,436","1,578","1,137",899,"1,024","3,159","4,910",472,"1,759"
2021년04월_계_60~69세,"22,175","2,271",853,"1,685","1,832","1,440","1,047","1,244","3,418","5,284",659,"2,442"
2021년04월_계_70~79세,"14,432","1,545",538,"1,191","1,453",875,889,883,"2,007","3,014",479,"1,558"
2021년04월_계_80~89세,"5,935",645,226,493,690,410,356,345,801,"1,183",152,634
2021년04월_계_90~99세,690,87,23,65,64,54,20,53,89,145,22,68
2021년04월_계_100세 이상,52,4,0,4,2,20,1,1,3,7,2,8
2021년04월_남_총인구수,"54,958","5,465","1,964","4,175","4,381","3,491","2,563","3,171","9,057","13,831","1,854","5,006"
2021년04월_남_연령구간인구수,"54,958","5,465","1,964","4,175","4,381","3,491","2,563","3,171","9,057","13,831","1,854","5,006"
2021년04월_남_0~9세,"2,513",210,89,199,112,181,76,174,497,712,98,165
2021년04월_남_10~19세,"3,724",273,130,293,240,205,136,236,754,"1,103",84,270
2021년04월_남_20~29세,"6,514",556,227,498,431,381,281,310,"1,056","1,903",379,492
2021년04월_남_30~39세,"5,567",584,192,425,358,374,230,323,974,"1,470",188,449
2021년04월_남_40~49세,"7,772",779,278,542,594,524,375,490,"1,319","1,946",259,666
2021년04월_남_50~59세,"9,726","1,065",330,702,899,596,480,536,"1,600","2,352",254,912
2021년04월_남_60~69세,"10,633","1,093",384,801,901,689,473,584,"1,630","2,558",319,"1,201"
2021년04월_남_70~79세,"6,290",662,238,525,591,388,366,387,924,"1,355",210,644
2021년04월_남_80~89세,"2,082",233,92,172,248,139,142,118,286,402,55,195
2021년04월_남_90~99세,133,10,4,18,6,13,4,13,17,30,7,11
2021년04월_남_100세 이상,4,0,0,0,1,1,0,0,0,0,1,1
2021년04월_여_총인구수,"56,429","5,508","2,114","4,433","4,326","3,607","2,617","3,295","9,117","14,497","1,645","5,270"
2021년04월_여_연령구간인구수,"56,429","5,508","2,114","4,433","4,326","3,607","2,617","3,295","9,117","14,497","1,645","5,270"
2021년04월_여_0~9세,"2,453",206,81,178,88,169,84,164,495,749,77,162
2021년04월_여_10~19세,"3,509",252,115,260,223,208,127,208,677,"1,082",87,270
2021년04월_여_20~29세,"5,272",528,198,402,346,345,218,268,851,"1,517",213,386
2021년04월_여_30~39세,"4,752",479,186,384,253,324,152,294,805,"1,336",143,396
2021년04월_여_40~49세,"7,068",655,256,553,443,451,289,449,"1,269","1,967",185,551
2021년04월_여_50~59세,"9,233",834,356,734,679,541,419,488,"1,559","2,558",218,847
2021년04월_여_60~69세,"11,542","1,178",469,884,931,751,574,660,"1,788","2,726",340,"1,241"
2021년04월_여_70~79세,"8,142",883,300,666,862,487,523,496,"1,083","1,659",269,914
2021년04월_여_80~89세,"3,853",412,134,321,442,271,214,227,515,781,97,439
2021년04월_여_90~99세,557,77,19,47,58,41,16,40,72,115,15,57
2021년04월_여_100세 이상,48,4,0,4,1,19,1,1,3,7,1,7
