,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년05월_계_총인구수,"220,604","10,327","17,536","8,948","4,916","11,437","13,774","20,190","34,188","23,532","22,811","20,662","11,046","21,237"
2020년05월_계_연령구간인구수,"220,604","10,327","17,536","8,948","4,916","11,437","13,774","20,190","34,188","23,532","22,811","20,662","11,046","21,237"
2020년05월_계_0~9세,"17,393",475,"1,432",430,237,957,502,"1,421","3,640","1,181","1,519","2,102","1,340","2,157"
2020년05월_계_10~19세,"20,533",651,"1,340",637,325,"1,142",714,"1,649","3,642","2,232","2,377","1,915","1,320","2,589"
2020년05월_계_20~29세,"27,763","1,095","2,266","1,360",618,"1,551","1,686","2,530","4,028","3,285","3,099","2,389","1,385","2,471"
2020년05월_계_30~39세,"27,466","1,068","2,557","1,045",526,"1,650","1,393","2,549","4,610","2,206","2,365","2,928","1,725","2,844"
2020년05월_계_40~49세,"35,032","1,410","2,678","1,191",613,"1,792","1,754","2,992","6,021","3,676","3,436","3,361","1,845","4,263"
2020년05월_계_50~59세,"42,061","1,950","3,557","1,808","1,015","2,087","2,719","3,755","5,946","5,081","4,902","3,786","1,984","3,471"
2020년05월_계_60~69세,"30,727","1,994","2,372","1,458",942,"1,363","2,799","3,167","4,098","3,446","3,290","2,691",963,"2,144"
2020년05월_계_70~79세,"13,933","1,203",961,748,461,618,"1,534","1,462","1,597","1,694","1,335","1,063",345,912
2020년05월_계_80~89세,"5,027",427,324,237,149,239,586,605,529,667,428,384,126,326
2020년05월_계_90~99세,613,50,47,32,24,35,63,57,76,62,56,41,12,58
2020년05월_계_100세 이상,56,4,2,2,6,3,24,3,1,2,4,2,1,2
2020년05월_남_총인구수,"111,885","5,278","9,129","4,575","2,455","5,713","7,103","10,173","17,088","11,941","11,566","10,503","5,565","10,796"
2020년05월_남_연령구간인구수,"111,885","5,278","9,129","4,575","2,455","5,713","7,103","10,173","17,088","11,941","11,566","10,503","5,565","10,796"
2020년05월_남_0~9세,"9,000",246,735,232,132,474,263,765,"1,933",581,760,"1,062",699,"1,118"
2020년05월_남_10~19세,"11,009",331,710,336,164,628,376,885,"1,934","1,246","1,307","1,049",687,"1,356"
2020년05월_남_20~29세,"15,434",619,"1,255",745,340,821,958,"1,408","2,277","1,847","1,743","1,334",738,"1,349"
2020년05월_남_30~39세,"14,427",619,"1,403",586,300,887,842,"1,311","2,236","1,212","1,247","1,504",845,"1,435"
2020년05월_남_40~49세,"17,766",812,"1,435",615,311,875,967,"1,517","2,961","1,818","1,674","1,745",878,"2,158"
2020년05월_남_50~59세,"20,983","1,027","1,816",905,485,"1,013","1,377","1,869","2,814","2,552","2,436","1,861","1,020","1,808"
2020년05월_남_60~69세,"15,020",939,"1,183",701,456,641,"1,417","1,546","1,990","1,686","1,595","1,330",495,"1,041"
2020년05월_남_70~79세,"6,394",526,473,364,199,295,668,637,763,773,635,480,156,425
2020년05월_남_80~89세,"1,741",153,112,84,57,74,216,221,170,213,163,131,45,102
2020년05월_남_90~99세,101,5,7,7,8,5,15,14,10,12,6,6,2,4
2020년05월_남_100세 이상,10,1,0,0,3,0,4,0,0,1,0,1,0,0
2020년05월_여_총인구수,"108,719","5,049","8,407","4,373","2,461","5,724","6,671","10,017","17,100","11,591","11,245","10,159","5,481","10,441"
2020년05월_여_연령구간인구수,"108,719","5,049","8,407","4,373","2,461","5,724","6,671","10,017","17,100","11,591","11,245","10,159","5,481","10,441"
2020년05월_여_0~9세,"8,393",229,697,198,105,483,239,656,"1,707",600,759,"1,040",641,"1,039"
2020년05월_여_10~19세,"9,524",320,630,301,161,514,338,764,"1,708",986,"1,070",866,633,"1,233"
2020년05월_여_20~29세,"12,329",476,"1,011",615,278,730,728,"1,122","1,751","1,438","1,356","1,055",647,"1,122"
2020년05월_여_30~39세,"13,039",449,"1,154",459,226,763,551,"1,238","2,374",994,"1,118","1,424",880,"1,409"
2020년05월_여_40~49세,"17,266",598,"1,243",576,302,917,787,"1,475","3,060","1,858","1,762","1,616",967,"2,105"
2020년05월_여_50~59세,"21,078",923,"1,741",903,530,"1,074","1,342","1,886","3,132","2,529","2,466","1,925",964,"1,663"
2020년05월_여_60~69세,"15,707","1,055","1,189",757,486,722,"1,382","1,621","2,108","1,760","1,695","1,361",468,"1,103"
2020년05월_여_70~79세,"7,539",677,488,384,262,323,866,825,834,921,700,583,189,487
2020년05월_여_80~89세,"3,286",274,212,153,92,165,370,384,359,454,265,253,81,224
2020년05월_여_90~99세,512,45,40,25,16,30,48,43,66,50,50,35,10,54
2020년05월_여_100세 이상,46,3,2,2,3,3,20,3,1,1,4,1,1,2
