,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년09월_계_총인구수,"102,065","10,586","2,319","1,431","1,933","2,176","2,977","2,726","2,010","1,844","3,040","7,607","6,089","4,017","4,998","6,614","10,040","7,816","15,831","8,011"
2021년09월_계_연령구간인구수,"102,065","10,586","2,319","1,431","1,933","2,176","2,977","2,726","2,010","1,844","3,040","7,607","6,089","4,017","4,998","6,614","10,040","7,816","15,831","8,011"
2021년09월_계_0~9세,"5,786",452,52,22,51,51,77,69,37,22,51,439,329,152,208,459,503,396,"1,905",511
2021년09월_계_10~19세,"8,611",724,90,50,89,100,121,128,66,56,111,892,574,280,339,853,690,680,"1,998",770
2021년09월_계_20~29세,"9,555",925,170,83,132,160,172,163,118,98,130,718,587,317,378,706,"1,163",892,"1,755",888
2021년09월_계_30~39세,"8,146",722,110,41,105,108,142,125,82,78,124,548,445,271,336,495,815,602,"2,239",758
2021년09월_계_40~49세,"13,488","1,170",178,94,161,170,248,256,139,137,202,"1,196",839,466,564,"1,094","1,228",997,"3,109","1,240"
2021년09월_계_50~59세,"17,371","1,773",452,250,315,351,472,465,354,319,523,"1,364","1,117",667,842,"1,216","1,790","1,548","2,176","1,377"
2021년09월_계_60~69세,"19,135","2,390",582,353,475,535,769,748,589,479,880,"1,179","1,050",871,"1,113",890,"1,933","1,460","1,530","1,309"
2021년09월_계_70~79세,"11,774","1,434",350,277,309,367,526,452,340,329,558,780,712,609,769,563,"1,219",778,705,697
2021년09월_계_80~89세,"7,048",840,293,219,238,274,374,274,241,280,392,418,391,337,397,300,616,400,363,401
2021년09월_계_90~99세,"1,097",144,42,40,57,55,75,40,42,45,68,70,40,43,50,36,81,62,50,57
2021년09월_계_100세 이상,54,12,0,2,1,5,1,6,2,1,1,3,5,4,2,2,2,1,1,3
2021년09월_남_총인구수,"50,617","5,248","1,187",726,997,"1,102","1,505","1,388","1,006",913,"1,514","3,793","2,904","1,963","2,407","3,277","4,957","3,882","7,987","3,861"
2021년09월_남_연령구간인구수,"50,617","5,248","1,187",726,997,"1,102","1,505","1,388","1,006",913,"1,514","3,793","2,904","1,963","2,407","3,277","4,957","3,882","7,987","3,861"
2021년09월_남_0~9세,"3,011",228,23,16,27,26,40,33,20,10,29,231,168,87,120,230,246,208,"1,004",265
2021년09월_남_10~19세,"4,499",387,46,21,48,48,67,66,38,32,59,469,291,139,183,445,367,362,"1,022",409
2021년09월_남_20~29세,"5,553",566,106,60,84,103,110,103,76,67,76,433,331,189,215,424,653,540,951,466
2021년09월_남_30~39세,"4,378",389,59,24,66,68,92,71,48,49,72,298,240,148,169,257,467,314,"1,150",397
2021년09월_남_40~49세,"6,948",633,102,63,101,100,155,155,81,86,135,577,408,243,288,513,640,487,"1,576",605
2021년09월_남_50~59세,"8,953",899,262,135,171,189,250,239,181,168,280,726,573,373,434,623,871,760,"1,143",676
2021년09월_남_60~69세,"9,209","1,184",306,187,264,283,396,384,308,261,442,552,464,388,491,410,875,673,729,612
2021년09월_남_70~79세,"5,327",636,169,133,142,169,255,230,152,146,269,343,285,258,337,261,565,379,293,305
2021년09월_남_80~89세,"2,494",295,107,76,82,106,121,91,93,86,137,160,133,121,159,103,253,143,110,118
2021년09월_남_90~99세,236,28,7,11,12,10,19,14,8,7,15,4,10,17,11,11,20,16,8,8
2021년09월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년09월_여_총인구수,"51,448","5,338","1,132",705,936,"1,074","1,472","1,338","1,004",931,"1,526","3,814","3,185","2,054","2,591","3,337","5,083","3,934","7,844","4,150"
2021년09월_여_연령구간인구수,"51,448","5,338","1,132",705,936,"1,074","1,472","1,338","1,004",931,"1,526","3,814","3,185","2,054","2,591","3,337","5,083","3,934","7,844","4,150"
2021년09월_여_0~9세,"2,775",224,29,6,24,25,37,36,17,12,22,208,161,65,88,229,257,188,901,246
2021년09월_여_10~19세,"4,112",337,44,29,41,52,54,62,28,24,52,423,283,141,156,408,323,318,976,361
2021년09월_여_20~29세,"4,002",359,64,23,48,57,62,60,42,31,54,285,256,128,163,282,510,352,804,422
2021년09월_여_30~39세,"3,768",333,51,17,39,40,50,54,34,29,52,250,205,123,167,238,348,288,"1,089",361
2021년09월_여_40~49세,"6,540",537,76,31,60,70,93,101,58,51,67,619,431,223,276,581,588,510,"1,533",635
2021년09월_여_50~59세,"8,418",874,190,115,144,162,222,226,173,151,243,638,544,294,408,593,919,788,"1,033",701
2021년09월_여_60~69세,"9,926","1,206",276,166,211,252,373,364,281,218,438,627,586,483,622,480,"1,058",787,801,697
2021년09월_여_70~79세,"6,447",798,181,144,167,198,271,222,188,183,289,437,427,351,432,302,654,399,412,392
2021년09월_여_80~89세,"4,554",545,186,143,156,168,253,183,148,194,255,258,258,216,238,197,363,257,253,283
2021년09월_여_90~99세,861,116,35,29,45,45,56,26,34,38,53,66,30,26,39,25,61,46,42,49
2021년09월_여_100세 이상,45,9,0,2,1,5,1,4,1,0,1,3,4,4,2,2,2,1,0,3
