,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년08월_계_총인구수,"52,137","11,108","13,812","4,988","2,311","1,682","2,561","1,519","1,289","1,285","2,123","2,039","2,998","4,422"
2020년08월_계_연령구간인구수,"52,137","11,108","13,812","4,988","2,311","1,682","2,561","1,519","1,289","1,285","2,123","2,039","2,998","4,422"
2020년08월_계_0~9세,"2,369",562,"1,030",170,58,33,59,59,27,35,39,45,53,199
2020년08월_계_10~19세,"3,529",882,"1,522",221,61,56,114,71,59,27,70,84,103,259
2020년08월_계_20~29세,"3,927","1,050","1,362",302,97,92,143,79,60,37,95,99,213,298
2020년08월_계_30~39세,"3,537",873,"1,155",321,116,63,114,80,64,58,92,103,164,334
2020년08월_계_40~49세,"5,951","1,571","2,015",505,168,140,237,104,78,101,152,150,242,488
2020년08월_계_50~59세,"8,604","1,924","2,292",817,316,258,369,225,187,195,342,309,559,811
2020년08월_계_60~69세,"10,098","1,952","2,069","1,047",519,360,528,338,288,311,519,499,694,974
2020년08월_계_70~79세,"8,058","1,472","1,401",942,481,345,514,295,251,291,426,402,570,668
2020년08월_계_80~89세,"5,216",726,816,568,433,281,412,237,244,199,333,289,329,349
2020년08월_계_90~99세,806,91,142,90,58,53,68,30,30,29,52,56,67,40
2020년08월_계_100세 이상,42,5,8,5,4,1,3,1,1,2,3,3,4,2
2020년08월_남_총인구수,"25,776","5,573","6,740","2,494","1,114",826,"1,192",724,630,660,"1,035",984,"1,483","2,321"
2020년08월_남_연령구간인구수,"25,776","5,573","6,740","2,494","1,114",826,"1,192",724,630,660,"1,035",984,"1,483","2,321"
2020년08월_남_0~9세,"1,174",271,510,90,33,14,23,27,14,23,16,23,31,99
2020년08월_남_10~19세,"1,823",457,796,115,37,28,52,36,31,16,36,40,51,128
2020년08월_남_20~29세,"2,304",614,766,158,62,57,83,48,36,27,56,64,149,184
2020년08월_남_30~39세,"1,992",469,569,197,74,39,66,49,42,32,62,64,104,225
2020년08월_남_40~49세,"3,259",829,970,312,107,95,131,61,45,69,88,83,147,322
2020년08월_남_50~59세,"4,650","1,080","1,174",468,163,140,194,120,104,117,182,182,292,434
2020년08월_남_60~69세,"4,938",931,996,528,252,179,254,170,153,147,251,246,331,500
2020년08월_남_70~79세,"3,565",624,628,402,219,159,224,135,111,141,208,180,257,277
2020년08월_남_80~89세,"1,874",274,292,205,152,102,147,71,83,84,128,86,108,142
2020년08월_남_90~99세,188,24,36,18,13,13,18,7,11,4,8,14,13,9
2020년08월_남_100세 이상,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020년08월_여_총인구수,"26,361","5,535","7,072","2,494","1,197",856,"1,369",795,659,625,"1,088","1,055","1,515","2,101"
2020년08월_여_연령구간인구수,"26,361","5,535","7,072","2,494","1,197",856,"1,369",795,659,625,"1,088","1,055","1,515","2,101"
2020년08월_여_0~9세,"1,195",291,520,80,25,19,36,32,13,12,23,22,22,100
2020년08월_여_10~19세,"1,706",425,726,106,24,28,62,35,28,11,34,44,52,131
2020년08월_여_20~29세,"1,623",436,596,144,35,35,60,31,24,10,39,35,64,114
2020년08월_여_30~39세,"1,545",404,586,124,42,24,48,31,22,26,30,39,60,109
2020년08월_여_40~49세,"2,692",742,"1,045",193,61,45,106,43,33,32,64,67,95,166
2020년08월_여_50~59세,"3,954",844,"1,118",349,153,118,175,105,83,78,160,127,267,377
2020년08월_여_60~69세,"5,160","1,021","1,073",519,267,181,274,168,135,164,268,253,363,474
2020년08월_여_70~79세,"4,493",848,773,540,262,186,290,160,140,150,218,222,313,391
2020년08월_여_80~89세,"3,342",452,524,363,281,179,265,166,161,115,205,203,221,207
2020년08월_여_90~99세,618,67,106,72,45,40,50,23,19,25,44,42,54,31
2020년08월_여_100세 이상,33,5,5,4,2,1,3,1,1,2,3,1,4,1
