,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년04월_계_총인구수,"55,572","15,100","2,376","2,689","1,704","18,551","2,534","2,491","1,552","2,783","3,234","1,179","1,379"
2020년04월_계_연령구간인구수,"55,572","15,100","2,376","2,689","1,704","18,551","2,534","2,491","1,552","2,783","3,234","1,179","1,379"
2020년04월_계_0~9세,"4,677",835,77,65,51,"3,230",153,59,22,58,60,25,42
2020년04월_계_10~19세,"4,406","1,296",118,85,60,"2,236",106,91,46,82,142,63,81
2020년04월_계_20~29세,"4,116","1,362",106,152,61,"1,639",208,119,56,97,205,44,67
2020년04월_계_30~39세,"5,670","1,220",92,121,81,"3,407",221,120,48,127,128,42,63
2020년04월_계_40~49세,"7,083","1,972",187,168,127,"3,403",242,203,112,211,257,88,113
2020년04월_계_50~59세,"8,113","2,563",368,427,263,"2,093",324,389,228,449,523,255,231
2020년04월_계_60~69세,"9,071","2,816",496,673,402,"1,278",447,571,389,670,712,320,297
2020년04월_계_70~79세,"6,901","1,832",490,511,337,745,426,530,352,585,649,176,268
2020년04월_계_80~89세,"4,866","1,029",395,432,297,457,354,360,270,446,497,143,186
2020년04월_계_90~99세,634,169,43,50,25,61,51,45,28,53,59,22,28
2020년04월_계_100세 이상,35,6,4,5,0,2,2,4,1,5,2,1,3
2020년04월_남_총인구수,"27,302","7,478","1,184","1,326",834,"9,086","1,243","1,210",743,"1,375","1,554",579,690
2020년04월_남_연령구간인구수,"27,302","7,478","1,184","1,326",834,"9,086","1,243","1,210",743,"1,375","1,554",579,690
2020년04월_남_0~9세,"2,358",412,41,35,25,"1,626",80,27,8,33,36,13,22
2020년04월_남_10~19세,"2,364",745,68,43,38,"1,150",59,48,26,42,72,34,39
2020년04월_남_20~29세,"2,316",800,64,96,32,851,127,67,36,58,124,20,41
2020년04월_남_30~39세,"2,831",620,51,70,41,"1,595",124,72,28,84,85,19,42
2020년04월_남_40~49세,"3,903","1,081",119,113,87,"1,709",159,137,77,144,157,54,66
2020년04월_남_50~59세,"4,236","1,257",220,235,162,"1,050",188,204,130,253,279,129,129
2020년04월_남_60~69세,"4,453","1,332",258,349,205,614,200,276,196,344,347,179,153
2020년04월_남_70~79세,"3,072",838,217,217,143,333,187,236,149,269,274,88,121
2020년04월_남_80~89세,"1,646",361,135,158,94,147,109,135,89,141,171,36,70
2020년04월_남_90~99세,119,31,10,9,7,11,10,8,4,6,9,7,7
2020년04월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년04월_여_총인구수,"28,270","7,622","1,192","1,363",870,"9,465","1,291","1,281",809,"1,408","1,680",600,689
2020년04월_여_연령구간인구수,"28,270","7,622","1,192","1,363",870,"9,465","1,291","1,281",809,"1,408","1,680",600,689
2020년04월_여_0~9세,"2,319",423,36,30,26,"1,604",73,32,14,25,24,12,20
2020년04월_여_10~19세,"2,042",551,50,42,22,"1,086",47,43,20,40,70,29,42
2020년04월_여_20~29세,"1,800",562,42,56,29,788,81,52,20,39,81,24,26
2020년04월_여_30~39세,"2,839",600,41,51,40,"1,812",97,48,20,43,43,23,21
2020년04월_여_40~49세,"3,180",891,68,55,40,"1,694",83,66,35,67,100,34,47
2020년04월_여_50~59세,"3,877","1,306",148,192,101,"1,043",136,185,98,196,244,126,102
2020년04월_여_60~69세,"4,618","1,484",238,324,197,664,247,295,193,326,365,141,144
2020년04월_여_70~79세,"3,829",994,273,294,194,412,239,294,203,316,375,88,147
2020년04월_여_80~89세,"3,220",668,260,274,203,310,245,225,181,305,326,107,116
2020년04월_여_90~99세,515,138,33,41,18,50,41,37,24,47,50,15,21
2020년04월_여_100세 이상,31,5,3,4,0,2,2,4,1,4,2,1,3
