카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년10월_계_총인구수,"46,198","15,141","2,760","3,109","1,206","3,637","1,892","2,658","2,591","1,813","2,415","4,606","4,370"
2021년10월_계_연령구간인구수,"46,198","15,141","2,760","3,109","1,206","3,637","1,892","2,658","2,591","1,813","2,415","4,606","4,370"
2021년10월_계_0~9세,"2,217","1,117",124,97,26,123,50,57,80,62,89,206,186
2021년10월_계_10~19세,"2,992","1,263",105,160,48,245,104,98,112,75,123,314,345
2021년10월_계_20~29세,"4,530","1,711",217,261,80,292,161,494,196,138,171,423,386
2021년10월_계_30~39세,"3,545","1,570",194,205,66,231,109,135,172,109,166,297,291
2021년10월_계_40~49세,"5,121","2,042",291,293,99,332,168,201,245,177,228,548,497
2021년10월_계_50~59세,"8,205","2,461",503,584,245,687,387,419,451,318,448,882,820
2021년10월_계_60~69세,"8,736","2,300",593,710,290,750,416,515,534,408,525,907,788
2021년10월_계_70~79세,"6,181","1,595",434,487,180,546,278,394,424,319,395,558,571
2021년10월_계_80~89세,"4,038",926,254,272,146,387,188,297,319,180,240,405,424
2021년10월_계_90~99세,606,150,45,37,24,42,29,46,53,25,28,65,62
2021년10월_계_100세 이상,27,6,0,3,2,2,2,2,5,2,2,1,0
2021년10월_남_총인구수,"23,427","7,641","1,410","1,572",607,"1,845",984,"1,469","1,313",905,"1,215","2,304","2,162"
2021년10월_남_연령구간인구수,"23,427","7,641","1,410","1,572",607,"1,845",984,"1,469","1,313",905,"1,215","2,304","2,162"
2021년10월_남_0~9세,"1,079",530,60,43,8,68,24,27,37,37,41,111,93
2021년10월_남_10~19세,"1,549",677,57,80,23,112,65,50,58,33,60,174,160
2021년10월_남_20~29세,"2,692",987,116,147,46,176,91,412,107,72,92,225,221
2021년10월_남_30~39세,"1,810",783,106,111,29,118,56,76,99,50,79,157,146
2021년10월_남_40~49세,"2,920","1,111",188,170,59,202,94,114,160,112,132,297,281
2021년10월_남_50~59세,"4,559","1,311",288,320,141,378,218,239,268,174,260,485,477
2021년10월_남_60~69세,"4,565","1,170",303,383,165,405,242,265,262,206,274,477,413
2021년10월_남_70~79세,"2,794",712,186,225,80,241,128,181,202,148,198,249,244
2021년10월_남_80~89세,"1,319",327,97,83,50,133,61,93,109,64,75,110,117
2021년10월_남_90~99세,138,32,9,10,5,12,5,12,11,9,4,19,10
2021년10월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"22,771","7,500","1,350","1,537",599,"1,792",908,"1,189","1,278",908,"1,200","2,302","2,208"
2021년10월_여_연령구간인구수,"22,771","7,500","1,350","1,537",599,"1,792",908,"1,189","1,278",908,"1,200","2,302","2,208"
2021년10월_여_0~9세,"1,138",587,64,54,18,55,26,30,43,25,48,95,93
2021년10월_여_10~19세,"1,443",586,48,80,25,133,39,48,54,42,63,140,185
2021년10월_여_20~29세,"1,838",724,101,114,34,116,70,82,89,66,79,198,165
2021년10월_여_30~39세,"1,735",787,88,94,37,113,53,59,73,59,87,140,145
2021년10월_여_40~49세,"2,201",931,103,123,40,130,74,87,85,65,96,251,216
2021년10월_여_50~59세,"3,646","1,150",215,264,104,309,169,180,183,144,188,397,343
2021년10월_여_60~69세,"4,171","1,130",290,327,125,345,174,250,272,202,251,430,375
2021년10월_여_70~79세,"3,387",883,248,262,100,305,150,213,222,171,197,309,327
2021년10월_여_80~89세,"2,719",599,157,189,96,254,127,204,210,116,165,295,307
2021년10월_여_90~99세,468,118,36,27,19,30,24,34,42,16,24,46,52
2021년10월_여_100세 이상,25,5,0,3,1,2,2,2,5,2,2,1,0
